Elementary,Intermediate,Advanced
"The huge fortunes made by the world’s
richest 100 billionaires are making inequality
worse and stopping the world from being
able to reduce poverty, says Oxfam.","The huge fortunes made by the world’s
richest 100 billionaires are increasing
inequality and hindering the world’s ability to
tackle poverty, according to Oxfam.","The vast fortunes made by the world’s richest
100 billionaires are driving up inequality and
hindering the world’s ability to tackle poverty,
according to Oxfam."
"Oxfam said the world could end poverty
several times over if the richest 100
billionaires would give away the money they
made in 2012.","The charity said the accumulation of
wealth and income often led to a reduction
in secure jobs and decent wages for the
poorest people. This made it more difficult
for people who survive on aid or low
wages to improve their situation and
escape poverty.","The charity said the accumulation of wealth and
income on an unprecedented scale, often at the
expense of secure jobs and decent wages for
the poorest, undermined the ability of people
who survive on aid or low wages to improve
their situation and escape poverty."
"The charity said that the $240bn made in
2012 by the richest 100 billionaires would
be enough to end extreme poverty four
times over.","Oxfam said the world’s poorest could be
taken out of poverty several times over if the
richest 100 billionaires would give away the
money they made in 2012.","Oxfam said the world’s poorest could be lifted
out of poverty several times over if the richest
100 billionaires would give away the money
they made in 2012."
"It is unusual for charities to attack the
wealthy, because they are usually seen
as a source of money. Bill Gates and
Warren Buffett are among a group of 40
US billionaires who have said they will give
much of their money to aid projects, but
there is little information about how much
money they give each year.","Without naming anyone, the charity argued
that the $240bn made in 2012 by the richest
100 billionaires would be enough to end
extreme poverty four times over.","Without pointing a finger at individuals, the
charity argued that the $240bn net income
amassed in 2012 by the richest 100 billionaires
would be enough to make extreme poverty
history four times over."
"Russian, Middle Eastern and Chinese
billionaires do not give away money to
charity in the same way that US
billionaires do.","It is unusual for charities to attack the
wealthy, because they are usually seen
as a source of money. Bill Gates and
Warren Buffett are among a group of 40
US billionaires who have said they will give
much of their wealth to aid projects, but
there is little detail about the level of their
annual donations. Russian, Middle Eastern
or Chinese billionaires have not promised to
do the same.","It is rare for charities to attack the wealthy, who
are usually regarded as a source of funding. Bill
Gates and Warren Buffett are among a group
of 40 US billionaires who have pledged much
of their wealth to aid projects, but there is little
detail about the level of their annual donations.
Their actions have also not been matched by
Russian, Middle Eastern or Chinese billionaires."
"In the report, the charity asks world
leaders to end income extremes and
reduce inequality.","In the report, The Cost of Inequality: How
Wealth and Income Extremes Hurt Us All,
published just before the World Economic
Forum in Davos, the charity asks world
leaders to commit to reducing inequality to
at least 1990 levels.","In the report, The Cost of Inequality: How
Wealth and Income Extremes Hurt Us All,
published just before the World Economic
Forum in Davos, the charity calls on world
leaders to curb income extremes and commit to
reducing inequality to at least 1990 levels."
"The report said that the richest 1% of people
have increased their incomes by 60% in the
past 20 years.","The report found that the richest 1% had
increased their incomes by 60% in the past
20 years. And the financial crisis has sped
up, not slowed, the process.","The report found that the richest 1% had
increased their incomes by 60% in the past
20 years, with the financial crisis accelerating
rather than slowing the process."
"Barbara Stocking, Oxfam’s Chief Executive,
said: “We can no longer pretend that wealth
for a few people will benefit many people –
too often the opposite is true.”","Barbara Stocking, Oxfam’s Chief Executive,
said studies show that countries suffer low
levels of investment and growth as workers
are forced to survive on a smaller share of
total incomes.","Barbara Stocking, Oxfam’s Chief Executive,
said extreme wealth was “economically
inefficient, politically corrosive, socially divisive
and environmentally destructive”."
"The report said the problem affected all
parts of the world. “In the UK, inequality
is returning to levels not seen since the
nineteenth century. In China, the top
10% now earn nearly 60% of the income.
Chinese inequality levels are now similar to
those in South Africa, which is now the most
unequal country on Earth.”","She said: “We can no longer pretend that
the creation of wealth for a few will benefit
the many – too often the reverse is true.”","She said studies show that countries suffer low
levels of investment and growth as workers are
forced to survive on a smaller share of
total incomes."
"In the US, the share of national income that
goes to the top 1% of people has doubled
since 1980 from 10% to 20%, the
report says.","The report said the issue affected all
parts of the world. “In the UK, inequality is
rapidly returning to levels not seen since
the nineteenth century. In China, the top
10% now earn nearly 60% of the income.
Chinese inequality levels are now similar to
those in South Africa, which is now the most
unequal country on Earth.”","She said: “We can no longer pretend that
the creation of wealth for a few will inevitably
benefit the many – too often the reverse is true.”"
"The richest 1% are estimated to cause
10,000 times more pollution than the
average US citizen.","In the US, the share of national income
going to the top 1% has doubled since 1980
from 10 to 20%, the report says.","The report said the issue affected all parts
of the world. “In the UK, inequality is rapidly
returning to levels not seen since the time
of Charles Dickens [the nineteenth-century
novelist]. In China, the top 10% now take home
nearly 60% of the income. Chinese inequality
levels are now similar to those in South Africa,
which is now the most unequal country on Earth
and significantly more unequal than at the end
of apartheid.”"
