Elementary,Intermediate,Advanced
"A big international disagreement has 1 started over the right of Bolivia’s indigenous Indian tribes to chew coca leaves, the main ingredient in cocaine. This could have a significant effect on global drugs policy. Bolivia has received a special exemption from the 1961 Convention on Drugs, the agreement that controls international drugs policy. The exemption allows Bolivia’s indigenous people to chew the leaves.","The right of Bolivia’s indigenous Indian tribes to 1 chew coca leaves, the main ingredient in cocaine, has caused major international disagreement, which could have a significant effect on global drugs policy. Bolivia has received a special exemption from the 1961 Convention on Narcotic Drugs, which controls international drugs policy. The exemption allows Bolivia’s indigenous people to chew the leaves.","A major international row with wide-ranging 1 implications for global drugs policy has erupted over the right of Bolivia’s indigenous Indian tribes to chew coca leaves, the principal ingredient in cocaine. Bolivia has obtained a special exemption from the 1961 Single Convention on Narcotic Drugs, the framework that governs international drugs policy, allowing its indigenous people to chew the leaves."
"Bolivia said that the convention was against 2 its new constitution, which says it must “protect native and ancestral coca” as part of its cultural heritage and says that coca “in its natural state … is not a dangerous drug”.","Bolivia had argued that the convention was in 2 opposition to its new constitution, adopted in 2009, which says it must “protect native and ancestral coca” as part of its cultural heritage and maintains that coca “in its natural state … is not
a narcotic”.","Bolivia had argued that the convention was 2 in opposition to its new constitution, adopted in 2009, which obliges it to “protect native and ancestral coca as cultural patrimony” and maintains that coca “in its natural state … is not a narcotic”."
"South American Indians have chewed coca 3 leaves for hundreds of years. The leaves give energy and have medicinal qualities. People who support Bolivia’s position said that defending the rights of indigenous people was the right thing to do. “The Bolivian move is very important,” said Danny Kushlick, of the Transform Drug Policy Foundation. “It shows that any country that doesn’t want to continue the war on drugs can change its relations with the
UN conventions.”","South American Indians have chewed coca 3 leaves for centuries. The leaves are said to provide energy and have medicinal qualities. Supporters of Bolivia’s position said that defending the rights of indigenous people was the right thing to do. “The Bolivian move is inspirational and groundbreaking,” said Danny Kushlick, of the Transform Drug Policy Foundation, which supports drug liberalization. “It shows that any country that is fed up with the war on drugs can change its relations with the
UN conventions.”","South American Indians have chewed coca 3 leaves for centuries. The leaves reputedly provide energy and are said to have medicinal qualities. Supporters of Bolivia’s position praised it for standing up for the rights of indigenous people. “The Bolivian move is inspirational and groundbreaking,” said Danny Kushlick, Head of External Affairs at the Transform Drug Policy Foundation, which promotes drug liberalization. “It shows that any country that has had enough of the war on drugs can change the terms of its engagement with the UN conventions.”"
"But the UN’s International Narcotics 4 Control Board (INCB), which checks global drug agreements, says Bolivia may harm international drug controls. Many countries – including the UK, the US, Italy, Sweden, the Netherlands and Russia – do not want to give Bolivia what it is asking for.","However, the UN’s International Narcotics Control 4 Board (INCB), which checks implementation of global drug treaties, says that Bolivia is threatening international drug controls. A number of countries – including the UK, the US, Italy, Sweden, the Netherlands and Russia – opposed Bolivia’s demands.","However, the UN’s International Narcotics Control 4 Board (INCB), which monitors implementation of the global drug treaties, has accused Bolivia of threatening the integrity of the international drug control regime. A number of countries – including the UK, the US, Italy, Sweden, the Netherlands and Russia – opposed Bolivia’s demands."
"The UK told the UN that it “respects the 5 cultural importance of the coca leaf in Bolivia”, but it adds: “The United Kingdom is worried that the exemption could lead to more coca production and – most importantly – more coca reaching the cocaine trade. The exemption would make it more difficult to control the illegal
drugs trade.”","The UK told the UN that it “respects the cultural 5 importance of the coca leaf in Bolivia”, but it adds: “The United Kingdom is … worried that the exemption could lead to increases in coca production and – most importantly – the amount of coca that goes into the cocaine trade. As a result, the exemption would weaken … the global effort to tackle the drugs trade.”","The UK’s submission to the UN, which oversees 5 the convention, said that it “acknowledges and respects the cultural importance of the coca leaf in Bolivia”, but it adds: “The United Kingdom is … concerned that the reservation could lead to increases in coca production and – crucially – the amount of coca diverted to the cocaine trade. As such, the reservation would weaken international law as it relates to the global effort to tackle the drugs trade and could weaken the international community’s response to that trade.”"
"The right of indigenous people in South 6 America’s Andean region to chew coca leaf was removed in 1964 when Bolivia was under a dictatorship and it signed
the convention.",The right of indigenous people in South America’s 6 Andean region to chew coca leaf was removed in 1964 when Bolivia was under a dictatorship and it signed up to the convention. But Bolivia was given 25 years to implement the ban. This arrangement came to an end in 1989 and since then the issue has been under dispute.,"The right of indigenous communities in South 6 America’s Andean region to chew coca leaf was removed in 1964 when Bolivia was under a dictatorship and it signed up to the convention. But, under the terms of the agreement, Bolivia was given 25 years to implement the ban. This expired in 1989 and since then the issue has been under dispute."
"In 2011, Bolivia told the UN that it did not 7 want to be part of the convention any more. It is now part of the convention again, but with an exemption so that its indigenous people can continue chewing coca leaves.","In 2011, Bolivia – whose President, Evo Morales, 7 is a former coca producer – formally told the UN that it did not want to be in the convention any more. It has now signed up to the convention again, but with an exemption so that its indigenous people can continue chewing coca leaves.","In 2011, Bolivia – whose President, Evo Morales, 7 is a former coca producer – formally notified the UN of its withdrawal from the convention. On Friday it reacceded to the convention, but with an exemption from the prohibition on the chewing of coca leaves."
"The exemption is the first in the history of 8 UN drug-control agreements. It has led to worries that other countries may also ask for exemptions. The Russian government says that the exemption will lead to more illegal cocaine and warns that “it also sets a dangerous example that could be used by other states in creating a more liberal
drug-control regime”.",The exemption is the first of its kind in the 8 history of UN drug-control treaties and has led to concerns that other countries may apply for exemptions. The Russian government has argued that the exemption will lead to “an increase in illegal circulation of cocaine” and warned that “it also sets a dangerous precedent that could be used by other states in creating a more liberal drug-control regime”.,The move is the first of its kind in the history 8 of UN drug-control treaties and has sparked concerns that other countries may apply for amendments. The Russian government has argued that the move will lead to “an increase in illegal circulation of cocaine” and warned that “it also sets a dangerous precedent that could be used by other states in creating a more liberal drug-control regime”.
The British parliament has recommended 9 that the UK government should support Bolivia’s request. It says that it is important that countries stay in the convention. Bolivia’s return could be blocked only if a third or more of the 184 countries that have signed the convention opposed the exemption. Some people believe that the US and UK are telling other countries that they should block Bolivia’s request.,The British parliament has recommended that 9 Bolivia’s request should be supported by the UK government. It argues that it is important that countries stay in the convention. Bolivia’s return could be blocked only if a third or more of the 184 countries that have signed up to the convention opposed its request. There are suspicions that the US and UK are trying to persuade other countries to block Bolivia’s request.,"The British parliament’s Home Affairs Select 9 Committee has recommended that Bolivia’s request should be backed by the UK government, arguing that it was important that countries remained within the single convention. Bolivia’s re-accession could be blocked only if a third or more of the 184 countries that have signed up to the convention opposed its request. There are suspicions that the US and UK are frantically lobbying other countries to gain sufficient numbers to block Bolivia’s request."
"Nancie Prud’homme, of the International 10 Centre on Human Rights and Drug Policy, said people are wrong to oppose Bolivia’s request. “These objections are not completely legal,” she said. She added that, all over the world, it has become normal to support cultural and indigenous rights, so we should support Bolivia’s efforts.","Nancie Prud’homme, of the International Centre 10 on Human Rights and Drug Policy, criticized the co-ordinated opposition to Bolivia’s demands. “These objections are legally questionable,” she said. “They support an arbitrary and over-broad provision and apply international drug laws in a vacuum. This is not right. No state has paid any attention to decades of developing international norms on cultural and indigenous rights, which support Bolivia’s efforts.”","Nancie Prud’homme, Projects Director at the 10 International Centre on Human Rights and Drug Policy, criticized the co-ordinated opposition to Bolivia’s demands. “These objections are legally questionable,” she said. “They support an arbitrary and over-broad provision and apply international drug laws in a vacuum. This is not appropriate. No state has paid any attention to decades of developing international norms on cultural and indigenous rights, which support Bolivia’s efforts.”"
