Elementary,Intermediate,Advanced
"Male bosses are paid bonuses double the
size of bonuses given to female colleagues
in the same jobs. This means that men get
bonuses of £141,500 more than women
over their working lives.","Male bosses are paid bonuses double the
size of those given to female colleagues
in identical jobs. This means that men
get salary top-ups of £141,500 more than
women over their working lives.","Male bosses are being paid bonuses double
the size of those given to female colleagues in
identical jobs – a disparity that means men enjoy
salary top-ups of £141,500 more than women
over the course of a working lifetime."
"The numbers, released by the Chartered
Management Institute (CMI), show that men
in UK management jobs earned average
bonuses of £6,442 in 2012 – compared with
£3,029 for women.","The figures, released by the Chartered
Management Institute (CMI), reveal that men
in UK management roles earned average
bonuses of £6,442 in 2012 compared with
£3,029 for women.","The figures, released by the Chartered
Management Institute (CMI), reveal that men in
UK management roles earned average bonuses of
£6,442 in 2012 compared with £3,029 for women."
"Female directors received bonuses of
£36,270 over the past 12 months, compared
with £63,700 received by male directors.","In the most senior roles, female directors
received bonuses of £36,270 over the past
12 months, compared with £63,700 awarded
to male directors.","In the most senior roles, female directors
received bonuses of £36,270 over the past 12
months, compared with £63,700 awarded to
male directors."
"The numbers show that pay in British
business is still not equal. Campaigners
believe we must do something to improve
equality at work.","The latest figures show that pay in British
business is still not equal. This has led to
calls for action from campaigners on
workplace equality.","The latest figures highlighting the inequitable
nature of pay in British business led to calls for
action from campaigners on workplace equality."
"Ann Francke, the CMI’s chief executive,
said that there should be more flexibility and
less masculine cultures, and that the good
work people do should be more important
than how much time they spend in the office.
Also, there should be more transparency
around performance and bonuses.","Ann Francke, the CMI’s chief executive
said: “It’s time to move this issue into the
mainstream management agenda.","Ann Francke, the CMI’s chief executive, said:
“It’s time to move this issue into the mainstream
management agenda."
"“If we solve this issue, we will improve the
performance of organizations and the wellbeing
of people at work,” she said. “What
are we waiting for?”","“This is about changing our approach to
management. There should be greater
flexibility, less masculine cultures, more
emphasis on outcomes rather than time in
the office and greater transparency around
performance and rewards.","“This is about changing our approach to
management to allow for greater flexibility, less
masculine cultures, more emphasis on outcomes
rather than time in the office and greater
transparency around performance and rewards."
"Some of the numbers may be affected
by women doing jobs where there is less
of a culture of bonus payments. But the
differences in the sizes of bonuses do make
Britain’s pay gap worse. The government
says the pay gap is closing but that full-time
male employees still earn 10% more
than women.","“In solving this issue, we would actually
raise the performance of organizations and
the well-being of individuals at work. What
are we waiting for?”","“In solving this issue, we would actually raise the
performance of organizations and the well-being
of individuals at work. What are we waiting for?”"
"Maria Miller, the Minister for Women and
Equalities, said that the CMI numbers are
another example from the world of work that
shows that women still earn less than men
doing the same job.","While some of the data may be affected by
factors such as women doing jobs where
there is less of a culture of bonus payments,
the differences in the sizes of bonuses do
appear to make Britain’s pay gap worse. The
government says the pay gap is closing but
that full-time male employees still earn 10%
more than women.","Dr Ruth Sealy, a senior research fellow at
Cranfield School of Management, added: “It is
not surprising. Bonuses are a method of payment
that can be used with discretion. As to what
should be done about it, these things should be
made more transparent.”"
"“Changes in the workplace are happening
and it’s good that the pay gap is closing –
but there is still more to do before we see
full equality in the workplace.","Maria Miller, the Minister for Women and
Equalities, said: “The CMI figures are
another example from the world of work
showing that women still lose out to their
male counterparts.","While statisticians warned that some of the
data may be skewed by factors such as women
entering occupations where there is less of a
culture of bonus payments, the discrepancies in
the sizes of awards do appear to be aggravating
Britain’s pay gap, which the government says is
closing but still sees full-time male employees
earn 10% more than women."
"“The government is trying to help. 120
companies have joined our Think, Act,
Report scheme, which encourages
companies to improve the way they recruit,
promote and pay women.","“Changes in the workplace are happening
and it’s good that the pay gap is closing –
but there is still more to do before we see
full equality in the workplace.","Maria Miller, the Minister for Women and
Equalities, said: “The CMI figures are yet another
damaging example highlighting that, in the world of
work, women still lose out to their male counterparts
and that the playing field is far from level."
"“We’ve also looked at other causes of the
pay gap, such as having to juggle work
and family.”","“The government is playing its part. We
have signed up 120 companies to our Think,
Act, Report scheme, which encourages
companies to improve the way they recruit,
promote and pay women.","“Changes in the workplace are happening and it’s
good that the pay gap is closing – but there is still
more to do before we see full equality in
the workplace."
