Elementary,Intermediate,Advanced
"More than 100,000 people went onto the
streets in Brazil to show their anger at
violent police, poor public services and high
costs for the World Cup.","Brazil experienced one of its biggest nights
of protest in decades as more than 100,000
people took to the streets to express their
frustration at aggressive policing, poor public
services and high costs for the World Cup.","Brazil experienced one of its biggest nights of
protest in decades as more than 100,000 people
took to the streets nationwide to express their
frustration at heavy-handed policing, poor public
services and high costs for the World Cup."
"The demonstrations in Rio de Janeiro, São
Paulo, Brasilia, Belem, Belo Horizonte and
Salvador started peacefully, but there were
some clashes with police and people set fire
to cars and buses.","The major demonstrations in Rio de Janeiro,
São Paulo, Brasilia, Belem, Belo Horizonte,
Salvador and elsewhere started peacefully, but
several led to clashes with police and arson
attacks on cars and buses.","The major demonstrations in Rio de Janeiro,
São Paulo, Brasilia, Belem, Belo Horizonte,
Salvador and elsewhere started peacefully, but
several led to clashes with police and arson
attacks on cars and buses."
"People complained that police used rubber
bullets, tear gas and violent beatings.","People complained, during previous, smaller
protests against bus price increases, that
police responded disproportionately with rubber
bullets, tear gas and violent beatings.","The large turnout and geographic spread
marked a rapid escalation after previous,
smaller protests against bus price increases
led to complaints that police responded
disproportionately with rubber bullets, tear gas
and violent beatings."
"Happening at the start of the football
Confederations Cup, the rallies brought
together people who are angry with the high
costs and poor quality of public services,
the large amounts of money spent on international sporting events, low standards
of health care, inequality and corruption.","The rallies came at the same time as the start
of the football Confederations Cup. The rallies
brought together people who are frustrated
with the rising costs and poor quality of public
services, large amounts of money being spent
on international sporting events, low standards
of health care and wider unease about
inequality and corruption.","Coinciding with the start of the Confederations
Cup – a World Cup test event – the rallies
brought together a wide coalition of people
frustrated with the escalating costs and
persistently poor quality of public services, lavish
investment in international sporting events,
low standards of health care and wider unease
about inequality and corruption."
"Most of the demonstrations were peaceful,
but several police were hurt, at least one car
was burned and windows were broken.","The vast majority of demonstrations were
peaceful, but several police were injured, at
least one car was overturned and burned, and
windows were smashed.","While the vast majority of demonstrations in
Rio were peaceful, several police were injured
in clashes at the city’s legislative assembly, at
least one car was overturned and burned, and
windows were smashed in the offices of banks
and notary offices."
"People were demonstrating for different
reasons. “We are here because we hate the
government. They do nothing for us,” said
Oscar José Santos, 19 years old.","The unrest increased during the night as
a large crowd set several fires outside a
government office, smashed the building’s
windows and painted graffiti on the walls that
said “Revolution”, “Down with Paes, down with
Cabral [the mayor and state governor]” and
“Hate police”. Police inside responded with
pepper spray.","The unrest escalated during the night as a large
crowd set several fires outside the legislative
assembly, smashed the building’s windows
and painted graffiti on the walls proclaiming
“Revolution”, “Down with Paes, down with
Cabral [the mayor and state governor]” and
“Hate police”. Police inside responded with
pepper spray and perhaps more – the Guardian
saw one protester passed out and bleeding
heavily from a wound in the upper arm."
"“I’m an architect but I have been
unemployed for six months. There must be
something wrong with this country,” said
Nadia al Husin.","The reasons people were protesting varied
widely. “We are here because we hate the
government. They do nothing for us,” said
Oscar José Santos, a 19 year old.","The causes pursued by the protesters varied
widely. “We are here because we hate the
government. They do nothing for us,” said Oscar
José Santos, a 19 year old who was with a group
of hooded youths from the Rocinha favela."
"At a smaller rally in Brasilia, demonstrators
entered the high-security area of the national
congress. Several climbed onto the roof.","“I’m an architect but I have been unemployed
for six months. There must be something wrong
with this country,” said Nadia al Husin.","“I’m an architect but I have been unemployed
for six months. There must be something wrong
with this country,” said Nadia al Husin, holding
up a banner calling on the government to do
more for education."
"In Belo Horizonte, police clashed with
protesters who tried to get into a football
stadium, where there was a Confederations
Cup match between Nigeria and Tahiti.","At a far smaller rally in Brasilia, demonstrators
broke through police lines to enter the
high-security area of the national congress.
Several climbed onto the roof.","At a far smaller rally in Brasilia, demonstrators
broke through police lines to enter the
high-security area of the national congress.
Several climbed onto the roof."
"In Porto Alegre, demonstrators set fire to a
bus and, in Curitiba, protesters tried to enter
the office of the state governor. There were
also rallies in Belem, Salvador and
other places.","In Belo Horizonte, police clashed with
protesters who tried to get into a football
stadium, which was hosting a Confederations
Cup match between Nigeria and Tahiti.","In Belo Horizonte, police clashed with protesters
who tried to break through a cordon around a
football stadium hosting a Confederations Cup
match between Nigeria and Tahiti."
"In São Paulo, there were large groups of
people but the marches were peaceful.","In Porto Alegre, demonstrators set fire to a bus
and, in Curitiba, protesters tried to force their
way into the office of the state governor. There
were also rallies in Belem, Salvador
and elsewhere.","In Porto Alegre, demonstrators set fire to a bus
and, in Curitiba, protesters attempted to force
their way into the office of the state governor.
There were also rallies in Belem, Salvador
and elsewhere."
