Elementary,Intermediate ,Advanced
"The business idea is to produce a cheap
light that gets free power from gravity and
could end the use of dangerous kerosene
lamps in Africa and India.","The business idea is to produce a cheap light
that gets free power from gravity and could
end the use of dangerous kerosene lamps in
Africa and India.","It could be the best thing since Trevor Baylis’s
wind-up radio in the pre-internet 1990s – a
cheap light that draws free power from gravity
and could end the use of dangerous
kerosene-fuelled lamps in Africa and India."
"But when British designer, Patrick Hunt,
tried to get money from banks or venture
capitalists to help start his business, he hit
a problem. “We tried to get funding, but it’s
slow and difficult and nobody wants to take
a risk,” he said.","But when British designer, Patrick Hunt, tried
to get money from banks or venture capitalists
to launch his invention, he hit a problem. “We
tried to get funding to make it happen, but
it’s slow and complex and it’s unproven and
nobody wants to take a risk,” he said.","But when British designer, Patrick Hunt, went
down the conventional route of bank or venture
capital finance to get his invention kickstarted
commercially, he hit a problem. “We tried to
get funding to make it happen, but it’s slow and
complex and it’s unproven and nobody wants to
take a risk,” he said."
"So he tried crowdfunding on a US website,
Indiegogo, which has recently opened up in
the UK. Within five days, he made £36,200.
His campaign was so popular that within 40
days he had made £400,000 from
the public.","So he tried crowdfunding on a US website,
Indiegogo, which has recently opened in the
UK. Within five days, he hit his target and
raised £36,200. His campaign to get donations
from the public was so popular that within 40
days he had raised £400,000.","So he tried crowdfunding on a US website,
Indiegogo, which had recently opened up in the
UK. Within five days, he had hit his target and
raised £36,200. So popular was his campaign
at the end of 2012 to entice donations from
the public that within 40 days he had raised a
colossal £400,000."
"A 10kg bag of rocks is attached to the light,
lifted to a height of about two metres, and
while it slowly falls to the ground it makes
enough power for half an hour of light.","The LED light is powered by a dynamo driven
by a 10kg bag of rocks. The weight is attached
to the light, lifted to a height of about 2m,
and while it slowly falls to the ground it will
generate enough power for half an hour
of light.","The LED light is powered by a dynamo driven by
the descent of a 10kg bag of rocks. The weight
is attached to the light, lifted to a height of about
2m, and while it is allowed to slowly fall to the
ground it will generate enough power for half an
hour of light."
"Hunt is one of a new group of entrepreneurs
who are trying to get money from the
fast-growing crowdfunding industry to start
their businesses. Another new crowdfunding
site is InvestingZone. It matches wealthy
people with entrepreneurs.","Hunt is preparing for production in China and
will test the market again by sending 1,000
of the lights to Africa before the full mass
production of millions of units.","Hunt is preparing for production in China and will
test the market again by delivering 1,000 of the
lights to Africa before the full mass production of
what he hopes will be millions of units."
"On Indiegogo, users can offer “perks” for
different levels of investment – for example,
people who helped to fund Hunt’s light could
feel good about helping someone who is
less rich, but they also got one of his lights
as a present.","He is one of a new wave of entrepreneurs who
are turning to the fast-growing crowdfunding
industry for money. Another new site is
InvestingZone, which matches wealthy people
with start-up entrepreneurs.","He is one of a new wave of entrepreneurs
turning to the fast-growing crowdfunding industry
for finance. Another new site is InvestingZone,
which matches wealthy individuals with
start-up entrepreneurs."
"For Danae Ringelmann, who started
Indiegogo, the “gravity light” is a perfect
example of how crowdfunding can work and
how it can test an entrepreneur’s idea.","Indiegogo does not offer shares but allows
users to offer “perks” for different levels of
investment – people who helped to fund Hunt’s
light felt good about helping the less rich, but
also got their own light.","Indiegogo does not offer shares but allows users
to offer “perks” for different levels of donation –
those helping to fund Hunt’s innovative light not
only got to feel good about helping the less well
off but also got their own light."
"“It is good to test ideas, even if they don’t
get funding, because that way you save a
lot of time finding out it wasn’t a good idea
and you can get smarter faster,” she says.","For Danae Ringelmann, co-founder of
Indiegogo, the “gravity light” is a perfect
example of how meritocratic crowdfunding can
be and how it can test an entrepreneur’s idea.
“It is the first time that getting money has been
fast, efficient and meritocratic, because it is
not about ‘How do I get access to the decision
makers in that bank?’ or ‘Who do I know in
that venture capital company?’ This is all about
proving your worth to your customers and fans,
getting them to agree your idea will work and
fund it.","For Danae Ringelmann, co-founder of
Indiegogo, the “gravity light” is a perfect example
of how meritocratic crowdfunding can be and
how it can test an entrepreneur’s idea. “It is the
first time that finance has been fast, efficient and
meritocratic, because it is not about ‘How do I
get access to the decision makers in that bank?’
or ‘Who do I know in that venture capital outfit?’
This is all about proving your worth to your
customers and fans, getting them to validate
your idea and fund it."
"Indiegogo started five years ago. Now
it is making about $2m a week for new
businesses. In December 2012, it started
a European service. It says it is very
popular in Britain. International activity has
increased by 41% since December.","“Even ideas that don’t get funding are worth
testing, because you will have saved yourself a
lot of time finding out it wasn’t a good idea and
getting smarter faster,” she says.","“Even ideas that aren’t deemed worthy to get
funding are worth testing, because you will have
saved yourself a whole bunch of time finding out
it wasn’t a good idea and getting smarter faster,”
she says."
"There are other crowdfunding sites, such
as Kickstarter, Seedrs and Funding Circle,
but Indiegogo is the only crowdfunding site
where anyone can start a campaign. No
project is too crazy for Indiegogo.","Ringelmann, who is based in the US, started
her career as a Wall Street analyst. In 2008,
she decided to quit and use her skills to try and
help friends who worked in the arts to
raise money.","Ringelmann, who is based in the US, started
her career as a Wall Street analyst. In 2008, she
decided to quit and use her skills to try and help
friends who worked in the arts to raise money."
