Elementary,Intermediate ,Advanced
"Facebook has lost millions of users every
month in its biggest markets. In the last six
months, Facebook has lost nearly 9 million
monthly visitors in the US and 2 million in
the UK.","Facebook has lost millions of users per
month in its biggest markets. In the last
six months, Facebook has lost nearly 9m
monthly visitors in the US and 2m in the UK.","Facebook has lost millions of users per
month in its biggest markets, independent
data suggests, as alternative social networks
attract the attention of those looking for fresh
online playgrounds."
"It has stopped growing in the US, UK and
other major European countries. In the last
month, the world’s largest social network lost
6 million US visitors, a 4% fall. In the UK, 1.4
million fewer users went on Facebook last
month, a fall of 4.5%.","Studies suggest that its expansion in the
US, UK and other major European countries
has peaked. In the last month, the world’s
largest social network has lost 6m US
visitors, a 4% fall, according to analysis firm
Socialbakers. In the UK, 1.4m fewer users
visited in March, a fall of 4.5%.","As Facebook prepares to update investors
on its performance in the first three months
of the year, with analysts forecasting
revenues up 36% on last year, studies
suggest that its expansion in the US, UK and
other major European countries has peaked."
"People are also using Facebook less in
Canada, Spain, France, Germany
and Japan.","Users are also turning off in Canada,
Spain, France, Germany and Japan, where
Facebook is extremely popular.","In the last month, the world’s largest social
network has lost 6m US visitors, a 4% fall,
according to analysis firm Socialbakers.
In the UK, 1.4m fewer users checked in
in March, a fall of 4.5%. The declines are
sustained. In the last six months, Facebook
has lost nearly 9m monthly visitors in the US
and 2m in the UK."
"“The problem is that, in the US and UK,
most people who want to join Facebook
have already done it,” said new media
specialist Ian Maude at Enders Analysis.
People get bored, he says, and they “like to
try something new”.","“The problem is that, in the US and UK,
most people who want to sign up for
Facebook have already done it,” said new
media specialist Ian Maude at Enders
Analysis. People get bored, he says, and
they “like to try something new”.","Users are also switching off in Canada,
Spain, France, Germany and Japan, where
Facebook has some of its biggest followings.
A spokeswoman for Facebook declined
to comment."
"Other social networks are also very
popular with younger people. Instagram,
the photo-sharing site, got 30 million new
users in the 18 months before Facebook
bought the business.","Alternative social networks have seen
surges in popularity with younger people.
Instagram, the photo-sharing site, got
30m new users in the 18 months before
Facebook bought the business.","“The problem is that, in the US and UK, most
people who want to sign up for Facebook
have already done it,” said new media
specialist Ian Maude at Enders Analysis.
“There is a boredom factor where people like
to try something new. Is Facebook going to
go the way of MySpace? The risk is relatively
small, but that is not to say it isn’t there.”"
"Path, the mobile phone-based social
network started by ex-Facebook employee
Dave Morin, is gaining 1 million users a
week. It now has more than 9 million users.
500,000 Venezuelans downloaded the app
in just one weekend.","Path, the mobile phone-based social
network founded by former Facebook
employee Dave Morin, which only allows
its users to have 150 friends, is gaining
1m users a week. It has recently topped
9m users, with 500,000 Venezuelans
downloading the app in a single weekend.","Alternative social networks such as
Instagram, the photo-sharing site that won
30m users in 18 months before Facebook
acquired the business, have seen surges in
popularity with younger age groups."
"Facebook is still growing fast in South
America. The number of users in Brazil
increased by 6% in the last month to 70
million, according to Socialbakers, whose
information is used by Facebook advertisers.
And there has been a 4% rise in India to
64 million users – still only a small part of
the country’s population, so there is the
possibility for more growth.","Facebook is still growing fast in South
America. Monthly visitors in Brazil were up
6% in the last month to 70m, according to
Socialbakers, whose information is used
by Facebook advertisers. India has seen a
4% rise to 64m – still only a fraction of the
country’s population, so there is room for
more growth.","Path, the mobile phone-based social network
founded by former Facebook employee Dave
Morin, which restricts its users to 150 friends,
is gaining 1m users a week. It has recently
topped 9m users, with 500,000 Venezuelans
downloading the app in a single weekend."
"Global numbers of visitors to Facebook
reached 1.05 billion a month in January, but
they fell by 20 million in February. Numbers
rose again in April. The social network has
now lost nearly 2 million visitors in the UK
since December, with its 27 million total the
same as a year ago.","But in developed markets, other people
watching Facebook are reporting declines.","Facebook is still growing fast in South
America. Monthly visitors in Brazil were up
6% in the last month to 70m, according to
Socialbakers, whose information is used by
Facebook advertisers. India has seen a 4%
rise to 64m – still a fraction of the country’s
population, leaving room for
further growth."
"The number of minutes Americans spend on
Facebook is falling, too. The total was 121
billion minutes in December 2012, but that
fell to 115 billion minutes in February.","Analysts at Jefferies bank saw global
numbers of visitors to Facebook peak at
1.05bn a month in January, before falling
by 20m in February. Numbers rose again in
April. The network has now lost nearly 2m
visitors in the UK since December, according
to research firm Nielsen, with its 27m total
the same as a year ago.","But in developed markets, other Facebook
trackers are reporting declines. Analysts at
Jefferies bank have developed an algorithm
that interfaces directly with Facebook
software and it “suggests user levels in [the
first quarter] may have declined from peak”."
"As Facebook has already said, we spend
less time using Facebook on our personal
computers because we now prefer to use
our smartphones and tablets.","The number of minutes Americans spend
on Facebook appears to be falling, too. The
total was 121 billion minutes in December
2012, but that fell to 115 billion minutes in
February, according to comScore.","Jefferies saw global numbers peak at 1.05bn
a month in January, before falling by 20m
in February. Numbers rose again in April.
The network has now lost nearly 2m visitors
in the UK since December, according to
research firm Nielsen, with its 27m total flat
on a year before."
"Wall Street expects Facebook’s income this
quarter to be $1.44 billion, an increase from
$1.06 billion a year ago.","As Facebook itself has warned, the time
spent on its pages from those sitting in front
of personal computers is decreasing fast
because people now prefer to use their
smartphones and tablets.","The number of minutes Americans spend
on Facebook appears to be falling, too. The
total was 121 billion minutes in December
2012, but that fell to 115 billion minutes in
February, according to comScore."
"The company said that it might be losing
“younger users” because they now prefer to
use “other products and services similar to,
or as an alternative to, Facebook”.","Although smartphone minutes have doubled
in a year, to 69 a month, that growth may not
compensate for dwindling desktop usage.","As Facebook itself has warned, the time
spent on its pages from those sitting in front
of personal computers is declining rapidly
because we are switching our screen time to
smartphones and tablets."
"Facebook founder Mark Zuckerberg has
created some new initiatives for smartphone
users in the last year. One initiative,
Facebook Home, is software that you can
download onto Android phones to feed news
and photos from friends – and advertising –
directly to your home screen.","Facebook will tell investors about its
performance for the quarter. Wall Street
expects revenues of about $1.44bn, an
increase from $1.06bn a year ago.","While smartphone minutes have doubled
in a year, to 69 a month, that growth is not
guaranteed to compensate for dwindling
desktop usage."
,"Shareholders will want to know how fast
the number of mobile Facebook users is
growing, and whether advertising revenues
are increasing at the same rate.","Facebook is the most authoritative source
on its own user numbers, and the firm will
update investors on its performance for the
quarter. Wall Street expects revenues of
about $1.44bn, up from $1.06bn in 2012."
,"Mobile usage represented nearly a quarter
of Facebook’s advertising income at the end
of 2012, and the network had 680m mobile
users a month in December.","Shareholders will be particularly keen to
learn how fast Facebook’s mobile user
base is growing, and whether advertising
revenues are increasing at the same rate."
,"The company said that it might be losing
“younger users” to “other products and
services similar to, or as a substitute
for, Facebook”.","Mobile usage represented nearly a quarter
of Facebook’s advertising income at the end
of 2012, and the network had 680m mobile
users a month in December."
,"Facebook founder Mark Zuckerberg has
created a series of new initiatives designed
to appeal to smartphone users. One
initiative, Facebook Home, is software that
can be downloaded onto Android phones
to feed news and photos from friends – and
advertising – directly to the owner’s locked
home screen.","The company warned in recent stockmarket
filings that it might be losing “younger users” to “other products and services similar to, or
as a substitute for, Facebook”."
,,"Wary of competition from services that
were invented for the mobile phone rather
than the PC, founder Mark Zuckerberg has
recently driven through a series of new
initiatives designed to appeal to smartphone
users. The most significant is Facebook
Home, software that can be downloaded
onto certain Android phones to feed news
and photos from friends – and advertising –
directly to the owner’s locked home screen."
