Elementary,Intermediate ,Advanced
"36-year-old Junior Smart knows a lot about gangs. When he was a teenager, after his mother died, he joined a south London gang. At the time, it helped fill a big gap in his life. “They became my new support group,” he says. “At first it was just a bit of fun but then it became more serious and we got involved in crime.” After he left college, he got a full-time job but he was also making money illegally as part of the gang.","Junior Smart knows a lot about gangs. He is now 36 and his life can be divided into two phases. When he was a teenager, after his mother died, he joined a south London gang. At the time, it helped fill a big gap in his life.","Junior Smart knows a lot about gangs. He is now 36 and his life can be divided into two distinct phases. He tells how in his late teens, after his mother died, he became drawn into a south London gang, which, at the time, helped fill a huge vacuum."
"Eventually he was arrested for serious drug crimes and was sent to prison for 12 years. “The first night after I was arrested was the biggest shock of my life,” he says. “I had been living a double life. I had been living as one person to my peers and another person to my peers’ enemies.”","“They became my new support group,” he says. “At first it was just a bit of fun but then it became more serious, more and more about making money. They got involved in crime. That is how it was.” After leaving college, he got a full-time job in administration and worked as a DJ. But, on the side, he was making money illegally as part of the gang.","“They became my new support group,” he says. “At first it was just a bit of fun but then it became more serious, more and more about making money. They got involved in criminality. That is how it was.” At school Smart failed his GCSEs, then retook them at college and passed the lot. He secured a full-time job in administration and worked as a DJ. But, on the side, he was making money illegally as part of the gang."
"Today, Junior Smart runs a team of 12 full-time workers and six volunteers, working to help young criminals and gang members to stop committing crimes. Most of the team are ex-criminals like Smart. A few are still in prison but are allowed out during the day to help. They work with the police, the probation service and other, voluntary organizations to help members of the violent criminal gangs of London.","Eventually he was arrested for serious drug crimes and was sent to prison for 12 years. “The first night after I was arrested was the biggest wake-up call of my life,” he says. “I had been living a double life. I had been living as one person to my peers and another person to my peers’ enemies. I spent a long time sorting myself out.”","Eventually he was arrested for serious
drug-related offences and was sent to prison for 12 years. Instantly, he says, his sense of invincibility was shattered. “The first night after I was arrested was the biggest wake-up call of my life,” he says. “I had been living a dual life. I had been living as one person to my peers and another person to my peers’ enemies. I spent a long time sorting myself out.”"
"Smart’s extraordinary journey from gang member to mentor began when he was in prison. “I couldn’t believe that people kept coming back in and nobody did anything about it. I was talking to the prisoners and they knew what was wrong in their lives, but the problem is that the prison system only deals with the crime.”","Today, Junior Smart runs a team of 12
full-time workers and six volunteers, which aims to turn young criminals and gang members away from crime. Most of the team are
ex-criminals like Smart. A few are still in prison but they are allowed out during the day to help. They work with the police, the probation service and other, voluntary organizations to help people who feel trapped and frightened in the violent criminal gangs of London.","Today, Junior Smart runs a team of 12
full-time workers and six volunteers, which aims to turn young criminals and gang members away from crime. Most of those working there are, like Smart himself, ex-offenders. A few are still serving their sentences but are regarded as having reformed enough to be allowed out during the day to help. They work with the police, the probation service and other, voluntary organizations to help those who feel trapped and frightened in the violent criminal gangs that operate across London."
"“One guy spent £300 a week on cocaine and burgled houses to get the money. He told me how he walked into houses, even when he knew people were there. So he had a drug addiction, but that problem was
never solved.”","For Smart, the extraordinary journey from gang member to mentor began when he was in prison. “I was touched by the people who kept coming back in,” he says. “I couldn’t believe that nothing was done about it. I was talking to the prisoners and they knew what changes they needed in their lives, but the problem is that the prison system only deals with the ‘index’ offence.”","For Smart, the extraordinary journey from gang member to mentor began when he witnessed, from within, a prison system that was so obviously failing its inmates. He recalls a drug addict he befriended who, to his dismay, kept returning. “I was touched by the people who kept coming back in,” he says. “I couldn’t believe that nothing was being done about it. I was talking to the inmates and they knew what needed to be changed in their lives, but the problem is that the prison system only deals with the
‘index’ offence.”"
Smart started working as a prison “listener” – a prisoner who helps new arrivals during their first days inside. Then he had an idea to run his own scheme when he left prison – using the experience of ex-offenders to help others reject crime. He left prison after five years and started his scheme.,"“One guy had a £300-a-week cocaine habit, which he paid for through burglary. He told me how he would walk into a house, even when he knew people were there. So although he had a drug addiction, that problem was never solved. The thing that shocked me is that it is simply a revolving door.”","“One guy had a £300-a-week cocaine habit, which he funded through burglary. He would tell me stuff about how he would walk into a house, even when he knew people were there. So although he had a drug addiction, it never got dealt with. The thing that got me about that is that it is simply a revolving door.”"
"So what does he think now? Does he believe that things are getting better? He says the police have done some good work in arresting gang members. But he criticizes the government because they believe that, when the leader of a gang is arrested, the problem is solved. He believes the arrest of gang leaders can even make things worse.","Smart started working as a prison “listener” – a prisoner who helps new arrivals during their first days in prison. Then he developed an idea to run his own scheme when he was out of prison – using the experience of ex-offenders to help others reject the revolving door of prison life. He was released early, after five years, and got the opportunity to put his idea into practice.","That case and scores of others persuaded Smart to start working as a prison “listener” – an inmate who helps reassure new arrivals and talks them through their first days inside. From there he developed what he calls his own “little plan” to run his own scheme once out of prison – using the experience of ex-offenders to help others reject the revolving door of prison life. He was released early, after five years. “At the end of my sentence I got an opportunity to put my little model into practice,” he says."
"“When you arrest the leader, people in the gang start fighting. Who was the most loyal? Who had the most respect? It is a bit like a violent family. It means that the arrest of the gang leaders has no long-term effect.”","So what does he think now? Does he believe that things are getting better? He is careful to say positive things about the police; he says much of their work in arresting gang members has been good. But in general he is highly critical of a disjointed government approach that believes that, once the leader of a gang is arrested, the problem is solved. He agrees with a report that says the arrest of gang leaders can even make things worse. He says the effect of removing the leader is often to destabilize the entire gang.","So what does he think now? Does he believe that, after the riots of last August, and the government’s promise to crack down on gangs, things are getting better? He is careful to offer some praise to the police and says much of their work in hauling in gang members has been good. But overall he is highly critical of a disjointed government approach that believes that, once the leader of a gang is arrested, the problem is solved. He agrees with the findings of a report that says the arrest of gang leaders can even make things worse. He says the effect of removing the leader is often to destabilize the entire gang."
"Can it make the streets more dangerous? “Yes, it can. If one gang knows that an elder [leader] has been arrested, then they suddenly think that gang’s weak ... And so we have fights between different gangs. And what happens when that elder is in prison? He makes friends with other gang members, or when he comes out of prison he tries
to take control back. That is when
violence happens.”","“When you arrest the top guy, everyone starts fighting for position. Who was the most loyal? Who had the most respect? It is a bit like a family. They are more likely to be violent. It means that the arrest of the gang leaders has been nullified because it has not had a
long-term effect.”","He draws a diagram of the hierarchy on a pad. “When you arrest the top guy, people start fighting for position all the way up. Who was the most loyal? Who had the most respect? It is a bit like a family. They are more likely to act out, through violence. It means that the arrest of the gang leaders has been nullified because it has not had a long-term effect. They have not even given the community a respite.”"
"Smart says gangs are now recruiting members in primary schools. The youngest members are called “tinies”. “Over the last years we have seen more and more of this. The tinies can be just eight to eleven years old.” The youngest members protect their seniors from risk. They often sell drugs or even stab people, he says.","Can it actually make the streets more dangerous? “It can. People take sides. If one gang knows that an elder [leader] has been arrested, then they suddenly think that gang’s weak ... And so there are gang disputes. And what happens when that elder is in prison? He forms alliances with other gang members, or when he is released he then tries to retake control. That is when violence happens.”","Can it actually make the streets more dangerous? “It can do, because in the vacuum the recruitment and manipulation of young people becomes even more prevalent, creating new lower levels all the way down ... People take sides. If one gang or another territorial street network knows that an elder [leader] has been taken out, then they suddenly think that gang’s weak ... And so we have inter-estate disputes going on. And what happens when that elder is in prison? He forms alliances with other gang members, or when he gets released he
then tries to retake control. That is when
violence happens.”"
