Elementary,Intermediate ,Advanced
"Nobody knows which came first: the
economic crisis in Greece or shisha, the
drug that is called the “cocaine of the poor”.
But everyone agrees that shisha is a killer.
And it costs only €2 or less.","Nobody knows which came first: the economic
crisis in Greece or shisha, the drug now known
as the “cocaine of the poor”. But what everyone
knows is that shisha is a killer. And it costs only
€2 or less a hit.","Nobody knows which came first: the economic
crisis tearing Greece apart or shisha, the drug
now known as the “cocaine of the poor”. What
everyone does accept is that shisha is a killer;
and at €2 or less a hit, it is one that has come to
stalk Greece, the country long on the frontline of
Europe’s financial meltdown."
"“It is the worst drug. It burns your insides, it
makes you aggressive and makes you go
mad,” said Maria, an ex-heroin addict. “But it
is cheap and it is easy to get, and everyone
is taking it.”","“It is the worst kind of drug. It burns your
insides, it makes you aggressive and makes
you go totally mad,” said Maria, a former heroin
addict. “But it is cheap and it is easy to get, and
it is what everyone is taking.”","“As drugs go, it is the worst. It burns your
insides, it makes you aggressive and ensures
that you go totally mad,” said Maria, a former
heroin addict. “But it is cheap and it is easy to
get, and it is what everyone is doing.”"
"This drug crisis is making problems for
Athens’s health authorities, who already
have the problem of large financial cuts.","This drug crisis has put Athens’s health
authorities, already having to deal with large
financial cuts, under further strain.","This drug crisis has put Athens’s health
authorities, already overwhelmed by draconian
cuts, under further strain."
"Thousands of homeless Greeks, who live on
the streets because of poverty and a loss of
hope, are taking shisha. The drug is related
to crystal meth. It is often mixed with battery
acid, engine oil and even shampoo. It can
make users become aggressive. And, even
worse, it is easy to buy and easy to make.","The drug of preference for thousands of
homeless Greeks forced on to the streets by
poverty and despair, shisha is described by
both addicts and officials as a drug that is
related to crystal meth. The synthetic drug is
frequently mixed with battery acid, engine oil
and even shampoo. It has the potential to send
users into a state of mindless violence. And,
even worse, it is not only easily available, but
also easy to make.","The drug of preference for thousands of
homeless Greeks forced on to the streets by
poverty and despair, shisha is described by
both addicts and officials as a variant of crystal
meth, whose potential to send users into a
state of mindless violence is underpinned by
the substances with which the synthetic drug is
frequently mixed: battery acid, engine oil and
even shampoo."
"“It is a killer, but it also makes you want to
kill,” Konstantinos, a drug addict, said. “You
can kill without understanding that you have
done it. A lot of users have died.”","“It is a killer, but it also makes you want to kill,”
Konstantinos, a drug addict said. “You can kill
without understanding that you have done it.
And it is spreading faster than death. A lot of
users have died.”","Worse still, it is not only readily available but
easy to make – tailor-made for a society that
sees little light at the end of the tunnel."
"Charalampos Poulopoulos, the director of
Kethea, Greece’s anti-drug centre, said
shisha is an “austerity drug” – it is made by
dealers who have become clever at making
drugs for addicts who can no longer afford
heroin and cocaine.","For Charalampos Poulopoulos, the head of
Kethea, Greece’s anti-drug centre, shisha
symbolizes the crisis that has led to record
levels of destitution and unemployment. It is,
he said, an “austerity drug” – it is the response
of dealers who have become more and more
clever at producing synthetic drugs designed for
those who can no longer afford more expensive
highs from such drugs as heroin and cocaine.","“It is a killer, but it also makes you want to kill,”
said Konstantinos, a drug addict. “You can kill
without understanding that you have done it. And
it is spreading faster than death. A lot of users
have died.”"
"“The crisis has given dealers the possibility
to sell a new, cheap drug, a cocaine for the
poor,” said Poulopoulos. “You can sniff or
inject shisha and you can make it at home –
you don’t need any special knowledge. It is
extremely dangerous.”","“The crisis has given dealers the possibility
to promote a new, cheap drug, a cocaine for
the poor,” said Poulopoulos at a centre for
addicts in Exarcheia, in Athens. “Shisha can be
sniffed or injected and it can be made in home
laboratories – you don’t need any specialized
knowledge. It is extremely dangerous.”","For Charalampos Poulopoulos, the head of
Kethea, Greece’s pre-eminent anti-drug centre,
shisha symbolizes the depredations of a crisis
that has led to record levels of destitution and
unemployment. It is, he said, an “austerity drug”
– the response of dealers who have become
ever more adept at producing synthetic drugs
designed for those who can no longer afford
more expensive highs from such drugs as heroin
and cocaine."
"In all parts of Greece, there is a lot of
depression, and drug and alcohol abuse.
Crime has increased because austerity
measures have cut the income of ordinary
Greeks by 40%. Prostitution – the easiest
way to pay for drugs – has also increased.","Across Greece, six years of recession have
been brutal and cruel. Depression, together with
drug and alcohol abuse, has risen dramatically.
Crime has soared as a result of austerity
measures that have cut the income of ordinary
Greeks by 40%. Prostitution – the easiest way
of paying for drugs – has similarly skyrocketed.","“The crisis has given dealers the possibility
to promote a new, cheap drug, a cocaine for
the poor,” said Poulopoulos at a centre run for
addicts in Exarcheia, the anarchist stronghold in
Athens. “Shisha can be sniffed or injected and
it can be made in home laboratories – you don’t
need any specialized knowledge. It is
extremely dangerous.”"
"There are more suicides and HIV infections,
and drug addicts (around 25,000 people)
have become more and more selfdestructive.
Sixty-four per cent of young
people in Greece are unemployed – this is
the highest youth unemployment in the EU.","“Many women agree to have unprotected
sex because that way they’ll make more
money,” said Eleni Marini, a psychologist with
Kethea. “Shisha has been linked to a very
intense sexual drive but it attacks your ability
to think clearly and we’re seeing a lot more
pregnancies among drug addicts who engage
in prostitution.” In 2012, two sex workers gave
birth on the streets of Athens.","Across Greece, the byproducts of six straight
years of recession have been brutal and cruel.
Depression, along with drug and alcohol abuse,
has risen dramatically. Delinquency and crime
have soared as Greek society has unravelled
under the weight of austerity measures that
have cut the income of ordinary Greeks by 40%.
Prostitution – the easiest way of financing drug
addiction – has similarly skyrocketed."
"At the time when organizations such as
Kethea need extra help, the Greek state
has cut by a third the money it gives them.
The European Commission, European
Central Bank and International Monetary
Fund asked them to do this to help save the
Greek economy.","As the number of suicides has also increased
and HIV infections are spreading, drug addicts
(a population believed to be around 25,000)
have become increasingly self-destructive. And,
experts say, young Greeks marginalized by
record rates of unemployment – at 64% Greece
has the highest youth unemployment in the EU
– are leading the way.","“Desperation is such that many women agree
to engage in unprotected sex because that way
they’ll make more money,” said Eleni Marini, a
British-trained psychologist with Kethea. “Shisha
has been linked to a very intense sexual drive
but it attacks your ability to think straight and
we’re seeing a lot more pregnancies among drug
addicts who engage in prostitution.” In 2012, two
sex workers gave birth on the streets of Athens."
