Elementary,Intermediate ,Advanced
"Ninety-six people died at Sheffield Wednesday’s Hillsborough Stadium in 1989. During an extraordinary day 23 years later at Liverpool Cathedral, where the families of the victims met to see a report on the disaster, the most important words were: the truth. This was the headline in The Sun newspaper. We now know that the story in the newspaper was false and that the police gave them the story.","During a momentous day at Liverpool Cathedral for the families of the 96 people who died so needlessly at Sheffield Wednesday’s Hillsborough football ground, you could hear one phrase again and again: the truth. These were the words used in a headline in The Sun newspaper. We now know that the story in the newspaper was given to the paper by the South Yorkshire Police to move the blame for the disaster onto the innocent victims.","Throughout a momentous day at Liverpool’s Anglican Cathedral for the families of the 96 people who died so needlessly at Sheffield Wednesday’s Hillsborough football ground, one phrase dominated above all else: the truth. These were the words most infamously abused by a headline in The Sun newspaper, above stories which we now know, in extraordinarily shocking detail, were fed by the South Yorkshire Police to deflect their own culpability for the disaster on to the innocent victims."
"Margaret Aspinall’s son James, then 18, died at the match between Liverpool and Nottingham Forest. She said the families had to fight for 23 years for the truth. She said that the families’ sadness will never go away, but she is very pleased that the Prime Minister said sorry
for Hillsborough.","Margaret Aspinall’s son James, then 18, died at the match between Liverpool and Nottingham Forest. She said the families had had to fight for 23 years for the truth. Aspinall, Chairperson of the Hillsborough Family Support Group, said that the families’ loss would never go away, but she was “delighted” that the Prime Minister gave a “profound” apology for Hillsborough.","Margaret Aspinall, whose son James, then 18, died at what should have been a joyful day out, an FA Cup semi-final between Liverpool and Nottingham Forest, said the families had been forced to fight, for 23 years, for just that: the truth. Aspinall, Chair of the Hillsborough Family Support Group, said that, although the families’ loss would never fade, she was “delighted” at the unequivocal, “profound” apology given for Hillsborough’s savage failings by David Cameron."
"An independent panel looked at 450,000 documents written by the police, Sheffield Wednesday and all the other groups involved. The panel then wrote a 395-page report. In the report they criticize official mistakes and say that the victims and other fans were not to blame. We already knew the cause of the disaster but we didn’t know that the police cover-up was so big. It is shocking how the police blamed the football fans for the disaster.","An independent panel studied 450,000 documents created by the police, Sheffield Wednesday and all other bodies responsible. Then it produced a 395-page report, criticizing official mistakes and highlighting the fact that the victims and other fans were not responsible. Some of the causes of the disaster have been exposed before but the depth of the cover-up was still shocking, in particular the police campaign to falsely blame the supporters.","The Hillsborough Independent Panel had inspected 450,000 documents generated by the police, Sheffield Wednesday and all other bodies responsible, and delivered its remarkable 395-page report indicting official failings and vindicating the victims and football supporters."
"The panel found that the South Yorkshire Police, led by the Chief Constable, Peter Wright, told their story that drunken fans or those without tickets caused the disaster. They tested the victims’ blood for alcohol. When victims had alcohol in their blood, the police then checked to find if they had criminal records. The police said that many Liverpool fans were very drunk, were without tickets and were very violent, but the report found “no evidence” for this.","The panel found that the South Yorkshire Police, led by the Chief Constable, Peter Wright, told their story that drunken supporters or those without tickets had caused the disaster. The victims’ blood was tested for alcohol levels. This was “an exceptional decision”, the panel said, and it found “no rationale” for it. When victims had alcohol in their blood, the police then checked to find if they had criminal records. The report found there was “no evidence … to prove the serious allegations of exceptional levels of drunkenness, ticketlessness or violence among Liverpool fans”.","Some of what happened to cause the disaster, and the police’s subsequent blame-shifting, has been exposed before. But the depth of what the families call a cover-up, in particular the deliberate police campaign to avoid its own responsibilities and falsely blame the supporters, was still startling."
The report said that Wright met with police in a Sheffield restaurant to prepare “a defence” and “a story”. The meeting happened just four days after the disaster. It was the day that The Sun newspaper published its headline “The Truth” and the story by four senior South Yorkshire police officers.,The report found that Wright met his police federation in a Sheffield restaurant to prepare “a defence” and “a rock-solid story”. The meeting was held just four days after the disaster. It was the day that The Sun newspaper published its headline “The Truth” over lies told to it by four senior South Yorkshire police officers.,"In a concerted campaign – led, the panel found, by the Chief Constable, Peter Wright – the South Yorkshire Police put out their story that drunken supporters or those without tickets had caused the disaster. The victims had their blood tested for alcohol levels. This was “an exceptional decision”, the panel said, for which it found “no rationale”. When victims had alcohol in their blood, the police then checked to find if they had criminal records."
"The panel found that officers’ statements were changed to remove criticism of the police and emphasize bad behaviour by fans. The panel found that 116 of 164 statements were changed “to remove or change negative comments about South Yorkshire police”. The police said this was done only to remove “opinion” from the statements, but the panel said they did more than that. “It was done to remove criticism of the police,” the report said.","The panel found that officers’ statements were changed to delete criticism of the police and emphasize misbehaviour by supporters. The panel found that 116 of 164 statements were changed to remove or change negative comments about South Yorkshire police. The police had claimed they changed statements only to remove “opinion”, but the panel had no doubt they did more than that. “It was done to remove criticism of the police,” the report said.","The report, substantially authored by Professor Phil Scraton of Queen’s University, Belfast, and unanimously agreed by the panel of eight experts, found there was “no evidence … to verify the serious allegations of exceptional levels of drunkenness, ticketlessness or violence among Liverpool fans”."
"The original inquiry did not believe this propaganda. It decided in August 1989 that the police stories of fan drunkenness and violence were false, and it criticized the police for telling lies. It said that Sheffield Wednesday’s stadium was unsafe, that the Football Association chose that stadium for the match without even checking if it had a safety certificate. It did not have a certificate.","This propaganda did not convince the original inquiry. It found in August 1989 that the police stories of fan drunkenness and misbehaviour were false, and criticized the police for making the claims. It revealed that Sheffield Wednesday’s football ground was unsafe, that the Football Association had chosen it as the stadium for the match without even checking if it had a valid safety certificate (it did not).","The report found that even as the nightmare began for the families of the victims, Wright was meeting his police federation in a Sheffield restaurant to prepare “a defence” and “a rock-solid story”. The Secretary of the South Yorkshire Police Federation branch, Constable Paul Middup, told the restaurant meeting before Wright turned up: “The Chief Constable had said the truth could not come from him, but had given the secretary a totally free hand and supported him,” as had many senior officers."
"But “the main cause” of the disaster was the way the police controlled the crowd. The police lost control outside the stadium, where 24,000 Liverpool fans had to go through just 23 small entrance gates. So police opened a large exit gate and lots of people were allowed in. They did not close one of the tunnels and, the inquiry said, this was their big mistake.","But it was the mismanagement of the crowd by the police, led by an inexperienced Chief Superintendent David Duckenfield, that was “the main cause” of the disaster. The police lost control outside the ground, where 24,000 Liverpool fans had to go through just 23 turnstiles, so Duckenfield ordered a large exit gate to be opened and a large number of people to be allowed in. His mistake, according to the inquiry, was the failure to close the tunnel that led to the central section behind the goal, which was already overcrowded.",The meeting was held just four days after the disaster. It was the day that The Sun splashed its headline “The Truth” over lies fed to it by four senior South Yorkshire police officers. Middup was encouraged to continue this police campaign of defaming Liverpool supporters for supposed drunkenness and misbehaviour and “to get the message – togetherness – across to the force”.
"But the police still repeated their lies at the inquest. The coroner decided not to take evidence of what happened after 3.15pm on the day of the disaster, so he did not look at the chaotic behaviour of the police and the ambulance service. The panel found that if the police and ambulance service had done their jobs better, they could have saved 41 of the 96 lives lost.","But the police still repeated their claims at the inquest. The coroner decided not to take evidence of what happened after 3.15pm on the day of the disaster, so the chaotic emergency response was not examined. The panel found that 41 of the 96 who died could possibly have been saved if the police and ambulance service had done their
jobs properly.","The panel’s report sustained the allegation made in parliament that the orchestrated changing of junior officers’ statements by senior South Yorkshire police officers amounted to a “black propaganda unit”. The officers’ statements, presented as official police accounts to the subsequent inquiry, were changed to delete criticism of the police themselves on the day, and, largely, emphasize misbehaviour by supporters. The panel found that 116 of 164 statements were amended “to remove or alter comments unfavourable to South Yorkshire police”."
"There may now be a new inquest. There may be prosecutions too, after all these years, of Sheffield Wednesday, South Yorkshire Police and Sheffield City Council, which was responsible for the safety of the stadium. Trevor Hicks, whose two daughters died in the disaster, said: “The truth is out today,” Hicks said. “Tomorrow is for justice.”","Following the panel’s report, the Attorney General will now decide whether to have a new inquest. There may be prosecutions too, after all these years, of Sheffield Wednesday, South Yorkshire Police and Sheffield City Council, which failed in its duty to oversee safety of the football ground. Trevor Hicks, President of the Hillsborough Family Support Group, whose two teenage daughters died in the disaster, said: “The truth is out today. Tomorrow is for justice.”","The police had claimed this was done only to remove “conjecture” and “opinion” from the statements, but the panel had no doubt the operation, to craft a case rather than deliver truthful police accounts, went further. “It was done to remove criticism of the police,” Scraton said."
