Elementary,Intermediate ,Advanced
"In the West, people do not usually eat
insects. But in some parts of the world,
insects are an important food and in spring
2013 there will be an effort to show people
that eating insects is not disgusting. And we
may soon be able to buy insects
in supermarkets.","Insects are not usually seen as food except
in a few regions of the world – but now they
are crawling closer and closer to our plates.
In spring 2013 there will be an effort to show
people that eating insects is not disgusting and
also an attempt to put insects on
supermarket shelves.","Crunchy, full of protein and to be found
under a rock near you. Insects have long
been overlooked as food in all but a handful
of places around the world – but now they
are crawling closer and closer to our plates.
Spring 2013 will see a drive towards removing
the yuck factor and putting insects not just on
experimental gastronomic menus but also on
supermarket shelves."
"In April, there will be a festival in London,
Pestival 2013, where there will be a
discussion about the question of eating
insects. The festival will include a restaurant
by the Nordic Food Lab, the Scandinavian
team behind the Danish restaurant Noma,
which brought extremely popular insect
dishes to Claridge’s hotel in London in 2013.","In April, there will be a festival in London,
Pestival 2013, where the consumption of
creepy-crawlies will be discussed. The festival
will include a restaurant by the Nordic Food
Lab, the Scandinavian team behind the Danish
restaurant Noma, which brought dishes that
included ants to Claridge’s hotel in Mayfair in
2012, an event that was mostly sold out.","In April, there will be a festival in London,
Pestival 2013 – a Wellcome Trust-backed
insect appreciation event where the
consumption of creepy-crawlies comes
high on the agenda. It will feature a two-day
“pop-up” restaurant by the Nordic Food Lab,
the Scandinavian team behind the Danish
restaurant Noma, which brought ants to the
table for a sellout ten-day run at Claridge’s
hotel in Mayfair in 2012."
"Noma has been named the best restaurant
in the world by Restaurant magazine for
three years. Its chef, René Redzepi, says
that ants taste like lemon, and a mixture of
grasshoppers and moth larvae tastes like
a strong fish sauce. Bee larvae make a
sweet mayonnaise used instead of eggs and
scientists find new ways to use insects all
the time.","Noma has been named the world’s best
restaurant by Restaurant magazine for three
years. Its chef, René Redzepi, says that ants
taste like lemon, and a purée of fermented
grasshoppers and moth larvae tastes like
a strong fish sauce. Bee larvae make a
sweet mayonnaise used instead of eggs and
scientists are constantly finding new ways to
use insects.","Noma has been named the world’s best
restaurant by Restaurant magazine for three
years running. Its chef, René Redzepi, says
that ants taste like lemon, and a purée of
fermented grasshoppers and moth larvae
tastes like a strong fish sauce. Bee larvae
make a sweet mayonnaise used in place of
eggs and scientists are constantly coming up
with new ways to use little creatures."
"In March, a BBC documentary will show a
food writer eating deep-fried locusts and
barbecued spiders. But, behind all the jokes
there is a very serious message. Many
experts believe that if humans eat insects, it
will be very good for the environment","In March, a BBC documentary will show food
writer Stefan Gates looking for and eating
deep-fried locusts and barbecued spiders.
But, behind all the jokes there is a very serious
message. Many experts believe there is a
clear environmental benefit to humans
eating insects.","In March, a BBC documentary will feature
food writer Stefan Gates searching out and
eating deep-fried locusts and barbecued
tarantulas. But, behind all the gimmicks and
jokes about flies in the soup there is a deeply
serious message. Many experts believe there
is a clear environmental benefit to humans
eating creepy-crawlies."
"The UN’s Food and Agriculture Organization
(FAO) gives money to projects that show
people they can eat and farm insects in
south-east Asia and Africa. In these places
about two billion people already eat insects
and larvae as a normal part of their diet.
In 2012, the FAO published a list of 1,909
edible species of insect and plans a major
international conference on “this valuable
food source” in 2013.","The UN’s Food and Agriculture Organization
(FAO) has been funding projects since 2011
that aim to promote the eating and farming of
insects in south-east Asia and Africa, where
an estimated two billion people already eat
insects and larvae as a regular part of their
diet. In 2012, the FAO published a list of 1,909
edible species of insect and plans a major
international conference on “this valuable food
source” in 2013.","The UN’s Food and Agriculture Organization
(FAO) has been funding projects since 2011
aimed at promoting the eating and farming of
insects in south-east Asia and Africa, where
an estimated two billion people already eat
insects and caterpillar larvae as a regular
part of their diet. In 2012, the FAO published
a list of 1,909 edible species of insect and,
with sponsorship from the Dutch government,
plans a major international conference on “this
valuable food source” in 2013."
"There are lots of insects – there are 40
tonnes of insects for every person in the
world – so they will not become endangered.
“I know it’s taboo to eat bugs in the West,
but why not?”, Redzepi said. “You go to
south-east Asia and this is a common
thing. You read about it from all over the
world, that people are eating insects. We
eat honey, and honey is the vomit of a bee.
Think of that next time you put it into
your tea.”","there are 40 tonnes of insects – so there is
not too much chance that they will become
endangered. “I know it’s taboo to eat bugs in
the western world, but why not?”, Redzepi has
said. “You go to south-east Asia and this is a
common thing. You read about it from all over
the world, that people are eating insects. If you
like mushrooms, you’ve eaten so many worms
you cannot imagine. But also we eat honey,
and honey is the vomit of a bee. Think of that
next time you put it into your tea.”","Insects are plentiful – globally, for every
human there are 40 tonnes of insects – so
there is not too much chance of them being
endangered, and they are unlikely to have
been dosed with chemicals. “I know it’s taboo
to eat bugs in the western world, but why
not?”, Redzepi has said. “You go to south-east
Asia and this is a common thing. You read
about it from all over the world, that people
are eating bugs. If you like mushrooms, you’ve
eaten so many worms you cannot imagine.
But also we eat honey, and honey is the vomit
of a bee. Think of that next time you pour it
into your tea.”"
"He said that the basic idea behind Nordic
Food Lab is that you can eat everything.","He said that the basic idea behind Nordic Food
Lab was: “Nothing is not edible.”","He said that the basic premise behind Nordic
Food Lab was: “Nothing is not edible.”"
"Insects are very important to life on Earth
and they are the most diverse group of
animals on the planet: there are more than a
million species. But most people hate them
and often kill them.","Insects are critical to life on Earth and, with
more than a million species, are the most
diverse group of creatures on the planet, but
they are misunderstood, hated and often killed
by humans just because they are there.","Insects are critical to life on Earth and, with
more than a million species, are the most
diverse group of creatures on the planet, yet
they are misunderstood, hated and often put
to death by humans just because they
are there."
"In the next 30 years, the planet’s human
population will increase to nine billion.
Already one billion people do not get enough
food. The increase will put more pressure on
agricultural land, water, forests,
fisheries and resources, and also food and
energy supplies.","Over the next 30 years, the planet’s human
population will increase to nine billion. Already
one billion people do not get enough food. The
increase will put more pressure on agricultural
land, water, forests, fisheries and resources,
as well as nutrients and energy supplies.","Over the next 30 years, the planet’s human
population will increase to nine billion. Already
one billion people do not get enough food.
The increase will mean more pressure on
agricultural land, water, forests, fisheries and
biodiversity resources, as well as nutrients
and energy supplies."
"The cost of meat is increasing – it costs
more money now, but also people have
to destroy a lot of rainforest to make
fields or to grow food for cows. Cows also
make methane. The farming of cows, pigs
and sheep makes very big amounts of
greenhouse gases – 35% of the planet’s
methane, 65% of its nitrous oxide and 9% of
the carbon dioxide.","The cost of meat is rising, not just in terms
of money but also in terms of the amount
of rainforest that is destroyed for fields or to
grow food for cattle. There is also the issue
of methane produced by cows. In terms of
greenhouse gas emissions, the contribution
by livestock farming is enormous – 35% of the
planet’s methane, 65% of its nitrous oxide and
9% of the carbon dioxide.","The cost of meat is rising, not just in terms
of hard cash but also in terms of the amount
of rainforest that is destroyed for grazing
or to grow feedstuff for cattle. There is also
the issue of methane excreted by cows.
The livestock farming contribution, in terms
of greenhouse gas emissions, is enormous
– 35% of the planet’s methane, 65% of its
nitrous oxide and 9% of the carbon dioxide."
