Elementary,Intermediate ,Advanced
"A menu scandal at some of Japan’s top
hotels and department stores is damaging
the international reputation of
Japanese food.","It began with a bogus scallop, but a menu
scandal that has affected some of Japan’s top
hotels and department stores now threatens the
international reputation of the country’s food.","It began with a bogus scallop, but a menu
scandal that has engulfed some of Japan’s
most prestigious hotels and department stores
now threatens to undermine the international
reputation of the country’s vaunted cuisine."
"One luxury hotel group admitted that it
lied about ingredients on its menus. Since
then, there have been similar stories from
restaurants run by famous hotels and
department stores in Japan.","Since one luxury hotel chain admitted lying about
ingredients on its menus, Japanese media have
written stories of similar incidents in restaurants
run by well-known hotels and department stores","Since one luxury hotel chain admitted lying
about the provenance of ingredients on its
menus, Japanese media have served up almost
daily revelations of similar transgressions
by restaurants run by well-known hotels and
department stores."
"The story began when the Hankyu-Hanshin
hotel group admitted that it gave false
descriptions of menu items at some of its
restaurants between 2006 and
October 2013.","The story began when the Hankyu-Hanshin
hotel chain, based in Osaka, admitted it had
given false descriptions of dozens of menu
items at some of its restaurants between 2006
and October 2013, which affected an estimated
78,000 diners.","The frenzy began when the Hankyu-Hanshin
hotel chain, based in Osaka, admitted it had
given false descriptions of dozens of menu items at
some of its restaurants between 2006 and October
2013, affecting an estimated 78,000 diners."
"For example, the red salmon ‘caviar’ that
customers ordered was in fact the eggs of
the flying fish.","One of the worst menu misdemeanours was a
red salmon ‘caviar’ dish that was actually the less
luxurious eggs of the flying fish.","Among the chief menu misdemeanours was a red
salmon ‘caviar’ dish that turned out to be the less
sumptuous eggs of the flying fish."
"The hotel group’s president, Hiroshi Desaki,
went on television to announce a 20% pay
cut for himself and 10% for other executives.
But this did not make customers
less angry.","The hotel group’s president, Hiroshi Desaki, went
on television to announce a 20% pay cut for
himself and 10% for other executives but this did
not make consumers any less angry.","A televised attempt by the hotel group’s
president, Hiroshi Desaki, to limit the damage by
announcing a 20% pay cut for himself and 10%
for other executives, failed to mollify
angry consumers."
"Days later, Desaki resigned – he said that
the hotel group had betrayed
their customers.","Days later, Desaki resigned, saying that the hotel
group had “betrayed our customers.” One of the
hotel’s head chefs later declined a medal of honour
he was going to receive from the government.","Days later, Desaki resigned, conceding that
the hotel group had “betrayed our customers”,
although he added: “We never had the intention
to deceive them.” One of the hotel’s head chefs
later declined a medal of honour he was due to
receive from the government."
"So far, the company has refunded 20 million
yen to more than 10,000 consumers. In
total, they will refund 110 million yen.","The company has so far refunded 20 million yen
to more than 10,000 consumers. The final bill is
expected to reach 110 million yen.","The company has so far refunded more than
10,000 consumers to the tune of 20m yen; the
eventual bill is expected to reach 110m yen."
"Customers who believed they ate expensive
kuruma shrimps were told they in fact ate
much cheaper black tiger shrimps.","Consumers who believed they had eaten
expensive kuruma shrimps were told they had in
fact eaten the much cheaper black tiger version.","Japan’s version of the UK horsemeat scandal
has since spread to several household names in
catering. While, as in the UK, no one has fallen ill
from eating mislabelled produce, the outbreak of
anger shows no sign of abating."
"complained in a blogpost that a ‘scallop’
dish he ordered at the Prince Hotel in Tokyo
contained a similar, but cheaper, type
of shellfish.","The scandal started when a diner complained in
a blogpost that a ‘scallop’ dish he had ordered at
the Prince Hotel in Tokyo contained a similar, but
cheaper, type of shellfish.","Consumers who believed they had eaten prized
kuruma shrimps, for example, were told they
had in fact dined on the much cheaper black
tiger version."
"The hotel investigated the complaint and as
a result corrected more than 50 menu items
at dozens of its restaurants. Its report scared
Hankyu-Hanshin and other hoteliers into
admitting that they, too, lied to customers
who believed they were paying high prices
for top ingredients.","The hotel started an investigation and as a result
corrected more than 50 menu items at dozens of
its restaurants. Its report scared Hankyu-Hanshin
and other hoteliers into admitting that they, too,
had hoodwinked diners who believed they were
paying high prices for top ingredients.","The first incident went almost unnoticed. The
Prince Hotel in Tokyo was forced to come clean
after a diner complained in a blogpost that a
‘scallop’ dish he had ordered contained a similar,
but cheaper, type of shellfish."
"The Hotel Okura group – where Barack
Obama has stayed – said they also injected
beef with fat to make it juicier and incorrectly
described tomatoes as organic.","The Hotel Okura chain – whose guests have
included Barack Obama – said they had also
injected beef with fat to make it juicier and
incorrectly described tomatoes as organic.","The hotel launched an investigation and went on
to correct more than 50 menu items at dozens of
its restaurants. Its report scared Hankyu-Hanshin
and other hoteliers into admitting that they, too,
had hoodwinked diners who believed they were
paying high prices for premium ingredients."
"“We apologize for lying to our clients,”
it said.","“We deeply apologize for betraying the
expectations and confidence of our clients,” it
said in a statement.","The Hotel Okura chain – whose guests have
included Barack Obama – confessed myriad sins,
including injecting beef with fat to make it juicier
and incorrectly describing tomatoes as organic."
"The list of fraudulent ingredients gets bigger:
orange juice from cartons that was sold as
freshly squeezed; Mont Blanc desserts with
Korean chestnuts instead of the French
ones on the menu; shop-bought chocolate
cream that the menu said was home-made;
imported beef sold as expensive
wagyu beef.","The list of fraudulent ingredients continues to
grow: orange juice from cartons sold as freshly
squeezed; Mont Blanc desserts topped with
Korean chestnuts instead of the promised French
ones; shop-bought chocolate cream that the
menu said was home-made; imported beef sold
as expensive wagyu.","“We deeply apologize for betraying the
expectations and confidence of our clients,” it
said in a statement."
"The menu scandal has come at the wrong
time. Japan is trying to persuade South
Korea and other countries to start to buy
Japanese food again after the Fukushima
nuclear accident.","Even the government’s top spokesman,
Yoshihide Suga, commented on the scandal.
“This inappropriate labelling has resulted in the
loss of trust among consumers,” he
told reporters.","The list of fraudulent ingredients continues to
grow: orange juice from cartons sold as freshly
squeezed; Mont Blanc desserts topped with
Korean chestnuts instead of the promised French
ones; bought-in chocolate cream masquerading
as home-made; imported beef sold as
high-end wagyu."
"Food industry experts said the global
financial crisis in 2008 forced luxury hotels
to save money.","The fraudulent menu scandal has exploded at
just the wrong time. Japan is trying to persuade
South Korea and other countries to lift a ban on
food imports that began after the Fukushima
nuclear accident. And UNESCO is considering
a request to add Japanese cuisine to its cultural
heritage list.","Even the government’s top spokesman,
Yoshihide Suga, was moved to comment on the
scandal. “These incidents have surfaced one
after the other and this inappropriate labelling
has resulted in the loss of trust among
consumers,” he told reporters. “These are
clearly cover-ups.”"
