Elementary,Intermediate ,Advanced
"Police and intelligence agencies around the world
have, for almost 100 years, used the polygraph, a
lie-detector test, to help catch criminals and spies.","Police and intelligence agencies around the world
have, for almost 100 years, used lie detectors to
help convict criminals or find spies and traitors.","Police and intelligence agencies around the world
have, for almost 100 years, relied on lie detectors to
help convict criminals or unearth spies and traitors."
"But, now, researchers in Britain and the
Netherlands have developed a new method, which
is correct (in tests) over 70% of the time. Police
stations around the world might begin using this
new method within ten years. It doesn’t monitor
movements in the face, talking too much or waving
arms – all signs that someone is lying. The new
method monitors movements in the whole body,
which can show that the person is feeling guilty.","But the polygraph could soon be defunct.
Researchers in Britain and the Netherlands have
developed a new method that has a success rate,
in tests, of over 70%. This new method could be
in use in police stations around the world within a
decade. It doesn’t monitor facial tics, talking too much
or waving of arms, which are all signs that someone
is lying. The new method monitors full-body motion,
which can show that the person is feeling guilty.","The polygraph is beloved of the movies, with
countless dramatic moments showing the guilty
sweating profusely as they are hooked up."
"The polygraph is often used in the US in criminal
cases and by the FBI and CIA but is much less
popular in Europe. Many people do not believe that
it is reliable.","The polygraph is widely used in the US in criminal
cases and for security clearance for the FBI and
CIA but is much less popular in Europe. Many
people in the scientific and legal communities do
not believe that it is reliable. By contrast, the new
method has performed well in experiments.","But the invention could soon be defunct.
Researchers in Britain and the Netherlands have
made a breakthrough, developing a method with
a success rate in tests of over 70% that could be
in use in police stations around the world within a
decade. Rather than relying on facial tics, talking
too much or waving of arms – all seen as tell-tale
signs of lying – the new method involves monitoring
full-body motions to provide an indicator of signs of
guilty feelings."
"The basic idea behind the new method is that liars
fidget more and that an all-body motion suit – the
kind used in films to create computer-generated
characters – will record this.","The basic thought is that liars fidget more and so
the use of an all-body motion suit – the kind used in
films to create computer-generated characters – will
record this. The suit has 17 sensors that register
movement up to 120 times per second in three
dimensions for 23 joints.","The polygraph is widely used in the US in criminal
and other cases and for security clearance for
the FBI and CIA but is much less popular in
Europe. There has been a lot of scepticism in the
scientific and legal communities about its reliability.
By contrast, the new method developed by the
researchers has performed well in experiments."
"The new method is over 70% reliable – the
polygraph is only 55% reliable. In some tests, the
success rate of the new method was more than 80%.","One of the research team, Ross Anderson,
professor of security engineering at Cambridge
University, said that years of research show that an
interviewer will know whether someone is telling the
truth, and not lies, in only about 55 times out of 100","The basic premise is that liars fidget more and so
the use of an all-body motion suit – the kind used
in films to create computer-generated characters –
will pick this up. The suit contains 17 sensors that
register movement up to 120 times per second in
three dimensions for 23 joints."
"Ross Anderson, one of the research team, said:
“Guilty people fidget more and we can now
measure this.”","He said the new method, by contrast, was right over
70% of the time. And he was confident they would
be able to do better. In some tests, the team has
already achieved more than 80%.","One of the research team, Ross Anderson,
professor of security engineering at Cambridge
University, said: “Decades of deception research
show that the interviewer will tell truth from lies only
slightly better than random, about 55 out of 100."
"The polygraph was created in 1921 by policeman
John Larson. It records changes in pulse, blood
pressure, sweating and breathing to find out if
someone is lying.","Anderson said: “Guilty people fidget more and we
can measure this.”","“The polygraph has been around since the 1920s
and, by measuring physiological stress induced by
anxiety, you can get to 60. However, it can easily be
abused as an interrogation prop and many people
are anxious anyway facing a polygraph on which
their job or liberty depends.”"
"In movies, the polygraph is always correct but, in
1998, the US Supreme Court decided that there
was no agreement that the polygraph was reliable.
The US National Academy of Scientists said the
same thing in 2003.","Anderson added that the research had a special
significance at this time because of a recent US
Senate report on torture by the CIA. There are
problems with torture from a moral point of view but
it is also a very unreliable way of getting accurate
information. “We have known for a long time that
torture does not work,” Anderson said. The new
method offers a good alternative to interviews.","He said the new method, by contrast, achieved a
reliability rating of over 70% and he was confident
they would be able to do better. In some tests, the
team has already achieved more than 80%."
"The tests Anderson and his colleagues did
involved 180 students and employees at Lancaster
University. Half of the people were told to tell the
truth and half to lie.","The research paper was written by Dr Sophie van
der Zee of Cambridge University, Professor Ronald
Poppe of Utrecht University, Professor Paul Taylor
of Lancaster University and Anderson.","Anderson said: “The takeaway message is that
guilty people fidget more and we can measure
this robustly.”"
"The researchers interviewed some of the people
about a computer game called Never End that they
played for seven minutes. Others lied about
playing it.","The polygraph was created in 1921 by policeman
John Larson. It records changes in pulse, blood
pressure, sweating and breathing to find out
whether someone is lying.","Anderson added that the research had a special
significance at this time, against the background of
the US Senate report on torture by the CIA. Apart
from the moral case against torture, Anderson
pointed out that it was a very unreliable way of
gathering accurate information. “We have known
for a long time that torture does not work,” he said.
The new method offers a pragmatic, scientifically
backed alternative to conducting interviews."
