Elementary,Intermediate ,Advanced
"All six numbers match, so now you can buy that Audi, book the holiday in the US and look for a new house. That’s what most lottery millionaires do, says a study of what jackpot winners do with their money.","All six numbers match, so it’s time to buy that Audi, book the holiday in the US and phone the estate agent. At least, that’s what most lottery millionaires do, according to a study of spending and investment by
jackpot winners.","The balls have dropped down the chute and all six numbers match, so it’s time to buy that Audi, book the holiday in the US and phone the estate agent. At least, that’s what most lottery millionaires do, according to an analysis of spending and investment by jackpot winners."
"Since it started in 1994, the UK national lottery has created 3,000 millionaires. The 3,000 winners have won an average of £2.8 million each. That’s more than £8.5 billion in total. Together, they have created 3,780 more millionaires among their children, family and friends, according to the writers of the study, Oxford Economics.","Since it started in 1994, the UK national lottery has created 3,000 millionaires who have won more than £8.5bn in total, at an average of £2.8m each. Between them, they have created a further 3,780 millionaires among their children, family and friends, according to the authors of the study,
Oxford Economics.","Since its launch in 1994, the lottery has created 3,000 millionaires who have won more than £8.5bn in total, at an average of £2.8m each. The trickle-down effect means that between them they have created a further 3,780 millionaires among their children, family and friends, according to the authors of the study, Oxford Economics."
"Most winners (59%) give up work straight away, but 19% carry on working and 31% do unpaid voluntary work. The good news for the British economy is that 98% of the money that the winners spent stayed in the UK. Through their spending on property, vehicles and holidays, it is estimated that each winner keeps six people in a full-time job for a year.","Most winners (59%) give up work straight away, but 19% carry on working and 31% do unpaid voluntary work. The good news for the economy is that 98% of the money the winners spent remained in the UK. Through their spending on property, vehicles and holidays, it is estimated that each winner keeps six people in a full-time job for a year.","Most winners (59%) give up work straight away, but 19% carry on doing the day job and 31% do unpaid voluntary work. The good news for the economy is that 98% of winners’ spending remained in the UK. Through their spending on property, vehicles and holidays, it is estimated that each winner keeps six people in a full-time job for a year."
"Winners have contributed almost £750 million to the economy. Most of their money was spent on property, with £2.72 billion spent on winners’ main properties, and £170 million in paying off existing debt
and mortgages.","Winners have contributed almost £750m to gross domestic product (GDP), and generated more than £500m in tax for the Exchequer. The bulk of the money went on property, with £2.72bn spent on winners’ main properties, and £170m in paying off existing debt and mortgages.","Winners have contributed almost £750m to gross domestic product (GDP), and generated more than £500m in tax receipts for the Exchequer. The bulk of the money went on property, with £2.72bn spent on winners’ main properties, and £170m in paying off existing debt and mortgages."
"£2.125 billion was spent on investments. £1.17 billion was given to family and friends, and £680 million was spent on cars
and holidays.","£2.125bn was spent on investments. Gifts to family and friends accounted for £1.17bn, and £680m was spent on cars and holidays.","Maintaining income was a priority, with £2.125bn spent on investments. Gifts to family and friends accounted for £1.17bn, and £680m was spent on cars and holidays."
"It found that in total the 3,000 winners have bought 7,958 houses or flats in the UK, or 2.7 each, spending £3.3 billion. Most winners (82%) bought a new house, spending an average £900,000.","The study was based on research from 100 £1m-plus winners. It found that in total the 3,000 winners have purchased 7,958 houses or flats in the UK, or 2.7 each, spending £3.3bn. Most winners (82%) changed their main home, spending an average £900,000.","The study, commissioned by Camelot, the operators of the UK National Lottery, to mark the 3,000-winners milestone, was based on research from 100 £1m-plus winners. It found that in total the 3,000 winners have purchased 7,958 houses or flats in the UK, or 2.7 each, spending £3.3bn. Most winners (82%) changed their main residence, spending an average £900,000."
"The new home is likely to have a hot tub, with almost a third (29%) putting that on their shopping list. 28% bought a walk-in wardrobe, almost a quarter (24%) bought a property behind electric gates, and 22% had a games room, with 7% installing a
snooker table.","The new home is likely to have a hot tub, with almost a third (29%) putting that on their shopping list. A walk-in wardrobe was absolutely necessary for 28%, almost a quarter (24%) chose a property behind electric gates, and 22% had a games room, with 7% installing a snooker table.","The new home is likely to come with a hot tub, with almost a third (29%) putting that on their shopping list. A walk-in wardrobe was a must for 28%, almost a quarter (24%) opted for a property behind electric gates, and 22% had a games room, with 7% installing a snooker table."
"30% of winners employed a cleaner and 24% a gardener for their new houses. A small proportion (5%) employed
a beautician.","Larger properties need maintaining, and 30% of winners employed a cleaner and 24% a gardener. A small proportion (5%) employed a beautician.","Larger properties need maintaining, and 30% of winners employed a cleaner and 24% a gardener. A small proportion (5%) employed a beautician."
"Audis were the favourite cars of 16% of winners, with Range Rovers and BMWs also popular (11% each), as well as Mercedes (10%) and Land Rovers (5%). Winners spent £463 million on 17,190 cars.","Audis were the favourite cars of 16% of winners, with Range Rovers and BMWs also popular purchases (11% each), as well as Mercedes (10%) and Land Rovers (5%). Winners spent £463m on 17,190 cars, with the average price of their favourite
being £46,116.","Audis were the favourite cars of 16% of winners, with Range Rovers and BMWs also popular purchases (11% each), as well as Mercedes (10%) and Land Rovers (5%). Winners spent £463m on 17,190 cars,
with the average price of their favourite being £46,116."
"Holidays were also important. Most (68%) choose five-star hotels overseas. The US was the preferred destination for 27%, followed by the Caribbean (9%). Over the past 18 years, 10% of millionaires have bought a caravan.","Holidays were also a priority. The majority (68%) choose five-star hotels overseas. The US was the favoured destination for 27%, followed by the Caribbean (9%). Closer to home, however, UK caravan sales have benefited. Over the past 18 years, 10% of millionaires have bought a caravan, generating sales worth about £7.4m.","Holidays were also a priority. The majority (68%) choose five-star hotels overseas. The US was the favoured destination for 27%, followed by the Caribbean (9%). Closer to home, however, UK caravan sales have benefited. Over the past 18 years, 10% of millionaires have bought a caravan, generating sales worth about £7.4m."
