Elementary,Intermediate ,Advanced
"The Taliban sent a gunman to shoot Malala
Yousafzai in October 2012 as she went
home on a bus after school. They wanted to
silence the teenager and end her campaign
for girls’ education.","When the Taliban sent a gunman to shoot Malala
Yousafzai in October 2012 as she rode home on a
bus after school, they knew what they wanted: to
silence the teenager and kill off her campaign for
girls’ education.","When the Taliban sent a gunman to shoot Malala
Yousafzai in October 2012 as she rode home on
a bus after school, they made clear their intention:
to silence the teenager and kill off her campaign
for girls’ education."
"Nine months and many operations later, she
stood up at the United Nations on her 16th
birthday. “They thought that the bullet would
silence us. But they failed,” she said.","Nine months and countless surgical operations
later, she stood up at the United Nations on her
16th birthday on Friday to give a defiant reply.
“They thought that the bullet would silence us. But
they failed,” she said.","Nine months and countless surgical operations
later, she stood up at the United Nations on her
16th birthday on Friday to deliver a defiant riposte.
“They thought that the bullet would silence us. But
they failed,” she said."
"It was an unusual 16th birthday. Malala
didn’t blow out candles on a cake; she sat at
the United Nation in the central seat where
world leaders usually sit.","It was an unusual 16th birthday. Instead of
blowing out candles on a cake, Malala sat in
one of the main council chambers at the United
Nations in the central seat usually reserved for
world leaders.","As 16th birthdays go, it was among the more
unusual. Instead of blowing out candles on
a cake, Malala sat in one of the main council
chambers at the United Nations in the central seat
usually reserved for world leaders."
"She listened quietly as Ban Ki-moon, the
UN secretary-general, described her as “our
hero, our champion”; and as the ex-British
prime minister and now UN education envoy,
Gordon Brown, said “the words the Taliban
never wanted her to hear: happy 16th
birthday, Malala”.","She listened quietly as Ban Ki-moon, the UN
secretary-general, described her as “our hero, our
champion”; and as the former British prime minister
and now UN education envoy, Gordon Brown, said
what he called “the words the Taliban never wanted
her to hear: happy 16th birthday, Malala”.","She listened quietly as Ban Ki-moon, the UN
secretary-general, described her as “our hero,
our champion”; and as the former British prime
minister and now UN education envoy, Gordon
Brown, uttered what he called “the words the
Taliban never wanted her to hear: happy 16th
birthday, Malala”."
"The event was named Malala Day after the
girl from Mingora in Pakistan. She became
famous after she wrote a blog for the BBC
Urdu service – in the blog, she described
her difficult experiences of trying to get an
education under the power of the Taliban.","The event, named Malala Day, was the
culmination of an extraordinary four years for
the girl from Mingora in Pakistan. She was thrust
into the public glare after she wrote a blog for the
BBC Urdu service describing her experiences of
struggling to get an education under the rising
power of Taliban militants.","The event, dubbed Malala Day, was the
culmination of an extraordinary four years for the
girl from Mingora, in the troubled Swat valley of
Pakistan. She was thrust into the public glare
after she wrote a blog for the BBC Urdu service
describing her experiences struggling to get an
education under the rising power of Taliban militants."
"When she was 11, she asked the US
special representative to Pakistan, Richard
Holbrooke, to help in her campaign against
the Taliban, who wanted to stop education
for girls. By 14, Archbishop Desmond
Tutu, suggested her for the International
Children’s Peace Prize, and, by 15, she
became the youngest Nobel Peace Prize
nominee in history.","By 11, she was showing exceptional
determination, calling personally on the US
special representative to Pakistan, Richard
Holbrooke, to use his influence against the
Taliban’s efforts to stop education for girls. By 14,
she was on the radar of Archbishop Desmond
Tutu, who suggested her for the International
Children’s Peace Prize, and, by 15, she became the
youngest Nobel Peace Prize nominee in history.","By 11, she was showing exceptional
determination, calling personally on the US
special representative to Pakistan, Richard
Holbrooke, to use his influence to combat the
Taliban’s drive against education for girls. By 14,
she was on the radar of Archbishop Desmond
Tutu, who put her forward for the International
Children’s Peace Prize, and, by 15, she became the
youngest Nobel Peace Prize nominee in history."
"Then she got death threats, and, on 9
October 2012, after a meeting of Pakistani
Taliban leaders, the gunman came to kill her.","But all this global attention came at a price.
Death threats followed, and, on 9 October 2012,
following a meeting of Pakistani Taliban leaders,
the gunman was sent to silence her.","But such dizzying global attention came at a price.
Death threats followed her growing recognition,
and, on 9 October 2012, following a meeting
of Pakistani Taliban leaders, the gunman was
dispatched to remove what they called the
“symbol of infidels and obscenity”."
"She has had many operations in Pakistan
and the UK after the shooting on the bus.
She now lives with her family in Birmingham,
England, and does what the Taliban tried
to stop her doing: she goes to school every
day. “I am not against anyone,” she said.
And she doesn’t want “personal revenge
against the Taliban or any other
terrorist group.”","Multiple operations in Pakistan and the UK
followed the attack on the bus, including the fitting
of a titanium plate on her left forehead and a
cochlear implant to restore her hearing. She now
lives with her family in Birmingham and does what
the Taliban tried to stop her doing: she goes to
school every day. “I am not against anyone,” she
said in the UN chamber, having taken this day out
from the classroom. “Neither am I here to speak in
terms of personal revenge against the Taliban or
any other terrorist group.”","Multiple operations in Pakistan and the UK
followed the attack on the bus, including the fitting
of a titanium plate on her left forehead and a
cochlear implant to restore her hearing. She now
lives with her family in Birmingham and does what
the Taliban tried to stop her doing: goes to school
every day. “I am not against anyone,” she said in
the UN chamber, having taken this day out from
the classroom. “Neither am I here to speak in
terms of personal revenge against the Taliban or
any other terrorist group.”"
"Malala replied to the violence of the Taliban
with words against bullets. “I do not even
hate the Talib who shot me. Even if there
was a gun in my hand and he stood in front
of me, I would not shoot him.”","Malala responded to the violence of the Taliban
with words against bullets. “I do not even hate
the Talib who shot me. Even if there was a gun in
my hand and he stood in front of me, I would not
shoot him.”","Malala responded to the violence of the Taliban
with her own countervailing force: words against
bullets. “I do not even hate the Talib who shot me.
Even if there is a gun in my hand and he stands in
front of me, I would not shoot him.”"
"“The extremists are afraid of books and
pens,” the teenager continued. “The power
of education frightens them. They are afraid
of women. The power of the voice of women
frightens them.”","She spoke confidently, with only an injured eye
and a slightly drooping left side of her face to
hint at such fresh traumas. There was one other
allusion to the horror of her past: she wore a
white shawl belonging to a woman who was also
targeted by extremists but who, unlike Malala,
did not survive: Benazir Bhutto, the former prime
minister of Pakistan.","She spoke confidently, with only an injured eye
and a slightly drooping left side of her face to
hint at such fresh traumas. There was one other
unstated allusion to the horror of her past: she
wore a white shawl belonging to a woman who
was also targeted by extremists but who, unlike
Malala, did not survive to tell the tale: Benazir
Bhutto, the former prime minister of Pakistan."
