Elementary,Intermediate ,Advanced
"Galina Zaglumyonova was woken in her
flat in central Chelyabinsk by a very big
explosion that broke the balcony windows
and broke pots containing her houseplants.
When she jumped out of bed she could see
a huge vapour trail in the morning sky and
hear car alarms from the street below.","Galina Zaglumyonova was woken in her
flat in central Chelyabinsk by an enormous
explosion that blew in the balcony
windows and shattered pots containing her
houseplants. When she jumped out of bed,
she could see a huge vapour trail hanging
in the morning sky and hear car alarms from
the street below.","Galina Zaglumyonova was woken in her flat in
central Chelyabinsk by an enormous explosion
that blew in the balcony windows and shattered
clay pots containing her few houseplants. When
she jumped out of bed she could see a huge
vapour trail hanging in the morning sky and hear
the wail of car alarms from the street below."
"“I didn’t understand what was going on,” said
Zaglumyonova. “There was a big explosion
and then lots of little explosions. My first
thought was that it was a plane crash.” In
fact, it was a ten-tonne meteorite that fell to
Earth in lots of pieces.","“I didn’t understand what was going on,” said
Zaglumyonova. “There was a big explosion
and then a series of little explosions. My first
thought was that it was a plane crash.”","“I didn’t understand what was going on,” said
Zaglumyonova. “There was a big explosion and
then a series of little explosions. My first thought
was that it was a plane crash.”"
"Almost 1,200 people were injured. More
than 40 people were taken to hospital –
most of them were hurt by flying glass.
There were no deaths.","What she had actually witnessed was a
ten-tonne meteorite that fell to Earth in a
series of fireballs just after sunrise.","What she had actually witnessed were the death
throes of a ten-tonne meteorite that plunged to
Earth in a series of fireballs just after sunrise."
"The meteorite entered the atmosphere at a
speed of at least 33,000 miles per hour and
broke into pieces between 18 and 32 miles
above the ground.","Officials said almost 1,200 people had been
injured, with more than 40 taken to hospital
– most as a result of flying glass shattered
by the sonic boom created by the meteorite’s
fall. There were no reported deaths.","Officials put the number of people injured at
almost 1,200, with more than 40 taken to hospital
– most as a result of flying glass shattered by the
sonic boom created by the meteorite’s descent.
There were no reported deaths."
"The event caused panic in Chelyabinsk, a
city of more than one million people to the
south of Russia’s Ural mountains. People
could see the vapour trail for hundreds of
miles, even from neighbouring Kazakhstan.","The meteorite entered the atmosphere
travelling at a speed of at least 33,000mph
and broke up into pieces between 18 and
32 miles above the ground, according to a
statement from the Russian Academy
of Sciences.","The meteorite entered the atmosphere travelling
at a speed of at least 33,000mph and broke up
into chunks between 18 and 32 miles above
the ground, according to a statement from the
Russian Academy of Sciences."
"Tatyana Bets was at work in the reception
area of a hospital clinic in the centre of the
city when the meteorite hit. “First we noticed
the wind, and then the room was filled with a
very bright light and we could see smoke in
the sky,” she said. Then, after a few minutes,
the explosions came.","The event caused panic in Chelyabinsk,
a city of more than one million people
to the south of Russia’s Ural mountains.
A video showed the pieces of meteorite
glowing more brightly as they approached
the moment of impact. The vapour trail
was visible for hundreds of miles around,
including in neighbouring Kazakhstan.","The event caused panic in Chelyabinsk, a city
of more than one million people to the south
of Russia’s Ural mountains, as mobile phone
networks swiftly became jammed by the volume
of calls. Amateur video footage from the area,
often peppered with the obscene language
of frightened observers, showed the chunks
of meteorite glowing more brightly as they
approached the moment of impact. The vapour
trail was visible for hundreds of miles around,
including in neighbouring Kazakhstan."
"At least three craters were found. One crater
was more than six metres wide. Another
piece of meteorite broke through the thick
ice of a lake.","Tatyana Bets was at work in the reception
area of a hospital clinic in the centre of the
city when the meteorite hit. “First we noticed
the wind, and then the room was filled with
a very bright light and we could see a cloud
of smoke in the sky,” she said. Then, after a
few minutes, the explosions came.","Tatyana Bets was at work in the reception
area of a hospital clinic in the centre of the city
when the meteorite struck. “First we noticed the
wind, and then the room was filled with a very
bright light and we could see a cloud of some
unspecified smoke in the sky,” she said. Then,
after a few minutes, came the explosions."
"In Chelyabinsk, schools and universities
were closed and people were told to go
home early. About 200 children were injured.","At least three craters were discovered,
according to the Ministry of the Interior. One
crater was more than six metres wide and
another piece of the meteorite broke through
the thick ice of a nearby lake.","At least three craters were subsequently
discovered, according to the Ministry of the
Interior, and were being monitored by the military.
One crater was more than six metres wide, while
another lump of meteorite was reported to have
slammed through the thick ice of a nearby lake.
Radiation levels at the impact sites were normal,
according to local military officials."
"Many people, mostly with cuts from flying
glass, came into the clinic where Bets works.
She said many of the students at a nearby
college came to the hospital. “There were a
lot of girls in shock”, she said.","In Chelyabinsk itself, schools and
universities were closed and many other
staff told to go home early. About 200
children were among the injured.","In Chelyabinsk itself, schools and universities
were closed and many other staff told to go home
early. About 200 children were among the injured."
"More than 100,000 square metres of glass
were broken and 3,000 buildings were hit.
The total cost of the damage in the city is
probably more than one billion roubles
(£20 million).","A steady stream of lightly injured people,
most suffering cuts from flying glass, came
into the clinic where Bets works. She said
a nearby building for college students was
particularly badly affected and many of the
students were brought in. “There were a lot
of girls in shock. Some were very pale and
many of them fainted,” she said.","A steady stream of lightly injured people, most
suffering cuts from flying glass, came into the
clinic where Bets works. She said a nearby
dormitory building for college students was
particularly badly affected and many of the
students were brought in suffering from fright.
“There were a lot of girls in shock. Some were
very pale and many of them fainted,” she said."
