Elementary,Intermediate ,Advanced
"A top-secret document shows that the US
National Security Agency (NSA) now has
direct access to the systems of Google,
Facebook, Apple and other major US
internet companies. The NSA access is part
of a program called PRISM, which allows
the government to collect search history, the
content of emails, file transfers, live chats
and more, the document says.","According to a top-secret document, the
National Security Agency (NSA) has got
direct access to the systems of Google,
Facebook, Apple and other major US internet
companies. The NSA access is part of a
program called PRISM, which allows officials
to collect material including search history,
the content of emails, file transfers and live
chats, the document says.","The National Security Agency (NSA) has
obtained direct access to the systems of Google,
Facebook, Apple and other US internet giants,
according to a top-secret document. The NSA
access is part of a previously undisclosed
program called PRISM, which allows officials
to collect material including search history, the
content of emails, file transfers and live chats, the
document says."
"The document says that the NSA can now
get information “directly from the servers”
of major US internet companies. It says the
companies help them run the program, but
all the companies that commented said they
have not heard of the program.","The document claims “collection directly
from the servers” of major US service
providers. Although the document claims
that the program is run with the help of
the companies, all the companies who
responded to a request for comment denied
knowledge of any such program.","The Guardian has verified the authenticity of the
document, a 41-slide PowerPoint presentation
– classified as top secret with no distribution to
foreign allies – which was apparently used to
train intelligence operatives on the capabilities
of the program. The document claims “collection
directly from the servers” of major US service
providers. Although the presentation claims
the program is run with the assistance of the
companies, all those who responded to a
request for comment denied knowledge of any
such program."
"Google said: “Google cares very much
about the security of our users’ data. We
disclose user data to government legally
and, when the government asks us for data,
we think about it carefully first. Sometimes,
people allege that we have created a
government ‘back door’ into our systems,
but Google does not have a back door for
the government to access private user data.”","In a statement, Google said: “Google cares
deeply about the security of our users’
data. We disclose user data to government
in accordance with the law and we review
all such requests carefully. From time to
time, people allege that we have created a
government ‘back door’ into our systems, but
Google does not have a back door for the
government to access private user data.”","In a statement, Google said: “Google cares
deeply about the security of our users’ data. We
disclose user data to government in accordance
with the law and we review all such requests
carefully. From time to time, people allege that we
have created a government ‘back door’ into our
systems, but Google does not have a back door
for the government to access private user data.”"
"Several senior tech executives said that
they had no knowledge of PRISM or of any
similar program. They said they would never
be involved in a program like that. “If they
are doing this, they are doing it without our
knowledge,” one executive said. An Apple
spokesman said he has “never heard”
of PRISM.","Several senior tech executives insisted that
they had no knowledge of PRISM or of any
similar scheme. They said they would never
have been involved in such a program.
“If they are doing this, they are doing it
without our knowledge,” one said. An Apple
spokesman said he had “never heard”
of PRISM.","Several senior tech executives insisted that they
had no knowledge of PRISM or of any similar
scheme. They said they would never have been
involved in such a program. “If they are doing
this, they are doing it without our knowledge,” one
said. An Apple spokesman said he had “never
heard” of PRISM."
"Changes to US surveillance law, introduced
under President Bush and renewed under
Obama in December 2012, made it possible
for the NSA to access the information. The
program allows a large amount of in-depth
surveillance on live communications and
stored information. The law allows the
NSA to watch customers of companies
who live outside the US or Americans who
communicate with people outside the US.","The NSA access became possible because
of changes to US surveillance law, introduced
under President Bush and renewed under
Obama in December 2012. The program
facilitates a large amount of in-depth
surveillance on live communications and
stored information. The law allows for the
targeting of any customers of participating
companies who live outside the US, or those
Americans whose communications include
people outside the US.","The NSA access was enabled by changes to
US surveillance law, introduced under President
Bush and renewed under Obama in December
2012. The program facilitates extensive, in-depth
surveillance on live communications and stored
information. The law allows for the targeting of
any customers of participating firms who live
outside the US, or those Americans whose
communications include people outside the US.
It also opens the possibility of communications
made entirely within the US being collected
without warrants."
"The document says that some of the world’s
largest internet companies have been part
of the information-sharing program since
its introduction in 2007. Microsoft – whose
advertising slogan is “Your privacy is our
priority” – was the first, in December 2007.
It was followed by Yahoo in 2008; Google,
Facebook and PalTalk in 2009; YouTube in
2010; Skype and AOL in 2011; and finally
Apple, which joined the program in 2012.","The revelation of the PRISM program
follows a leak of a top-secret court order
that forced telecoms provider Verizon to
give the telephone records of millions of
US customers to the US government. The
participation of the internet companies in
PRISM will add to the debate about the level
of surveillance by the intelligence services.
Unlike the collection of those call records
from Verizon, this surveillance can include
the content of communications and not just
the metadata.","Disclosure of the PRISM program follows a leak
to the Guardian on Wednesday of a top-secret
court order compelling telecoms provider Verizon
to turn over the telephone records of millions of
US customers. The participation of the internet
companies in PRISM will add to the debate
about the scale of surveillance by the intelligence
services. Unlike the collection of those call
records, this surveillance can include the content
of communications and not just the metadata"
"Under US law, if the government asks
for users’ communications, companies
must give that information, but the PRISM
program allows the government direct
access to the companies’ servers.","It is claimed that some of the world’s
largest internet companies are part of the
information-sharing program, which was
introduced in 2007. Microsoft – which is
currently running an advertising campaign
with the slogan “Your privacy is our priority”
– was the first, with collection beginning in
December 2007. It was followed by Yahoo in
2008; Google, Facebook and PalTalk in 2009;
YouTube in 2010; Skype and AOL in 2011;
and finally Apple, which joined the program
in 2012.","Some of the world’s largest internet brands are
claimed to be part of the information-sharing
program since its introduction in 2007. Microsoft
– which is currently running an advertising
campaign with the slogan “Your privacy is our
priority” – was the first, with collection beginning
in December 2007. It was followed by Yahoo in
2008; Google, Facebook and PalTalk in 2009;
YouTube in 2010; Skype and AOL in 2011; and
finally Apple, which joined the program in 2012.
The program is continuing to expand, with other
providers due to come online. Collectively, the
companies cover the vast majority of online
email, search, video and communications
networks. The extent and nature of the data
collected from each company varies."
"The Foreign Intelligence Surveillance Act
(FISA) was changed in December 2012.
At the time, several US senators were
worried that the law might increase the
amount of surveillance and they could see
problems with some of the safeguards in
the law. When the change in the law was
first introduced, its supporters said that
one safeguard would be that the NSA
could not get electronic communications
without the permission of the telecom
and internet companies that control the
data. But the PRISM program makes that
permission unnecessary, because it allows
the government to take directly from the
companies’ servers communications that
include email, video and voice chat,
videos, photos, file transfers and social
networking details.","Under US law, companies must comply with
requests for users’ communications, but
the PRISM program allows the intelligence
services direct access to the companies’
servers. The NSA document notes that the
operations have “the help of communications
providers in the US”.","Companies are legally obliged to comply with
requests for users’ communications under
US law, but the PRISM program allows the
intelligence services direct access to the
companies’ servers. The NSA document
notes the operations have the “assistance of
communications providers in the US”."
"A senior administration official said: “Section
702 of the FISA does not allow the targeting
of any US citizen or of any person who is
within the United States. It targets only non-
US persons outside the US.","During the renewal of the FISA Amendments
Act (FAA) in December 2012, several
US senators warned about the high level
of surveillance the law might allow and
shortcomings in the safeguards it introduces.
When the FAA was first introduced, its
supporters argued that one safeguard
would be the fact that the NSA could not
get electronic communications without the
permission of the telecom and internet
companies that control the data. But the
PRISM program makes that permission
unnecessary, because it allows the agency
to take the communications directly off the
companies’ servers, communications that
include email, video and voice chat, videos,
photos, voice-over-IP (Skype, for example)
chats, file transfers and social
networking details.","The revelation also supports concerns raised
by several US senators during the renewal of
the FISA Amendments Act (FAA) in December
2012, who warned about the scale of surveillance
the law might enable and shortcomings in the
safeguards it introduces. When the FAA was first
enacted, defenders of the statute argued that a
significant check on abuse would be the NSA’s
inability to obtain electronic communications
without the consent of the telecom and internet
companies that control the data. But the PRISM program renders that consent unnecessary, as it
allows the agency to directly and unilaterally seize
the communications off the companies’ servers."
"“Information that is collected under this
program is some of the most important and
valuable intelligence information we collect
and we use it to protect our nation from a
wide variety of threats.”","The PRISM program allows the NSA, the
world’s largest surveillance organization,
to get targeted communications without requesting them from the service providers
and without needing individual court orders.
With this program, the NSA is able to reach
directly into the servers of the companies and
get both stored communications and
live communications.","A chart prepared by the NSA, contained within
the top-secret document, highlights the breadth
of the data it is able to obtain: email, video
and voice chat, videos, photos, voice-over-IP
(Skype, for example) chats, file transfers, social
networking details and more. The document
is recent, dating to April 2013. Such a leak is
extremely rare in the history of the NSA, which
prides itself on maintaining a high level of secrecy."
