Elementary,Intermediate ,Advanced
"Nelson Mandela, the most important person
in Africa’s fight for freedom and a hero to
millions of people around the world, has died
at the age of 95.","Nelson Mandela, the towering figure of Africa’s
struggle for freedom and a hero to millions
around the world, has died at the age of 95.","Nelson Mandela, the towering figure of Africa’s
struggle for freedom and a hero to millions
around the world, has died at the age of 95."
"South Africa’s first black president died with
his family with him at home in Johannesburg
after years of illness.","South Africa’s first black president died with his
family beside him at home in Johannesburg after
years of illness, which had caused him to stop
taking part in public life.","South Africa’s first black president died in the
company of his family at home in Johannesburg
after years of declining health, which had caused
him to withdraw from public life."
"The news was told to the country by the
current president, Jacob Zuma, who said
Mandela died around 8.50pm local time and
was at peace.","The news was announced to the country by the
current president, Jacob Zuma. He said Mandela
had “departed” around 8.50pm local time and
was at peace.","The news was announced to the country by the
current president, Jacob Zuma, who, in a sombre
televised address, said Mandela had “departed”
around 8.50pm local time and was at peace."
"“This is the moment of our deepest sorrow,”
Zuma said. “Our nation has lost its
greatest son.","“This is the moment of our deepest sorrow,”
Zuma said. “Our nation has lost its greatest son.
What made Nelson Mandela great was exactly
what made him human. We saw in him what we
look for in ourselves.","“This is the moment of our deepest sorrow,”
Zuma said. “Our nation has lost its greatest son.
What made Nelson Mandela great was precisely
what made him human. We saw in him what we
seek in ourselves."
"“South Africans, Nelson Mandela brought us
together and it is together that we will say
goodbye to him.”","“Fellow South Africans, Nelson Mandela brought
us together and it is together that we will bid
him farewell.”","“Fellow South Africans, Nelson Mandela brought
us together and it is together that we will bid
him farewell.”"
"Zuma said that Mandela would receive a
state funeral.","Zuma announced that Mandela would receive a
state funeral and ordered that flags fly at half-mast.","Zuma announced that Mandela would receive a
state funeral and ordered that flags fly at
half-mast."
"Barack Obama called Mandela by his clan
name – Madiba. The US president said:
“Madiba transformed South Africa – and
moved all of us.”","Barack Obama led tributes from world leaders,
referring to Mandela by his clan name – Madiba.
The US president said: “Through his fierce dignity
and strong will to sacrifice his own freedom for
the freedom of others, Madiba transformed South
Africa – and moved all of us.”","Archbishop Desmond Tutu led a memorial
service in Cape Town, where he called for South
Africa to become as a nation what Mandela had
been as a man."
"UK prime minister David Cameron said: “A
great light has gone out in the world” and he
described Mandela as “a hero of our time”.","UK prime minister David Cameron said: “A great
light has gone out in the world” and described
Mandela as “a hero of our time”.","Barack Obama led tributes from world leaders,
referring to Mandela by his clan name – Madiba.
The US president said: “Through his fierce dignity
and unbending will to sacrifice his own freedom
for the freedom of others, Madiba transformed
South Africa – and moved all of us."
"FW de Klerk – the South African president
who freed Mandela from prison and shared
the Nobel Peace Prize with him in 1993 –
said the news was very sad for South Africa
and the world.","FW de Klerk – the South African president who
freed Mandela and shared the Nobel Peace Prize
with him in 1993 – said the news was deeply sad
for South Africa and the world.","“His journey from a prisoner to a president
embodied the promise that human beings –
and countries – can change for the better. His
commitment to transfer power and reconcile
with those who jailed him set an example that all
humanity should aspire to, whether in the lives of
nations or our own personal lives.”"
"He was a great unifier,” De Klerk said.","“He lived reconciliation. He was a great unifier,”
de Klerk said.","UK prime minister David Cameron said, “A great
light has gone out in the world,” and described
Mandela as “a hero of our time”."
