Elementary,Intermediate ,Advanced
"The direct action group UK Uncut plans to make many Starbucks cafés into crèches, refuges and homeless shelters to make people notice that Starbucks does not pay enough tax.",On an average day its outlets host everything from business meetings to reading groups. All these people are looking for that important morning coffee. But Starbucks should be careful what it wishes for.,"On an average day its outlets are a hive of social activity, hosting everything from business meetings to reading groups looking for that
all-important morning caffeine rush. But Starbucks should be careful what it wishes for."
The House of Commons questioned Starbucks. They asked why the company paid no corporation tax in the UK during the past three years.,"The direct action group UK Uncut plans to turn dozens of the coffee empire’s UK outlets into crèches, refuges and homeless shelters to highlight Starbucks’ tax avoidance tactics.","The direct action group UK Uncut plans to turn dozens of the coffee empire’s UK branches into crèches, refuges and homeless shelters to highlight the chain’s tax avoidance tactics."
"UK Uncut wants to show a connection between government cuts, especially the cuts that affect women, and multinational businesses who do not pay enough tax.","They announced the action as Starbucks were questioned by the House of Commons Public Accounts Committee. They asked why the company paid no corporation tax in the UK during the past three years, despite the company’s profitable business in Britain.","The announcement of the action comes on the day a Starbucks executive faces questions from the House of Commons Public Accounts Committee over why the company paid no corporation tax in the UK during the past three years, despite senior US management trumpeting the company’s profitable operations in Britain."
"Sarah Greene, a UK Uncut activist, said money for refuges would be cut if companies did not pay the fair amount of tax. The government lost about £32 billion in 2011 because multinational businesses did not pay enough tax.","When he appears before the committee, Starbucks’ Chief Financial Officer, Troy Alstead, will attempt to repair the company’s reputation.","In his appearance before the committee, Starbucks’ Chief Financial Officer, Troy Alstead, will attempt to repair the company’s reputation, which continues to suffer because of
the controversy."
"Greene said the government could easily collect billions of pounds that could help pay for important services, if they were stricter when they collect taxes.","MPs accused the HM Revenue & Customs (HMRC), the UK’s tax department, of having cosy relationships with big businesses. Speaking about the arrangements with Starbucks, the Conservative MP Richard Bacon said: “It smells. And it doesn’t smell of coffee – it smells bad.”","MPs accused HM Revenue & Customs (HMRC) officials of having cosy relationships with big businesses. Speaking about the arrangements with Starbucks, the Conservative MP Richard Bacon said: “It smells. And it doesn’t smell of coffee – it smells bad.”"
"UK Uncut turned its attentions to Starbucks after an investigation found that the company had paid only £8.6 million in corporation tax since opening its cafés
in the UK in 1998 despite sales worth
£3 billion.","The campaign group UK Uncut wants to show a connection between government cuts, in particular those that affect women, and tax avoidance by multinational businesses.","The campaign group UK Uncut is attempting to draw a link between government cuts, in particular those that affect women, and tax avoidance by multinational businesses."
"Uncut campaigner Anna Walker said “We’ve chosen to highlight the impact of the cuts on women. So we’re going to focus on changing Starbucks into the services that the government are cutting, for example refuges and crèches.","Sarah Greene, a UK Uncut activist, said funding for refuges and rape crisis centres would be reduced unless companies paid the fair amount of tax. HMRC estimates around £32bn was lost due to tax avoidance in 2011.","Sarah Greene, a UK Uncut activist, said funding for refuges and rape crisis centres faced cuts unless companies paid their fair share of tax. HMRC estimates around £32bn was lost to tax avoidance in 2011."
"“Starbucks is a really great target because it is on every high street in the country so people can take action in their local areas,” she said.","Greene said the government could easily collect billions that could help pay for necessary services if they were stricter on
tax avoidance.",Greene said the government could easily bring in billions that could fund vital services by clamping down on tax avoidance.
"Starbucks says it pays the correct level of taxes. The group Chief Executive, Howard Schultz, said: “Starbucks has always paid taxes in the UK.","The group, which became known because of its protests at Vodafone stores, Topshop and Fortnum & Mason, turned its attentions to Starbucks beause an investigation discovered the company had paid only £8.6m in corporation tax since launching in the UK in 1998, despite cumulative sales of £3bn.","The group, which rose to prominence after staging a sit-in at Vodafone stores, Topshop and Fortnum & Mason, turned its attentions to Starbucks last month after an investigation by Reuters discovered the company had paid only £8.6m in corporation tax since launching in the UK in 1998, despite cumulative sales of £3bn."
"“Over the last three years alone, our company has paid more than £160 million in various taxes, including national insurance*, VAT and business rates.”","Uncut campaigner Anna Walker said “We’ve chosen to really highlight the impact of the cuts on women. So we’re going to focus on transforming Starbucks into those services that the government are cutting, such as refuges and crèches.",Longstanding Uncut campaigner Anna Walker said “We’ve chosen to really highlight the impact of the cuts on women. So there is going to be a real focus on transforming Starbucks into those services that are being cut by the government … [such as] refuges and crèches.
"Apple, eBay, Facebook, Google and Starbucks have avoided nearly £900 million of tax. The Prime Minister, David Cameron, said: “I’m not happy with the current situation. We need to make sure we continue to encourage these businesses to invest in our country, but they should pay fair taxes as well.”","“Starbucks is a really great target because it is on every high street across the country and that’s what UK Uncut finds really important: people can take action in their local areas,”
she said.","“Starbucks is a really great target because it is on every high street across the country and that’s what UK Uncut finds really important: people can take action in their local areas,”
she said."
"A spokeswoman for Starbucks said: “Tax law can be extremely complex, but Starbucks respects tax laws and accounting rules.","Several international organizations have been criticized over their UK accounts. Amazon, eBay, Facebook, Google and Ikea all pay little or no corporation tax.","Several international organizations have faced criticism over their UK accounts, with Amazon, eBay, Facebook, Google and Ikea all paying little or no corporation tax despite large
British operations."
"“Starbucks spends hundreds of millions of pounds with local suppliers on milk, cakes and sandwiches, and on store design and improvements. When you consider the indirect employment created by Starbucks, the company’s economic impact to the
UK economy is more than £80 million
every year.”","The coffee store chain, Starbucks, insists it pays the correct level of taxes. The group Chief Executive, Howard Schultz, has said in a statement: “Starbucks has always paid taxes in the UK.","However, according to pollsters at YouGov’s BrandIndex, Starbucks has suffered the deepest damage to its image."
,"“Over the last three years alone, our company has paid more than £160m in various taxes, including National Insurance*, VAT and business rates.”","The coffee store chain insists it pays the correct level of taxes. The group Chief Executive, Howard Schultz, has said in a statement: “Starbucks has always paid taxes in the UK despite recent suggestions to the contrary."
,"Margaret Hodge, who leads the Public Accounts Committee, told parliament last month that Apple, eBay, Facebook, Google and Starbucks had avoided nearly £900m of tax. The Prime Minister, David Cameron, responded to the claim by saying: “I’m not happy with the current situation. I think [HMRC] needs to look at it very carefully. We do need to make sure we continue to encourage these businesses to invest in our country, but they should be paying fair taxes as well.”","“Over the last three years alone, our company has paid more than £160m in various taxes, including National Insurance contributions, VAT and business rates.”"
,"A spokeswoman for Starbucks said: “While the subject of tax law can be extremely complex, Starbucks respects and obeys tax laws and accounting rules in each of the 61 countries where we do business, including the UK. We’ve posted the facts about our tax practices in the UK on our website.","Margaret Hodge, who chairs the Public Accounts Committee, told parliament last month that Apple, eBay, Facebook, Google and Starbucks had avoided nearly £900m of tax. The Prime Minister, David Cameron, responded to the claim by saying: “I’m not happy with the current situation. I think [HMRC] needs to look at it very carefully. We do need to make sure we are encouraging these businesses to invest in our country as they are, but they should be paying fair taxes as well.”"
,"“Starbucks’ economic impact in the UK goes far beyond our stores and partners [employees]. We spend hundreds of millions of pounds with local suppliers on milk, cakes and sandwiches, and on store design and renovations. When you consider the indirect employment created by Starbucks’ investments in the UK, the company’s extended economic impact to the UK economy is more than £80m a year”.","A spokeswoman for Starbucks said: “While the subject of tax law can be extremely complex, Starbucks respects and complies with tax laws and accounting rules in each of the 61 countries where we do business, including the UK – a market that we remain committed to for the long term. We’ve posted the facts about our tax practices in the UK on our website."
,,"“Starbucks’ economic impact in the UK goes far beyond our stores and partners [employees]. We spend hundreds of millions of pounds with local suppliers on milk, cakes and sandwiches, and on store design and renovations. When you take into account the indirect employment created by Starbucks’ investments in the UK, the company’s extended economic impact to the UK economy exceeds £80m annually."
,,"“We hope that UK Uncut will respect the wellbeing of our partners and customers, and recognize the value that we add to the economy, creating jobs and apprenticeships, as well as paying our fair share of taxes in the UK.”"
