Elementary,Intermediate ,Advanced
"The International Monetary Fund (IMF)
has asked the USA to manage its money
better. Hundreds of thousands of federal
employees returned to work after the
government shut down for 16 days.","The International Monetary Fund (IMF) has
asked the USA to sort out its finances after
the US avoided a debt default and hundreds
of thousands of federal employees returned to
work after a 16-day government shutdown.","The International Monetary Fund (IMF)
has appealed to Washington to sort out
its finances after the US pulled back from
the brink of a debt default and hundreds of
thousands of federal employees returned to
work after a 16-day government shutdown."
"US President Barack Obama said that
the US has to be more careful with how it
manages its money. The IMF’s managing
director, Christine Lagarde, asked for
more stability.","As the US President, Barack Obama,
warned, “We’ve got to get out of the habit
of governing by crisis,” the IMF’s managing
director, Christine Lagarde, asked for
more stability.","As the US President, Barack Obama, warned
“We’ve got to get out of the habit of governing
by crisis,” the IMF’s managing director,
Christine Lagarde, appealed for
more stability."
"The Senate wrote a peace deal,
which included almost nothing that the
conservatives asked for. The conservative
Republicans nearly caused a new financial
crisis because they did not agree to
Obama’s healthcare reforms. The House of
Representatives agreed the deal at the
last minute.","The Senate wrote a peace deal that included
almost no concessions to the conservatives
who had driven the country to the precipice
of a new financial crisis. The deal was
passed by the Republican-dominated House
of Representatives at the last minute.","“It will be essential to reduce uncertainty
surrounding the conduct of fiscal policy
by raising the debt limit in a more durable
manner,” she said."
"The World Bank was also pleased that
the world’s economy had “avoided a
catastrophe”. Its president, Jim Yong Kim,
asked politicians in all countries to continue
to make policies that improve the economy
and give jobs and opportunity to all.","The World Bank, too, expressed its relief
that the global economy had “avoided a
catastrophe”. Its president, Jim Yong Kim,
told politicians in all countries that they
should continue to focus on making policies
that encourage economic growth and give
jobs and opportunity for everyone.","“We also continue to encourage the US
to approve a budget for 2014 and replace
the sequester with gradually phased-in
measures that would not harm the recovery,
and to adopt a balanced and comprehensive
medium-term fiscal plan.”"
The shutdown cost the US $24 billion.,"Stock markets in Japan, China, Hong
Kong and South Korea first showed relief
after the Republicans finally capitulated in
their failed attempt to undermine Obama’s
healthcare reforms. But, in Asia and Europe,
stock markets generally did not show much
reaction, because traders apparently expect
another fight in Washington early in 2014.","A Senate-drafted peace deal that contained
almost no concessions to the conservatives
who had driven the country to the precipice
of a new financial crisis was passed by
the Republican-dominated House of
Representatives just hours before a deadline
to extend the US debt limit was to pass."
"Obama signed the legislation shortly after
midnight on Thursday. The bill passed easily,
with support from all parties in the Senate,
where Democratic and Republican leaders
wrote the agreement. It is a temporary
solution. It gives the government money until
15 January and allows the government to
borrow more money if they want to until
7 February.","The shutdown cost the US $24bn. China’s
official Xinhua News Agency accused the
US of jeopardizing other countries’ dollar
assets. China is the US government’s
largest creditor.","The World Bank, too, expressed its relief that
the global economy had “dodged a potential
catastrophe”, with its president, Jim Yong
Kim, urging policymakers in all countries to
“continue to focus on crafting and implementing
policies that promote economic growth and
boost jobs and opportunity for all”."
"But the president made clear that he did
not expect another serious budget fight and
shutdown in 2014.","Obama signed the legislation just after
midnight on Thursday. The bill had passed
easily with support from all parties in the
Senate. It offers a temporary solution,
funding the government until 15 January and
raising the debt limit until 7 February.","Stock markets in Japan, China, Hong Kong
and South Korea initially reflected relief
after the Republicans finally capitulated in
their failed attempt to undermine Obama’s
healthcare reforms. But, in Asia and Europe,
stock markets overall displayed a muted
reaction, with traders apparently expecting
another battle in Washington early in 2014."
"At the White House, Obama said he hoped
the deal would “lift the cloud of uncertainty”
that had hung over the country in
recent weeks.","But the president made clear that he did
not expect another serious budget fight and
shutdown in 2014.","The shutdown is estimated to have cost the
US $24bn, according to the ratings agency
Standard & Poor’s. China’s official Xinhua
News Agency had accused Washington
of jeopardizing other countries’ dollar
assets. China is the US government’s
largest creditor."
"“When this agreement arrives on my desk, I
will sign it immediately,” he said. “Hopefully,
next time, it won’t be in the eleventh hour.
We must manage our money better.”","At the White House, Obama said he hoped
the deal would “lift the cloud of uncertainty”
that had hung over the country in
recent weeks.","Obama signed the necessary legislation
to fend off a default shortly after midnight
on Thursday after a Republican split in the
House of Representatives. The bill had
passed easily with broad bipartisan support
in the Senate, where Democratic and
Republican leaders forged the agreement.
It offers a temporary fix, funding the
government until 15 January and raising the
debt ceiling until 7 February."
"A journalist asked the president if the crisis
would happen again in a few months.
Obama replied: “No.”","“When this agreement arrives on my desk, I
will sign it immediately,” he said. “Hopefully,
next time, it won’t be in the eleventh
hour. We’ve got to get out of the habit of
governing by crisis.”","But the president made clear he did not
expect another bitter budget fight and
shutdown in 2014."
"Earlier, the Republican senator Mike Lee
said there would be more trouble: “The
media keeps asking: ‘Was it worth it?’ My
answer is, it is always worth it to do the right
thing.” He added: “This is not over.”","The president was asked by a journalist
whether the crisis would happen again in a
few months. Obama replied: “No.”","In brief remarks at the White House shortly
before the House vote, Obama said he hoped
the deal would “lift the cloud of uncertainty”
that had hung over the country in
recent weeks."
"But the political deal on Wednesday was
one of the worst of all possible results for
Republicans. They did not achieve any of
their goals and most people blamed them for
the crisis.","Earlier, the Republican senator Mike Lee
said there may be more trouble ahead: “The
media keeps asking: ‘Was it worth it?’ My
answer is, it is always worth it to do the right
thing.” He added: “This is not over.”","“Once this agreement arrives on my desk,
I will sign it immediately,” he said, in a
statement delivered at the White House.
“Hopefully, next time it won’t be in the
eleventh hour. We’ve got to get out of the
habit of governing by crisis.”"
,"However, the political deal was one of the
worst of all possible results for Republicans.
None of their goals was achieved and polls
showed that voters blamed them for
the crisis.","As he left the lectern after his Wednesday
night press briefing, the president was asked
by a journalist whether the crisis would
happen all over again in a few months.
Speaking over his shoulder, Obama
replied, “No.”"
,,"Earlier, the Republican senator Mike Lee had
struck a defiant tone, perhaps indicating more
trouble ahead: “The media keeps asking:
‘Was it worth it?’ My answer is, it is always
worth it to do the right thing.” He added: “This
is not over.”"
,,"However, the political deal was one of
the worst of all possible outcomes for
Republicans. None of their stated goals
was achieved and polls showed that voters
overwhelmingly blamed them for the crisis."
