Elementary,Intermediate ,Advanced
"The small room looks like a classroom. The
posters on the walls show letters of the alphabet
and a map of Bangladesh.","The small space is set up to look like a
classroom. On its corrugated iron walls are
educational charts – letters of the alphabet and a
map of Bangladesh.","The small space is set up to look like a
classroom. Its corrugated iron walls are hung
with educational charts – illustrated letters of the
alphabet and a map of Bangladesh."
"But, it is hard to concentrate – there is the loud
hammering and chemicals in the air that hurt
the throat and eyes. But, the children who learn
in this three-square-metre room are lucky. They
have escaped working in the factories opposite.","But, it is hard to concentrate – there is the
constant sound of hammering and chemicals
in the air that stick in the back of the throat and
irritate the eyes. However, the children who learn
in this three-square-metre room are the lucky
ones. They have escaped working in the
factories opposite.","But, the constant sound of hammering and the
chemicals in the air that catch in the back of
the throat and irritate the eyes make it hard to
concentrate. The children who learn in this
three-square-metre room are the lucky ones,
however. They have escaped working in the
factories opposite."
"For 14 years, SOHAY, a non-governmental
organization (NGO), has worked in slums
in Dhaka to send child workers to school.
It especially tries to help children who do
dangerous work.","For 14 years, SOHAY, a grassroots nongovernmental
organization (NGO) funded by
the Global Fund for Children and Comic Relief,
has been working in slum areas of Dhaka to get
child labourers into school. It focuses on children
working in hazardous conditions.","For 14 years, SOHAY, a grassroots nongovernmental
organization (NGO) funded by
the Global Fund for Children and Comic Relief,
has been working in slum areas of Dhaka to get
child labourers into school. It focuses on children
working in hazardous conditions – in aluminium
and plastic factories, and tanneries."
"The classroom is one of 23 centres that SOHAY
has set up in Dhaka. The classes at the centres
help children enter primary school. When they
are in school, the children get extra help with their
homework at the centres.","The classroom is one of 23 urban development
centres that SOHAY has set up in the capital.
The centres prepare children for primary school
with classes that help them catch up on their
education. Once they are in primary school, the
children get help with their homework at
the centres.","The classroom is one of 23 urban development
centres that SOHAY has set up across the
capital. The centres prepare children for primary
school with classes that help them catch up on
their education. Once they are in primary school,
the children can do homework at the centres, with
help from their peers."
"Alamin, ten years old, used to work in a plastic
factory. He now goes to one of the centres. His
parents are happy that he’s now in school and
not doing dangerous work. His friend Rabi says
he wants to forget his past in the factory. “I like
school,” he says.","Alamin, ten, who used to work in a plastic factory,
attends one of the centres. His father is a street
seller and his mother a part-time domestic
worker. They are all happy that he’s now in
school and away from hazardous work. His friend
Rabi says he wants to forget his past in the
factory. “I like school,” he says.","Alamin, ten, who used to work in a plastic factory,
attends one of the centres. His father is a street
seller and his mother a part-time domestic
worker. They are all happy that he’s now in
school and away from hazardous work. His friend
Rabi says he wants to forget his past in the
factory. “I like school,” he says."
"SOHAY also has classes for parents and
managers to stop child labour. It can be very
difficult for working children to go to school.
They are not like other children. After they stop
working, they sometimes find it difficult to make
friends and adapt to school. It is also difficult to
make sure they stay in school – lots of these
children don’t finish school.","“The urban development centres aim to make
the communities more positive about education
and change their cultural mindset towards the
children,” says SOHAY’s programme manager,
Mohammed Abdullah al-Mamun. SOHAY also
has sessions for parents and employers to
discourage child labour and offers skills training
to increase family income.","“The urban development centres aim to create
an education-friendly environment in the
communities and change their cultural mindset
towards the children,” says SOHAY’s programme
manager, Mohammed Abdullah al-Mamun.
SOHAY also runs sessions for parents and
employers to discourage child labour and offers
skills training to increase family income."
"Seven-year-old Zhorna Akter Sumayya has
two older brothers – they both work (one at a
restaurant, one at a local club). But, she went to
a SOHAY centre and she now goes to school.
Her family live in the slum and her parents need
the money their sons make but they want their
daughter to go to school.","“Getting working children into formal education is
really very difficult,” says Mamun. “They are not
like other children. After they leave work, they
sometimes find it difficult to make friends and
adapt to school. It is also very difficult to make
sure they stay in school – lots of these children
don’t finish school.”","“Getting working children into formal education
is really very challenging,” says Mamun. “Their
psychological and physical condition is not like
other children in society. After they leave work,
they sometimes find it difficult to make friends
and adapt to school. It is also very challenging
to ensure they stay in school – the dropout rate
is very high for these children. In this context, it’s
important to work with schools so they have more
sensitivity and care about them.”"
"In 2015, SOHAY helped 1,540 children to leave
dangerous work and helped 2,125 more children
– those who would soon start work – to go to
school. About 780 more children are preparing to
start school in 2017.","Seven-year-old Zhorna Akter Sumayya has two
older brothers – they are both in work (one at
a restaurant, one at a local club). But, after her
introduction to education at one of SOHAY’s
centres, she now goes to a state primary school.
Her family live in the slum and her parents can’t
survive without the money their sons earn. Her
father works in a rickshaw garage and her mother
is a domestic worker, but they wanted their
daughter to go to school.","Seven-year-old Zhorna Akter Sumayya has two
older brothers, both of whom are in work (one
at a restaurant, one at a local club). But, after
being introduced to education at one of SOHAY’s
centres, she now goes to a state primary school.
Her family live in the slum and her parents can’t
survive without the income their sons bring home.
Her father works in a rickshaw garage and her
mother is a domestic worker, but they were keen
for their daughter to go to school."
"The Labour Law of Bangladesh 2006 does
not allow children younger than 14 to work but
UNICEF says that, in Bangladesh, 4.7 million
children younger than 14 are employed and 1.3
million children aged five to 17 do
dangerous work.","In 2015, SOHAY helped 1,540 children to leave
hazardous work and 2,125 more children – those
in danger of starting work – into school. About
780 more children are preparing to enter school
in 2017. The organization is also helping 635
children who are working in hazardous conditions
to know their rights.","In 2015, SOHAY helped 1,540 children to
leave hazardous work and 2,125 vulnerable
children – those in danger of entering work – into
school. About 780 more children are preparing
to enter school in 2017. The organization is
also helping 635 children who are working in
hazardous conditions to know their rights under
Bangladesh’s 2010 child labour elimination code
of conduct. The policy aimed to eradicate all
forms of child labour by 2015 but that target
was missed."
,"The Labour Law of Bangladesh 2006 does not
allow children under the age of 14 to work but,
according to the UN children’s agency, UNICEF,
4.7 million children under that age are employed
and 1.3 million aged five to 17 work in
hazardous industries.","The Labour Law of Bangladesh 2006 bans
children under the age of 14 from working but,
according to the UN children’s agency, UNICEF,
4.7 million children under that age are employed
in the informal sector and 1.3 million aged five to
17 work in hazardous industries."
