Elementary,Intermediate ,Advanced
"On the top of a hill, above Northumberland’s
beautiful Kielder Water lake, a group of people
are waiting in a car park next to a strange
wooden building. They are here because of the
darkness and this is Kielder Observatory, the
centre of Britain’s latest industry – astrotourism.
The people who are waiting outside are lucky.
Many more people apply for a night of stargazing
at the observatory but not everyone can come
because numbers are strictly limited.","On the top of a hill, looking down on
Northumberland’s beautiful Kielder Water
reservoir, a group of people wait in a car
park next to a strange wooden building. They
are looking for darkness and this is Kielder
Observatory, the centre of Britain’s latest
industry – astrotourism. The people waiting
outside are the lucky ones. Many more apply
for a night of stargazing at the observatory but
numbers are strictly limited.","They are the darkness seekers – and they
are growing in number. On Black Fell, looking
down on Northumberland’s beautiful Kielder
Water reservoir, a group of people wait in a car
park next to a strange wooden building with
a minimalist design beamed down from the
future. This is Kielder Observatory, the centre
of Britain’s nascent astrotourism industry. And
those waiting outside were the lucky ones. Many
more had applied for a night of stargazing at the
observatory but numbers are strictly limited."
"Inside, the observatory’s founder and lead
astronomer, Gary Fildes, speaks to his
colleagues and volunteers. The team discusses
that they might see the northern lights but Fildes
doesn’t think they will. Instead, they decide to
use their powerful telescopes to look at Jupiter
and Venus and, later, to find stars such as
Capella and Betelgeuse. An extra attraction is the
appearance of the International Space Station.","Inside, under a dim light, the observatory’s
founder and lead astronomer, Gary Fildes,
delivers a speech to his colleagues and
volunteers. The team discusses the prospect of
seeing the northern lights but Fildes is doubtful.
Instead, they decide to use their powerful
telescopes to observe Jupiter and Venus and,
later, to pick out stars such as Capella and
Betelgeuse. An additional attraction is the
appearance of the International Space Station.","Inside, next to a woodburner and under dimmed
lights, the observatory’s founder and lead
astronomer, Gary Fildes, a former bricklayer
with Tarzan hair, delivers a pep talk to his
colleagues and volunteers. The team discusses
the prospect of seeing the northern lights but
Fildes is doubtful. Instead, they decide to train
their powerful telescopes on Jupiter and Venus
and later to pick out stars such as Capella
and Betelgeuse. An additional attraction is the
appearance of the International Space Station."
"Fildes is a leading figure in the UK’s growing
astrotourism industry. The key moment for
Northumberland came in 2013 when the entire
national park, about 1,500 square kilometres in
area, got Dark Sky Park status. It is the only one
in England. Dark Sky Parks are rare. Research in
2013 showed that only 5% of the UK population
can see more than 31 stars on a clear night.","Fildes, 49, is at the forefront of the UK’s growing
astrotourism industry. The key moment for
Northumberland came in 2013 when the entire
national park, about 1,500 square kilometres in
area, was awarded Dark Sky Park status, the
only one in England. Dark Sky Parks are rare.
The 2013 Star Count revealed that only 5% of
the UK population can see more than 31 stars
on a clear night.","“Remember,” Fildes tells his team, “it’s about
interaction, it’s about entertainment, it’s about
inspiring people.” He puts on some music. Pink
Floyd, the Jam, the Pogues. “By 9.30, the sky is
going to be sexy,” Fildes says. “It’s going to
be epic.”"
"The International Dark-Sky Association (IDA)
gives the status of Dark Sky Park only to places
that take big steps to prevent light pollution. The
areas must also prove their night skies are very
dark. In Northumberland Dark Sky Park, it is so
dark that Venus casts a shadow on the Earth.","The Arizona-based International Dark-Sky
Association (IDA) awards the status of Dark
Sky Park only to places that take major steps
to avoid light pollution. And those areas must
also prove their night skies are dark enough.
In Northumberland Dark Sky Park, as the area
was renamed, it is so dark that Venus casts a
shadow on the Earth.","Fildes, 49, is at the forefront of the UK’s
burgeoning astrotourism industry. The pivotal
moment for Northumberland came in 2013 when
the entire national park housing Hadrian’s Wall,
along with Kielder Water and Forest Park, some
1,500 sq km, was awarded Dark Sky Park status,
the only one in England. Dark Sky Parks are rare.
The 2013 Star Count revealed that only 5% of the
UK population can see more than 31 stars on a
good night."
"Duncan Wise, visitor development officer for the
Northumberland National Park, helped to lead the
campaign for dark-sky status. “We usually think
that ‘landscape’ is everything up to the horizon,”
Wise said. “But what about what’s above the
horizon?” Wise and others spent years preparing
their application to the IDA – they collected
thousands of light readings.","Duncan Wise, visitor development officer for
the Northumberland National Park Authority,
helped to lead the campaign for dark-sky status.
“We tend to look at landscape as everything
up to the horizon,” Wise said. “But what about
what’s above it?” Wise and others spent years
preparing their application to the IDA, collecting
thousands of light readings and producing an
exterior lighting master plan that influences the
construction of new developments in the area.","The Tucson, Arizona-based International
Dark-Sky Association (IDA) confers the status
only on places that take major steps to avoid light
pollution. Recipients must also prove their night
skies are sufficiently dark. In Northumberland
Dark Sky Park, as the area was rebadged, it is so
dark that Venus casts a shadow on the Earth."
"Because of their hard work, many of the 1.5
million tourists who visit Northumberland each
year are now aware of its Dark Sky status. “A lot
of people come here to see the sky now,” says
a man who works for a local car-hire company.
“They come in autumn and winter, when it’s
darkest. It’s good for the local hotels because
tourists come all year round now.”","Their efforts have been rewarded. Many of the
1.5 million who visit Northumberland each year
are now aware of its Dark Sky status. “We get a
lot of people coming here to see the sky now,”
says the man at the car-hire firm in Newcastle.
“They come in autumn and winter, when it’s
darkest. It’s good for the local hotels because
they get business all year round now.” Local
hotels now give guests night-vision torches and
put out deckchairs at night.","Duncan Wise, visitor development officer for
the Northumberland National Park Authority,
helped to spearhead the campaign for dark-sky
status after the Council for the Protection of
Rural England found it was one of Britain’s most
tranquil places. “We tend to look at landscape
as everything up to the horizon,” Wise said.
“But what about what’s above it?” Wise and
others spent years drawing up their submission
to the IDA, collecting reams of light readings
and forming an alliance of local councils, parks’
bodies and community groups to produce an
exterior lighting master plan that influences the
construction of new developments in the area."
"Wise agrees that Northumberland needs to do
more to take advantage of its dark skies, which
are very rare. He believes the region needs
more observatories to make sure that visitors
will see what they came for. A new £14-million
national landscape discovery centre will have an
observatory when it is completed in a couple
of years.","Wise agrees that Northumberland needs to do
more to take advantage of its scarce resource.
He believes the region needs a couple more
observatories to ensure that visitors will see
what they came for. A new £14m national
landscape discovery centre will have an
observatory when it is completed in a couple
of years.","Their efforts have been vindicated. Many of the
1.5 million who visit Northumberland each year
are now aware of its Dark Sky status. “We get a
lot of people coming here to see the sky now,”
says the man at the car-hire firm in Newcastle.
“They come in autumn and winter, when it’s
darkest. Good for the B&Bs as they get business
all year round now.” Local hoteliers now issue
guests with night-vision torches and put out
deckchairs at night. Those who have acquired
some knowledge of astronomy can receive a
badge confirming that their hotels are “Dark
Sky Friendly”."
"Fildes has big ambitions. He is planning
Britain’s first “astrovillage” – it would have
the largest public observatory in the world, a
100-seat auditorium, a 100-seat planetarium,
and radiomagnetic and solar telescopes. The
multimillion-pound project would also have a
hotel and attract 100,000 visitors a year – that is
four times the number that are currently able to
use the observatory.","Fildes has big ambitions. He is planning Britain’s
first “astrovillage”, one that would contain
the largest public observatory in the world
and have a 100-seat auditorium, a 100-seat
planetarium, a one-metre aperture telescope,
and radiomagnetic and solar telescopes. The
multimillion-pound project would also have a
hotel and draw in 100,000 people a year, four
times the number currently able to use the
observatory. Fildes believes the astrovillage will
be a reality by 2018.","Wise acknowledges that Northumberland needs
to do more to capitalize on its scarce resource
and believes the region needs a couple more
observatories to ensure that visitors will see
what they came for. A £14m national landscape
discovery centre, which he describes as the
north’s answer to the Eden Project, will have an
observatory when it is completed in a couple
of years."
"However, Northumberland has competition.
Galloway Forest Park in Scotland also has Dark
Sky Park status. Exmoor in south-west England
became Europe’s first International Dark Sky
Reserve – one level below Dark Sky Park – in
2011. A number of local businesses there now
offer stargazing holidays. The UK is not as good
as northern Chile, which has more than ten
tourist observatories and some of the clearest
skies in the world.","However, Northumberland has competition.
Galloway Forest Park in Scotland also has Dark
Sky Park status. Since Exmoor was designated
Europe’s first International Dark Sky Reserve
– one level below Dark Sky Park – in 2011, a
range of local businesses offering stargazing
breaks and safaris has sprung up. The UK has
a long way to go to rival northern Chile, which
has more than a dozen tourist observatories
and some of the clearest skies in the world. The
Teide National Park in Tenerife is also becoming
a major astrotourism destination.","Fildes has grand designs. He is planning Britain’s
first “astrovillage”, one that would house the
largest public observatory in the world and boast
a 100-seat auditorium, a 100-seat planetarium, a
one-metre aperture telescope, and radiomagnetic
and solar telescopes. The multimillion-pound
project would feature a hotel and draw in 100,000
people a year, four times the number currently
able to use the observatory. Fildes is cryptic
about his backers but believes the astrovillage
will be a reality by 2018."
"So, why do people want to look at the night sky?
The media have helped. TV programmes about
astronomy have attracted a new generation of
stargazers. Technology has also made astronomy
more popular. Apps such as Stellarium now turn
smartphones into pocket-size planetariums. But
Fildes believes that, most importantly, people are
starting to appreciate the sky. “If you had to build
a visitor attraction from the beginning, what could
be better than the universe?”","So, why do people want to look up into the night
sky? The media have helped. TV presenters
like Brian Cox have attracted a new generation
of stargazers. “Brian Cox has made astronomy
accessible,” says Wise. “It’s no longer seen as
something just for professors with telescopes.” Technology has also made astronomy more
popular. Apps such as Stellarium now turn
smartphones into pocket-size planetariums. But
Fildes believes that, most importantly, people
are starting to appreciate what lies above. “If
you had to build a visitor attraction from scratch,
what could be better than the universe?”","However, Northumberland faces competition.
Galloway Forest Park in Scotland also has Dark
Sky Park status. Since Exmoor was designated
Europe’s first International Dark Sky Reserve
– one notch below Dark Sky Park – in 2011, a
range of local businesses offering stargazing
breaks and safaris has sprung up. The UK
will have to go some way to eclipse northern
Chile, which boasts more than a dozen tourist
observatories and has some of the clearest skies
in the world. The Teide National Park in Tenerife
is also becoming a major
astrotourism destination."
