Elementary,Intermediate ,Advanced
"The roof is plastic and the desks just old chairs,
but the students inside the Chemin des Dunes
school are studying hard. They want a new life
in France.","The roof is plastic and the desks are just old
chairs, but the students inside the Chemin des
Dunes school are studying hard and hoping for a
new life in France.","The roof is plastic held up by a crooked tree trunk
and the desks just a jumble of cast-off chairs, but
the students inside the Chemin des Dunes school
are studying with the same intensity you would
find in a seminar at Oxford University. At stake is
the hope of a new life in France."
"“The French language is very difficult but we
try hard. If we come every day, maybe our
dreams will come true,” says Kamal, a refugee
from Sudan. He comes to three or four hours of
classes every day. “It’s a good thing to keep your
brain active.”","“The French language is very difficult but we try
hard. If we come every day, maybe our dreams
will come true,” says Kamal, a refugee from
Sudan’s Darfur district who comes to three or four
hours of classes every day. “It’s a good thing to
keep your brain active.”","“The French language is very difficult but we
try hard. If we come every day, maybe we can
touch our dreams,” says Kamal, a refugee from
Sudan’s war-torn Darfur district who comes to
three or four hours of classes every day. “It’s a
good thing to keep your brain active.”"
"The 29-year-old electrical engineer is one of
many refugees who live in the “jungle” camp
outside Calais who have applied for asylum in
France. They want to learn the language of their
new home.","The 29-year-old electrical engineer is one of
dozens, perhaps hundreds, of refugees living
in the “jungle” camp outside Calais who have
applied for asylum in France and really want to
learn the language of what they hope will be their
new home.","The 29-year-old electrical engineer is one of
dozens, perhaps hundreds, of refugees living
in the “jungle” camp outside Calais who have
applied for asylum in France and are eager to
learn the language of what they hope will be their
new home."
"“I want people in the UK to know that not
everyone wants to go there. There are a lot of
people here who want to stay in France,”
Kamal said.","Like many of his fellow students, he is frustrated
by the media coverage of the sprawling tentvillage.
He says it focuses only on those people
who use the village as a place to stay while they
make risky attempts every night to sneak on
board cross-Channel lorries or trains.","Like many of his fellow students, he is frustrated
that media coverage of the sprawling tentvillage
has focused only on those who use it as
a staging post for risky nightly bids to sneak on
board cross-Channel lorries or trains."
"France already has more than a quarter of a
million refugees. There are also 56,000
asylum seekers who are waiting to see if they
can stay in France.","“I want people in the UK to know that not
everyone wants to go there. There are a lot of
people here who want to stay in France,”
Kamal said.","“I need to tell people in the UK, they think that
everyone wants to go there. But there are a lot of
people here who want to stay in France,”
Kamal said."
"While they wait for an answer, France does not
give them any money or allow them to work. The
wait can take many months. The jungle camp
offers a free meal a day and a plastic roof over
their heads. So, many people decide to live there
and not work illegally because then they will not
be allowed to stay in France.","France is already home to more than a quarter of
a million refugees, according to United Nations
data – this is more than twice as many as the UK,
even though the countries have
similar populations.","France is already home to more than a quarter of
a million refugees, according to United Nations
data – the country has taken in more than twice
as many as the UK, even though the countries
have similar populations."
"Some of the asylum seekers suggested the
idea for the school at the start of the summer.
They were bored with waiting and nervous about
starting a new life in France totally unable to
communicate. The school opened on 11 July.","There are also 56,000 asylum seekers waiting
for permission to stay in France – the second
highest number in Europe – while, in the UK,
there are 36,000.","There are a further 56,000 asylum seekers
waiting for their claim to a French safe haven to
be processed – the second highest number in
Europe – while, in the UK, there are 36,000."
"“We did it so people can learn French,” said
Zimarco Jones, the school’s Nigerian founder.
He arrived in Calais in 2013 and is still waiting to
hear if he will be allowed to stay in France. “Now,
we need to build another school,” he says with
a grin.","But, while the applicants wait to hear if they can
stay, France does not give them any financial
support or allow them to work – and the slow
process can take many months. The jungle camp
offers a free meal a day and a plastic roof over
their heads. Many decide to live in these basic
conditions for a few extra months, rather than
jeopardize their chance to stay in France by
working illegally.","While the applicants wait for an answer, though,
France does not provide them with any financial
support or allow them to work – and the slow
process can take many months. The jungle camp
offers a free meal a day and a plastic roof over
their heads so many decide to endure the basic
conditions for a few extra months, rather than
potentially jeopardize their asylum bid by
working illegally."
"The tiny classroom can hold 30 pupils. There
are five rows of desks in front of a big green
chalkboard and pictures of cartoon animals for
each letter of the French alphabet. There are also
classes in English, art and t’ai chi. But the French
lessons are the most popular. The teachers are
volunteers from Calais and other places.","The idea for the school was first suggested
by some of the asylum seekers at the start of
the summer, when they were bored with sitting
around waiting and nervous about starting a new
life in France totally unable to communicate. It
opened within weeks, on 11 July.","The idea for the school was first touted by some
of that group at the start of the summer, when
they were bored with sitting around waiting and
nervous about starting a new life in France totally
unable to communicate. It was a reality within
weeks, opening on 11 July."
"“French is not as easy as English but, two weeks
ago, I decided there was no way to get to the
UK,” says George, another refugee and student.
He wanted to cross the Channel because he
speaks fluent English but, with language classes,
he says he is happy to stay in France.","“We did it so people can learn French,” said
Zimarco Jones, the school’s Nigerian founder,
who arrived in Calais in 2013 and is still waiting
to hear if he can stay. “Now, we need to build
another one,” he says with a grin.","“We did it to reunite the ‘brothers’ and, at the
same time, they can learn French,” said Zimarco
Jones, the school’s Nigerian founder, who arrived
in Calais in 2013 and is still waiting for his asylum
claim to be processed. “Now, we need to build
another one,” he says with a grin."
