Elementary,Intermediate ,Advanced
"He was a normal millionaire. He had a gold
and silver Rolex watch and lots of expensive
cars. He liked to buy modern art. This Chinese
businessman had many companies and a large
villa in Madrid. But, he had almost no money in
the bank. This interested the Spanish authorities.","He had the tastes of a typical millionaire. He
owned a gold and silver Rolex and lots of
expensive cars. He liked to buy modern art. But,
although this Chinese businessman had several
companies and a large villa in Madrid, he had
almost no money in the bank. This detail interested
the Spanish authorities.","He had the tastes of a typical millionaire. He owned
a gold and silver Rolex and a fleet of expensive
cars. He liked to dabble in modern art. But, although
this Chinese businessman had several companies
and a palatial villa in the Madrid suburbs, he had
almost no money in the bank, a detail that piqued
the interest of Spanish authorities."
"Gao Ping sold goods to 4,000 Chinese markets
in Spain. But, authorities suspected he was not
paying taxes on the clothes, furniture and other
goods he was bringing in from China.","Gao Ping supplied 4,000 Chinese bazaars across
Spain. But, authorities suspected he was not
paying taxes on the clothes, furniture and other
goods he was importing from China.","Gao Ping, who had lived most of his adult life
in Spain, had a monopoly on supplies to 4,000
Chinese bazaars across the Mediterranean country.
But, authorities suspected he was not paying taxes
on the clothes, furniture and other goods he was
importing from China."
"When police went to his warehouses in 2012,
they found lots of cash: €100, €200 and €500
notes. Police took away around €12m, the most
cash ever found by Spanish police.","When police searched his warehouses in 2012
they found piles of cash: €100, €200 and €500
notes were wrapped in elastic bands. Around €12m
was taken away, the largest amount of cash ever
found by Spanish police. Gao’s gang is accused of
laundering up to €300m a year, as well as selling
counterfeit goods and toys with fake safety marks.","When police swooped on his warehouses in 2012
they found piles of cash: wads of €100, €200 and
€500 notes were wrapped in elastic bands. Around
€12m was wheeled away in trolleys, the largest
ever cash seizure by Spanish police. The gang,
with Gao the alleged ringleader, stands accused
of laundering up to €300m a year, as well as
selling counterfeit goods and toys with fake safety
marks. The government prosecutor said Gao’s
illegal business was so big it was damaging the
competitiveness of Spain. Gao is on bail; the case
has not yet come to trial."
"Police have been worried about €500 notes for a
long time. Small and easy to transport, they are
the favourite banknotes of criminals. The sum of
€1m in €500 notes fits easily into a small laptop
bag. The same amount in €50 notes would need
a small suitcase.","Law enforcement officials have been worried
about €500 notes for a long time. Small and
easy to transport relative to their value, they are
the payment method that tax dodgers, money
launderers and drug barons prefer to use. The sum
of €1m in €500 notes fits easily into a small laptop
bag. The same amount in €50 notes would need a
small suitcase.","Law enforcement officials have long had concerns
about €500 notes. Small and easy to transport
relative to their value, they are the payment method
of choice for tax dodgers, money launderers
and drug barons. The sum of €1m in €500 notes
fits easily into a small laptop bag, where the
same amount in €50 notes would require a small
suitcase. Cash mules have been known to fold the
notes into plastic pellets and swallow them. A less
dangerous method of concealment is to stuff the
banknotes into a car chassis."
"The UK stopped using the €500 note in 2010
because they were used “almost entirely by
criminals”. In 2009, Italy’s central bank said that
mafia money launderers and terrorists used the
notes. Canada got rid of its $1,000 note in 2000
because the police advised them to.","The UK stopped distribution of the €500 note in
2010 because it was used “almost entirely by
criminals”. In 2009, Italy’s central bank warned
that the notes were widely used by mafia money
launderers and terrorists. Other countries have
limited their own high-denomination notes due
to links to organized crime – Canada got rid
of its $1,000 note in 2000 on the advice of law
enforcement officers.","The UK stopped distribution of the €500 note in
2010 on the grounds that demand for it was “almost
entirely for criminal purposes”. In 2009, Italy’s
central bank warned that the notes were widely
used by mafia money launderers and terrorists.
Other countries have limited their own highdenomination
notes due to links to organized crime
– Canada scrapped its $1,000 note in 2000 on the
advice of law enforcement officers."
"These days, we have electronic payment
systems and contactless cards so people are
asking why it is still necessary to have these
banknotes. Peter Sands, the former head of
Standard Chartered Bank, said we should get
rid of large notes, including the €500, the $100,
the 1,000 Swiss Franc note and the £50. Sands
said it was time to get rid of high-value notes
that make life easier for “bad guys”. Criminals
would instead use smaller banknotes, or gold or
diamonds, but these are big so criminals cannot
carry them easily”, he said.","Now, with electronic payment systems and
contactless cards, people are asking whether we
should print these notes. Peter Sands, the former
head of Standard Chartered Bank, said we should
get rid of high-denomination notes, including the
€500, the $100, the 1,000 Swiss Franc note and
the £50. In a report for the Harvard Kennedy
School of Government, Sands said it was time to
get rid of high-value notes that make life easier
for “bad guys”. Criminals would instead use
smaller-denomination bills, or gold or diamonds,
but these are too big to be carried easily and more
traceable. This makes it more likely they will get
caught, he said.","In an age of electronic payment systems and
contactless cards, more are questioning whether
printing these notes can be justified. Peter Sands,
the former head of Standard Chartered Bank, has
called for the abolition of high-denomination notes,
including the €500, the $100, the 1,000 Swiss
Franc note and the £50. In a report for the Harvard
Kennedy School of Government, Sands argued it
was time to get rid of high-value notes that make
life easier for “bad guys” pursuing tax evasion,
financial crime, terrorist finance and corruption.
Although criminals would switch to smallerdenomination
bills, or gold or diamonds, these
substitutes are bulkier and more traceable, making
it more likely they will get caught, he said."
"The purple €500 note was introduced in 2002:
it replaced the 1,000 Deutschmark, the 10,000
Belgian franc and the 500,000 Italian lira. In
Germany and Austria, people still pay with paper
money and coins more than half the time.","At a conference on terrorist financing in London,
the Head of Europol, Rob Wainwright, asked
the European Central Bank to look at whether
it “should continue to produce these notes that
make it easier for criminals and terrorists to hide
their business and to provide money for illegal
activities”. According to Europol, the purple €500
note makes up 30% of the value of all the euro
notes, although most people have never seen one.","At a conference on terrorist financing in London,
the Head of Europol, Rob Wainwright, called on the
European Central Bank (ECB) to look at whether
it “should continue to produce and circulate these
notes that make it easier for criminals and terrorists
to hide their business and to fund illegal activities”.
According to Europol, the purple €500 note
accounts for 30% of the value of all the euro notes
in circulation, although most people have never
seen one."
"Europol would like central banks to take more
responsibility for what happens with €500 notes.
EU finance ministers have asked banks and
authorities to look at whether countries should
limit high-value notes or get rid of them.","The €500 note was introduced in 2002 when
the euro was born: it replaced the 1,000
Deutschmark, the 10,000 Belgian franc and the
500,000 Italian lira. In Germany and Austria, more
than half of all transactions are still made with
paper money and coins.","The €500 note was introduced in 2002 when the
euro was born: it replaced the 1,000 Deutschmark,
the 10,000 Belgian franc and the 500,000 Italian
lira. Several European countries favoured highvalue
banknotes. “It is definitely a preference that
has been there for a long time,” says Pia Hüttl,
an affiliate fellow at the Bruegel thinktank. “The
preference is based on the idea that cash has a
lower cost and is accepted everywhere.”"
,"Europol would like to see central banks take
more responsibility for what happens with €500
notes. Luxembourg, for example, issued more
than twice its annual GDP in banknotes in 2013
alone. Europol asked Luxembourg’s central bank
to explain. The reply from Luxembourg was that
they simply issue the notes that are asked for
and do not ask or know why people want them,
said Jennifer MacLeod, a specialist in Europol’s
financial intelligence group. “I find it surprising that
a central bank does not consider itself to have a
responsibility in this area.”","Cash remains king in Germany and Austria, where
more than half of all transactions are made with
paper money and coins. The former president
of Germany’s constitutional court, Hans-Jürgen
Papier, told Germany’s Frankfurter Allgemeine
Zeitung that restrictions on cash were at odds with
individual freedom, while tabloid newspaper Bild
has launched a petition in defence of paper money,
including the €500 note – “hands off my cash”."
,"This could be changing. EU finance ministers
have asked policymakers to think about
“appropriate limits” on high-value notes and report
back by 1 May 2016.","Law enforcement authorities are less convinced,
amid a steady stream of reports of suspicious
bundles of cash. In one case that has caught
the attention of police, two men walked into a
bank and tried to deposit €200,000 of torn and
muddy €500 notes. In the same week, €1.3m in €500 notes was found stuffed in the false bottom
of suitcase. But, a suspicion of criminality is not
enough to keep people in custody. “Our frustration
from a law enforcement perspective is that, in
many jurisdictions, it is impossible to provide
sufficient evidence to satisfy judicial authorities
of a link between suspicious cash detections and
criminality,” says Jennifer MacLeod, a specialist in
Europol’s financial intelligence group. “The search
for these links is complicated further through
time constraints and fragmented cooperation and
information exchange.”"
