Elementary,Intermediate ,Advanced
"Until the end, David Bowie, who has died of
cancer, still surprised us. His latest album,
Blackstar, appeared on his 69th birthday on 8
January 2016. It showed that he hadn’t stopped
making challenging, disturbing music.","Until the end, David Bowie, who has died of
cancer, was still full of surprises. His latest album,
Blackstar, appeared on his 69th birthday on 8
January 2016 and proved that he hadn’t lost his
gift for making dramatic statements as well as
challenging, disturbing music.","Until the last, David Bowie, who has died of
cancer, was still capable of springing surprises.
His latest album, Blackstar, appeared on his 69th
birthday on 8 January 2016 and proved that his
gift for making dramatic statements as well as
challenging, disturbing music hadn’t
deserted him."
"Throughout the 1970s, Bowie was a trailblazer
of musical trends and pop fashion. He became
a singer-songwriter, a pioneer of glam-rock, then
became involved in “plastic soul”. He then moved
to Berlin to create innovative electronic music.","Throughout the 1970s, Bowie was a trailblazer
of musical trends and pop fashion. He became
a singer-songwriter, a pioneer of glam-rock, then
got into what he called “plastic soul”, before
moving to Berlin to create innovative electronic
music. His ability to mix brilliant changes of sound
and image is unique in pop history.","Throughout the 1970s, Bowie was a trailblazer
of musical trends and pop fashion. Having
been a late-60s mime and cabaret entertainer,
he evolved into a singer-songwriter, a pioneer
of glam-rock, then veered into what he called
“plastic soul”, before moving to Berlin to create
innovative electronic music. His capacity for
mixing brilliant changes of sound and image
underpinned by a genuine intellectual curiosity is
rivalled by few in pop history."
"Bowie was born David Robert Jones in south
London. At 15, David formed his first band, the
Kon-rads, but it was soon clear that David should
go solo. David took the name Bowie so people
wouldn’t confuse him with Davy Jones of
the Monkees.","Bowie was born David Robert Jones in south
London. In 1953, the family moved to Kent,
where David showed talent for singing and
playing the recorder. Later, he studied art, music
and design.","Bowie was born David Robert Jones in south
London. In 1953, the family moved to Kent,
where David showed aptitude in singing and
playing the recorder. Later, he studied art, music
and design. In 1961, David’s mother bought
him a plastic saxophone, introducing him to an
instrument which would become a recurring
ingredient in his music."
"Bowie’s first album, released in June 1967, was
titled simply David Bowie. In July 1969, Bowie
released Space Oddity, the song that would give
him his first big success. Timed to coincide with the
Apollo 11 moon landing, it was a top five UK hit.","At 15, David formed his first band, the Kon-rads.
It was clear that David’s talents and ambition
meant that he should go solo. David took the
name Bowie to avoid confusion with Davy Jones
of the Monkees.","At 15, David formed his first band, the Kon-rads.
It was clear that David’s talents and ambition
dictated that he should go solo. David adopted
the name Bowie to avoid confusion with Davy
Jones of the Monkees."
"The Man Who Sold the World was released in the
US in late 1970 and in the UK the following year.
With its daring songwriting and hard-rock sound,
it was the first album to really show his talents.","Bowie’s first album, released in June 1967, was
titled simply David Bowie. In July 1969, Bowie
released Space Oddity, the song that would give
him his first commercial breakthrough. Timed to
coincide with the Apollo 11 moon landing, it was a
top five UK hit.","Bowie’s first album, released in June 1967, was
titled simply David Bowie. In July 1969, Bowie
released Space Oddity, the song that would give
him his initial commercial breakthrough. Timed to
coincide with the Apollo 11 moon landing, it was a
top five UK hit."
"He followed it with 1972’s Hunky Dory, a mix of
wordy, elaborate songwriting. It was an excellent
collection that was not a great success. But
that all changed with The Rise and Fall of Ziggy
Stardust and the Spiders from Mars later
that year.","In March 1970, Bowie married art student, Angela
Barnett. The Man Who Sold the World was
released in the US in late 1970 and in the UK the
following year. With its daring songwriting and
broody, hard-rock sound, it was the first album to
really show his writing and performing gifts. The
album’s themes included immortality, insanity,
murder and mysticism, which showed that Bowie
was a songwriter who was thinking outside of
pop’s usual boundaries.","In March 1970, Bowie married art student, Angela
Barnett. Artistically, Bowie was powering ahead.
The Man Who Sold the World was released in
the US in late 1970 and in the UK the following
year, and with its daring songwriting and broody,
hard-rock sound, it was the first album to do full
justice to his writing and performing gifts. The
album’s themes included immortality, insanity,
murder and mysticism, evidence that Bowie was
a songwriter who was thinking way beyond pop’s
usual boundaries."
"This time, Bowie appeared as Ziggy Stardust, a
science-fiction character – an intergalactic
glam-rock star visiting planet Earth. The hit
single Starman brought instant success for
the album.","He followed it with 1972’s Hunky Dory, a mix of
wordy, elaborate songwriting. It was an excellent
collection that met with only moderate success
but that all changed with The Rise and Fall of
Ziggy Stardust and the Spiders from Mars later
that year.","He followed it with 1972’s Hunky Dory, a mix of
wordy, elaborate songwriting. It was an excellent
collection that met with only moderate success
but that all changed with The Rise and Fall of
Ziggy Stardust and the Spiders from Mars later
that year."
"Everything Bowie touched turned to gold. He had
his first UK number 1 album with Aladdin Sane
(1973), which included the hit singles The Jean
Genie and Drive-in Saturday.","This time, Bowie appeared as a science-fiction
character – an intergalactic glam-rock star visiting
planet Earth. The hit single Starman brought
instant success for the album.","This time, Bowie emerged as a fully fledged
science-fiction character – an intergalactic
glam-rock star visiting a doomed planet Earth –
and the album effectively wrote the script for his
own stardom. The hit single Starman brought
instant success for the album, while Bowie’s
ravishing stage costumes and provocative
performances triggered fan enthusiasm unseen
since Beatlemania."
"His interest in funk and soul music could be
heard on the album Young Americans (1975),
which included the single Fame (with John
Lennon as a guest singer).","Everything Bowie touched turned to gold. He had
his first UK number 1 album with Aladdin Sane
(1973), which included the hit singles The Jean
Genie and Drive-in Saturday. But Bowie was
already planning his next career moves.","Everything Bowie touched turned to gold. He had
his first UK number 1 album with Aladdin Sane
(1973), which generated the hit singles The Jean
Genie and Drive-in Saturday. But Bowie was
already planning fresh career moves."
"With the album Station to Station (1976), Bowie
turned himself into a new character, the Thin
White Duke.","His increasing interest in funk and soul music
could be heard on the album Young Americans
(1975), which gave him a US chart-topper with
Fame (with John Lennon as a guest vocalist).","His increasing interest in funk and soul music
came to the fore on the deliciously listenable
Young Americans (1975), which gave him a US
chart-topper with Fame (featuring John Lennon
as a guest vocalist)."
