Elementary,Intermediate ,Advanced
"A fifth of young adults in the UK are staying in the
family home until they are at least 26 and a fifth are
not paying any rent. A recent survey found that the
percentage of adults who live at home was different
in different parts of the country – it was less than 9%
in the East Midlands and more than double that in
London, where house prices and rents are highest.
Many young people pay their parents some money
to live at home but 20% pay nothing at all.","Some people call it ‘the hotel of mum and dad’. A fifth
of young adults are staying in the family home until
they are at least 26 and the same proportion are not
paying a penny towards their keep. A recent survey
found that the proportion of adults living at home
varied around the country, from just under 9% in the
East Midlands to more than double that in London,
where house prices and rents are highest. While
many around the country contributed financially, it
found that 20% were paying nothing at all.","It has been called ‘the hotel of mum and dad’ but
few guesthouses have such favourable terms. As
the housing crisis bites, a fifth of young adults are
staying in the family home until they are at least 26
and the same proportion are not paying a penny
towards their keep. A recent survey found that the
proportion of adults living at home varied around the
country, from just under 9% in the East Midlands
to more than double that in London, where house
prices and rents are highest. While many around the
country contributed financially, the survey found that
20% were paying nothing at all."
"Young adults are suffering from low wages and
high rents. The cost of renting is too much so young
people who want to buy a house can’t save enough
to get on the property ladder. Recent research
showed half of tenants were unable to save any
money for a deposit and a quarter could only save
£100 or less each month. Mortgages are cheaper
than ever before but people who have large deposits
still get the best mortgages.","Young adults are squeezed by low wages and high
rents, while those who want to buy a property are
finding the monthly cost of renting is preventing
them from saving enough to get on the housing
ladder. Recent research showed half of tenants
were unable to save a penny towards a deposit,
while a quarter could only save £100 or less each
month. Mortgages are cheaper than ever before
thanks to record low interest rates but the best deals
are still only given to people with large deposits.","Young adults are being squeezed by low wages and
rents, which have hit record highs, while those who
want to buy a property are finding the monthly cost
of renting is preventing them from saving enough to
get on the housing ladder. Research published by
the homeless charity Shelter showed half of tenants
were unable to save a penny towards a deposit,
while a quarter could only put by £100 or less each
month. Mortgages are cheaper than ever before
thanks to record low interest rates but the best deals
are still reserved for borrowers with large deposits."
"As a result of this, more and more young adults are
returning to the family home to save money. And,
parents who cannot afford to give their children
money for a deposit seem happy to let them live at
home again. The survey found that 28% of adults
live at home because they are trying to save for a
deposit. But it also found that 30% are not saving
any money.","As a result of this, young adults are increasingly
returning to the family home to save money and
parents who cannot afford to offer their children a
large sum of money seem happy to help. The survey
found that 28% of adults were living at home because
they were trying to save for a deposit. However, it
also found that 30% were not saving any money.","Faced with this, young adults are increasingly
returning to the family home in order to save money
and parents who cannot afford to offer their offspring
a lump sum seem willing to help. The survey found
that 28% of adults were living at home because they
were trying to save for a deposit. However, it also
found that 30% were not saving any money."
"Michael Day, 30, who lives with his parents in
Bristol, says it’s difficult to save for a mortgage
deposit when rents are so high. Rents for a onebedroom
home in the city are between £500 and
£800 a month. Buying a similar flat would cost about
£130,000. “I don’t really want to move out to rent
because it’s more than a mortgage but you need
such a big deposit to get a mortgage.”","Michael Day, 30, who lives with his parents in
Bristol, says he has been caught between paying
high rents and saving for a mortgage deposit.
Rents for a one-bedroom home in the city are
between £500 and £800 a month, while buying a
similar property would cost about £130,000. “I don’t
really want to move out to rent as it’s more than a
mortgage but you need such a big deposit to get a
mortgage so it’s a vicious circle.”","A spokesman for the company conducting the
survey commented: “The hotel of mum and dad is
often staying open for longer than many anticipated,
our latest research shows. Rental costs and
deposits or the need to save for a mortgage deposit
mean that some children understandably have to
wait before flying the nest. And, for some, moving
out may never be an option.”"
"Sue Green, who works for Saga, a business that
sells insurance to people over 50, said most parents
did not think their children would live with them in
their 20s or 30s. “Most will be more than happy to
have them in the family home rent-free because
it might help their kids get on the property ladder
sooner,” she said. “Children who don’t pay rent may
pay for other things like groceries or they may do
odd jobs around the home.”","He does not want to share with strangers so his
options are limited. At home, he pays a nominal
rent to cover bills and is able to keep the rest of
his earnings from his job. He admits that, instead
of saving, he spends his spare money on golf and
holidays. “You need so much money that I will
have to save for the foreseeable future,” he said.
“Because it’s been so difficult, I’ve been going on
holiday and enjoying it.”","Michael Day, 30, who lives with his parents in
Bristol, says he has been caught between paying
high rents and saving for a mortgage deposit.
Rents for a one-bedroom home in the city are
between £500 and £800 a month, while buying a
similar property would cost about £130,000. “I don’t
really want to move out to rent as it’s more than a
mortgage but you need such a big deposit to get a
mortgage so it’s been a bit of a vicious circle.”"
"Angus Hanton, of the Intergenerational Foundation,
said older people caused the housing crisis and
we should not blame younger people for staying at
home. “The under-30s earn, on average, 20% less
since the 2008 downturn. Rents and car insurance
have never been so high,” he said, “and many jobs
– zero-hour and short-term contracts – turn younger
workers into second-class citizens.”","Sue Green, of Saga, a business that sells insurance
to people over 50, said the majority of parents may
not have planned to have their children living with
them in their 20s or 30s. “Most will be more than
happy to have them in the family home rent-free
because it might help their kids get on the property
ladder sooner,” she said. “Children who don’t
pay rent may contribute in other ways like buying
groceries, family takeaways or doing odd jobs
around the home.”","Day does not want to share with strangers so his
options are limited. At home, he pays a nominal
rent to cover bills and is able to keep the rest of his
earnings from his job at a candle retailer. He plays
golf at county level and he admits that, instead
of saving, he spends his spare cash on golf and
holidays. “You need so much money that I will
have to save for the foreseeable future,” he said.
“Because it’s been so difficult, I’ve been going on
holiday and enjoying it.”"
"Jenna Gavin, 29, lives in the family home where
she grew up. She works as a medical receptionist
nearby so she wants to stay in the area. But renting
a one-bedroom flat would cost more than £420 a
month not including bills, which would use a lot of
her earnings. “I don’t want to rent – I don’t want
to spend all that money and have nothing at the
end,” she said. “I’ve thought about buying and seen
mortgage advisers but I just can’t borrow enough to
get on the property ladder.”","Angus Hanton, of the Intergenerational Foundation
thinktank, said older generations were “the
architects of the housing crisis” and children should
not be blamed for staying at home. “The under-30s
have suffered a reduction in average incomes of
about 20% since the 2008 downturn. Rents and car
insurance have never been so high and mortgage
lending rules are now stricter for the young but not
for older buy-to-let investors, who squeeze out the
young,” he said. “Many jobs on offer – zero-hour and
short-term contracts – are turning younger workers
into second-class citizens. Rather than blaming the
young, we should help them so they can afford to
build lives of their own.”","Sue Green, of Saga, a business that sells insurance
and products to the over-50s, said the majority of
parents may not have planned to have their children
living with them well into their 20s or 30s. “Most will
be more than happy to house them in the family
home rent-free because it might help their kids get
on the property ladder sooner,” she said. “Children
who don’t pay rent may contribute in other ways like
buying groceries, family takeaways or doing odd
jobs around the home.”"
"She is trying to save for a deposit. “It’s difficult to
save enough money – even a 5% deposit is such a
lot of money,” she said. Her parents are happy not
to ask her to pay rent. “They want me to try to save
and I do other things – I buy food and I do things
around the house.” She gets on with her parents
and has the same room that she had when she was
14 but she said she had always imagined she would
have her own home before she was 30.","Jenna Gavin, 29, lives in Southport, Merseyside, in
the family home where she grew up. She works as a
medical receptionist nearby so she wants to stay in
the area. But renting a one-bedroom flat would cost
more than £420 a month not including bills, which
would use a lot of her earnings. “I don’t want to
rent – I don’t want to spend all that money and have
nothing at the end,” she said. “I’ve looked at buying
and seen mortgage advisers but I just can’t borrow
enough to get on the property ladder.”","Angus Hanton, co-founder of a thinktank called the
Intergenerational Foundation, said older generations
were “the architects of the housing crisis” and
children should not be blamed for staying at home.
“The under-30s have suffered a fall in average
incomes of about 20% since the 2008 downturn.
Rents and car insurance have never been so high
and mortgage lending rules have been tightened
for the young but not for older buy-to-let investors,
who squeeze out the young,” he said. “Student-fee
debt is rising rapidly yet many jobs on offer – zerohour
and short-term contracts – are turning younger
workers into second-class citizens. Rather than
blaming the young, we should be standing up for
their interests so they can afford to build lives of
their own.”"
,"Gavin is trying to save for a deposit. “It’s difficult to
save enough money – even a 5% deposit is such
a lot of money and I would like to have a bigger
deposit,” she said. Her parents are happy not to
charge her rent. “They want me to try to save up
and I contribute in other ways – I buy food and I do
things around the house.”","Jenna Gavin, 29, lives in Southport, Merseyside,
in the family home where she grew up. She moved
out for a year to go to university but has been living
with her parents ever since. She works as a medical
receptionist nearby so she wants to stay in the area.
But renting a one-bedroom flat would cost more than
£420 a month before bills, which would take up a lot
of her earnings. “I don’t want to rent – I don’t want to
spend all that money and have nothing at the end,”
she said. “I’ve looked at buying and seen mortgage advisers but I just can’t borrow enough to get on the
property ladder.”"
,"Gavin gets on with her parents and has her own
space in a room that she moved into when she was
14 but she said she had always imagined she would
have her own place by the time she was 30. “I don’t
see that happening, as it’s next year. But, hopefully,
in a couple of years, I’ll move out.”","Gavin is trying to save but is struggling to amass the
necessary funds. “You don’t really see it building up
as much as you need – even a 5% deposit is such a
lot of money and I would like to put down more,” she
said. Her parents are happy not to charge her rent.
“They want me to try to save up and I contribute in
other ways – I bring food in and I do things around
the house.”"
