Elementary,Intermediate ,Advanced
"For 85 years, it was just a grey blob on classroom
maps of the solar system. But, on 15 July, we
saw Pluto in high resolution for the first time.
The images show dramatic mountains
made from solid water ice as big as the Alps or
the Rockies.","For 85 years, it was just a grey blob on classroom
maps of the solar system. But, on 15 July, Pluto
was seen in high resolution for the first time. The
images show dramatic mountain ranges made
from solid water ice as big as the Alps or
the Rockies.","For 85 years, it was little more than a featureless
grey blob on classroom maps of the solar system,
but, on 15 July, Pluto was seen in high resolution
for the first time, revealing dramatic mountain
ranges made from solid water ice on a scale to
rival the Alps or the Rockies."
"The extraordinary images of the former ninth
planet and its large moon, Charon, were sent four
billion miles back to Earth from the New
Horizons spacecraft.","The extraordinary images of the former ninth
planet and its large moon, Charon, were sent
back 4bn miles to Earth from the New Horizons
spacecraft. They are the climax of a mission that
has been quietly underway for nearly ten years.","The extraordinary images of the former ninth
planet and its large moon, Charon, beamed
4bn miles back to Earth from the New Horizons
spacecraft, mark the climax of a mission that has
been quietly underway for nearly a decade."
"Alan Stern, the mission’s principal investigator,
said “New Horizons is returning amazing results.
The data look absolutely gorgeous, and Pluto and
Charon are just mind-blowing.”","Alan Stern, the mission’s principal investigator,
said “New Horizons is returning amazing results.
The data look absolutely gorgeous, and Pluto and
Charon are just mind-blowing.”","Alan Stern, the mission’s principal investigator,
described the images as a “home run” for the
team. “New Horizons is returning amazing results
already. The data look absolutely gorgeous, and
Pluto and Charon are just mind-blowing.”"
"John Spencer, a mission scientist, said that one
of the biggest surprises was the discovery that
“there are mountains in the Kuiper belt”. The
Kuiper belt is the solar system’s mysterious “third
zone” where Pluto is, with about 100,000 smaller
icy objects. He said the mountains are around
3,000 metres high and several hundred
miles across.","One of the biggest surprises was the discovery
that “there are mountains in the Kuiper belt”, the
solar system’s mysterious “third zone” where
Pluto is, with about 100,000 smaller icy objects.
John Spencer, a mission scientist, said the
mountains appear to be around 3,000 metres
high and several hundred miles across.","One of the biggest surprises was the discovery
that “there are mountains in the Kuiper belt”, the
solar system’s mysterious “third zone” where
Pluto sits amid around 100,000 smaller icy
objects. John Spencer, a mission scientist, said
the mountains appear to be around 11,000ft high
and several hundred miles across. “These are
pretty significant mountains.”"
"Pluto used to be the ninth planet but, since 2006,
it has been a dwarf planet. The NASA press
conference began with spectacular images of the
sun and the eight official planets.","The detailed image of one edge of the dwarf
planet showed not a single crater. This
tells scientists that there has been recent
geological activity on the surface, which could
include dramatic geysers throwing ice into the
atmosphere or cryo-volcanoes that erupt in
explosions of ice.","The detailed image of one edge of the dwarf
planet showed not a single crater, hinting that
the surface has been recently “paved over”
by geological activity, which could include
dramatic geysers blasting plumes of ice into
the atmosphere or cryo-volcanoes that erupt in
explosions of ice rather than molten rock."
"Stern said the images from New Horizons were
just the beginning and that we would learn more
about the planet soon. Scientists believe the
mountains on Pluto are made from water ice with
just a thin cover of methane and nitrogen.","Pluto used to be the ninth planet but, since 2006,
it has been known as a dwarf planet. The NASA
press conference began with spectacular images
of the sun and the eight official planets. “We’ve
brought what was previously a blurred point of
light into focus,” said Dwayne Brown, NASA
spokesman, as scientists and journalists waited
for the image to be shown.","In a nod to Pluto’s former status as the ninth
planet, until it was downgraded to a dwarf planet
in 2006, the NASA press conference began with
a rundown of spectacular images of the sun and
the eight official planets. “We’ve brought what
was previously a blurred point of light into focus,”
said Dwayne Brown, NASA spokesman, as
scientists and journalists waited for the image to
be unveiled."
"“Water ice is strong enough to hold up big
mountains.” The images are the first to show ice
mountains, except those found on the moons of
giant planets.","Stern said that there would be many more
images and that we would learn a lot more
about the planet during the coming year. The
images have already produced some surprises.
Scientists believe the mountains are made from
water ice with just a thin cover of “exotic” ices,
methane and nitrogen.","Stern described the images as “just skimming
the surface” of what would be learnt about
the planet during the coming year. They have
already produced some surprises. Scientists
believe the mountains are made from water ice
with just a thin veneer of “exotic” ices, methane
and nitrogen. “You can’t make mountains out of
methane and nitrogen,” said Spencer."
"The images are so detailed that, if the spacecraft
flew over London, we would be able to see the
runways at Heathrow airport.","“Water ice is strong enough to hold up big
mountains and that’s what we think we can see
here. This is the first time we’ve seen this. The
methane and nitrogen are just a coating.” The
mountains on Pluto probably formed no more
than 100m years ago – extremely recently in the
4.56bn-year-old solar system. This suggests the
region, which covers about 1% of Pluto’s surface,
may still be geologically active. The images are
the first to show ice mountains, except those
found on the moons of giant planets.","“Water ice is strong enough to hold up big
mountains and that’s what we think we’re seeing
here. This is the first time we’ve seen this. The
methane and nitrogen are just a coating.” The
mountains on Pluto are likely to have formed no
more than 100m years ago – extremely recently
given the 4.56bn-year-old solar system. This
suggests the close-up region, which covers about
1% of Pluto’s surface, may still be geologically
active. The images are the first to show ice
mountains outside of the moons of giant planets
and raises the question of what kind of geological
process could be generating the mountainous
landscape."
"It is five billion kilometres to Pluto. This means it
takes New Horizons hours to send back a picture
and it will take 16 months to send back all the
data. The team also said that the heart-shaped
area on Pluto will be called the Tombaugh Regio,
after Clyde Tombaugh, who discovered the dwarf
planet in 1930.","The images are so detailed that, if the craft were
flying over London, we would be able to see the
runways at Heathrow airport.","The structures, together with the smoothness of
Pluto’s surface, suggest that geological activity
is taking place and smoothing over depressions
caused by asteroid impacts. Scientists believe
this “paving” process could be the result of
internal heat that softens rock and ice or from
snowfalls that cover the surface. For scale, the
images are so detailed that, if the craft were flying
over London, we would be able to pick out the
runways at Heathrow airport."
"The image of Charon shows an area of cliffs
about 1,000km long. The image also shows a
dramatic canyon 7 to 9km deep.","The distance to Pluto – 5bn km – means it takes
New Horizons hours to send back a picture and
it will take 16 months to send back all the data.
The team also announced that the heart-shaped
feature visible on Pluto will now be known as the
Tombaugh Regio, after Clyde Tombaugh, who
discovered the dwarf planet in 1930.","The distance to Pluto – 5bn km – means it takes
New Horizons hours to send back a single picture
and it will take 16 months to send all the data it
has accumulated during the fly-by. The team also
announced that the heart-shaped feature visible
on Pluto will now be known as the Tombaugh
Regio, in honour of Clyde Tombaugh, who
discovered the dwarf planet in 1930."
