Elementary,Intermediate ,Advanced
"A car with a maximum speed of 25 miles per
hour, two seats and no pedals or steering wheel
does not sound very interesting. But Google, in
the US, shocked the car and taxi industries when
it unveiled the latest version of its driverless car.","A car with a top speed of 25mph, two seats and
no pedals or steering wheel might not make
much of an impression at a motor show. But
Google, in the US, sent a shock through the car
and taxi industries as it unveiled the latest version
of its driverless car.","Unveiling a car with a top speed of 25mph, two
seats and no pedals or steering wheel might not
make much of an impression at a motor show.
But Google, in the US, sent a minor earthquake
through the car and taxi industries as it unveiled
the latest version of its driverless car."
"Google has begun testing the electric car at its
headquarters in Mountain View, California. The
car does not have all the normal car controls,
such as foot pedals. Instead, it has a smartphone
app that calls it and tells it the destination, and a
STOP button between the two seats in case the
passengers need to override the computer.","The electrically powered vehicle, which Google
has begun testing around its headquarters in
Mountain View, California, dispenses with all the
normal controls, including foot pedals. Instead, it
has a smartphone app that calls it and tells it the
destination, and a single STOP button between
the two front-facing seats in case the passengers
need to override the computer.","The electrically powered vehicle, which Google
has begun testing around its headquarters in
Mountain View, California, dispenses with all the
normal controls, including foot pedals. Instead,
it has a smartphone app that summons it and
tells it the destination, and a single STOP button
mounted between the two front-facing seats in
case the occupants need to override
the computer."
"The company is building about 100 prototypes
for a two-year test. The company’s co-founder,
Sergey Brin, said that the vehicle was still just
a prototype. He says that they want to change
the world for people who do not find it easy to
travel around.","The car, in fact, does all the tasks of navigation,
steering, acceleration and braking.","The car, in fact, takes over all the tasks of
navigation, steering, acceleration and braking."
"Talking about the car, he said, “You’re just sitting
there; no steering wheel, no pedals. For me,
it was very relaxing. About ten seconds after
getting into the car, I forgot I was there. I found it
really fun.”","The company is building about 100 prototypes
for a two-year test. The company’s co-founder,
Sergey Brin, told a conference in California that
the vehicle was “still in the prototype stage”
but that the project was about changing the
world for people who do not have good
transportation today.","The company is building about 100 prototypes
for a two-year test. The company’s co-founder,
Sergey Brin, told a conference in California that
the vehicle was “still in the prototype stage” but
that the project was “about changing the world
for people who are not well served by
transportation today”."
"Google says that the aim of the project is to
improve safety. They say that the car is made
with foam at the front and a plastic windscreen,
so “it should be far safer than any other car
for pedestrians”.","He said of the car: “You’re just sitting there; no
steering wheel, no pedals. For me, it was very
relaxing. About ten seconds after getting in, I
forgot I was there. I found it really enjoyable.”","He said of the car: “You’re just sitting there; no
steering wheel, no pedals. For me, it was very
relaxing. About ten seconds after getting in, I
forgot I was there. It reminded me of catching
a chairlift by yourself – a bit of solitude I found
really enjoyable.”"
"The cars have been built specially by a company
in Detroit. Google will now test the cars, which
are not yet for sale.","Google says that the aim of the project is to
improve safety and that, because the car is
constructed with impact-absorbing foam at the
front and a plastic windscreen, “it should be far
safer than any other car for pedestrians”.","Google says that the principal aim of the project
is to improve safety and that, because the car is
constructed with impact-absorbing foam at the
front and a plastic windscreen, “it should be far
safer than any other car for pedestrians”."
"There need to be detailed scans of the roads
before the cars can drive on them, because they
cannot collect and process enough information in
real time.","The cars, which have been built specially by an
unnamed company in Detroit, will be used to find
out how best to make driverless vehicles work.
Google will run a pilot programme using the cars,
which are not yet for sale.","The cars, which have been built specially by a
company (as yet unnamed) in Detroit, will be
used to investigate further how best to make
driverless vehicles work. Google will run a pilot
programme using the cars, which are not yet
for sale."
"So far, there are detailed maps of about 2,000
miles of California’s roads, but California has
more than 170,000 miles of roads.","One challenge is creating high-definition scans of
the roads and surroundings before the cars can
drive along them because they cannot collect and
process enough information in real time.","One challenge is creating high-definition scans of
the roads and surroundings before the cars can
drive along them because they cannot gather and
process enough information in real time."
"Google says it wants to license the technology
to traditional car makers when they have
improved it.","So far, there are high-detail maps of about 2,000
miles of California’s roads, but the state has more
than 170,000 miles of public roads.","So far, there are high-detail maps of about 2,000
miles of California’s roads, but the state has more
than 170,000 miles of public roads."
"But the idea that driverless cars will replace taxis
with human drivers has alarmed some people.","Google says it is interested in licensing the
technology to traditional vehicle manufacturers
once it has been refined.","Google says it is interested in licensing the
technology to traditional vehicle manufacturers
once it has refined it sufficiently. Members of
the team had been working on the project even
before joining Google, for more than a decade."
