Elementary,Intermediate ,Advanced
"At the beginning of the final series of the TV
programme, Downton Abbey, there is a feeling
of sadness and everyone knows things are
changing. The year is 1925 and Downton Abbey’s
neighbours are selling their stately home. At
Downton Abbey, Lord Grantham wants to reduce
the number of servants.","The atmosphere at the beginning of the final
series of Downton Abbey is one of melancholy
and changing times. The year is 1925. The
neighbours are selling up their own stately home,
while Lord Grantham wants to cut back
on servants.","An atmosphere of melancholy and changing
times pervades the opening to the final series
of Downton Abbey. The year is 1925 and there
are already the first rumblings of the economic
storms that will blight the end of the decade.
The neighbours are selling up their own stately
home, while Lord Grantham seeks to cut back on
servants after declaring that under-butlers are no
longer affordable."
"The real Downton Abbey is Highclere Castle – a
stately home owned by George Herbert, 8th Earl
of Carnarvon. At Highclere Castle, they have
more money than before. Lady Fiona Carnarvon
says that the huge success of Downton all
around the world has paid for building repairs at
the castle.","But, at the real Downton Abbey, Highclere Castle
– a stately home owned by George “Geordie”
Herbert, 8th Earl of Carnarvon – they have more
money than before. According to Lady Fiona
Carnarvon, the huge global success of Downton
has paid for building repairs that are needed to
save Highclere for the next generation.","But at the real Downton Abbey, Highclere Castle
– a stately home owned by George “Geordie”
Herbert, 8th Earl of Carnarvon – the financial
outlook has rarely been brighter. According to
Lady Fiona Carnarvon, the huge global success
of Downton has funded a rolling programme of
building repairs aimed at safeguarding Highclere
for the next generation."
"“It’s been an amazing magic carpet ride for all of
us,” she said. “I’m very grateful. My husband and
I love Highclere Castle. Now, millions of other
people love it.”","“It’s been an amazing magic carpet ride for all of
us,” she said. “It’s given us free marketing and
an international profile. I’m hugely grateful. My
husband and I love Highclere Castle. Now, it is
loved by millions of other people.”","“It’s been an amazing magic carpet ride for all of
us,” she said. “It’s given us a wonderful marketing
platform, an international profile. I’m hugely
grateful. My husband and I love the house, and
the people here. Now, without doubt, it is loved by
millions of other people.”"
"At the moment, they only use the ground floor
and first floor of Highclere, on the borders of
Hampshire. But, a restoration project of tower
rooms has begun. When it is finished, visitors will
be able to climb up into the tower to an exhibition
of the work of the architect of the Houses of
Parliament, Sir Charles Barry, who also rebuilt
Highclere Castle between 1839 and 1842.","Currently, only the ground and first floors of
Highclere, on the borders of Hampshire, are
used. But, a restoration project of tower rooms
has begun that will eventually allow visitors to
climb up into the tower to an exhibition showing
the work of the architect of the Houses of
Parliament, Sir Charles Barry, who rebuilt the
house between 1839 and 1842.","Currently, only the ground and first floors of
Highclere, on the borders of Hampshire, are
used. But, a restoration project of derelict tower
rooms has begun that will eventually allow
visitors to climb up into the tower to an exhibition
showcasing the work of the architect of the
Houses of Parliament, Sir Charles Barry, who
rebuilt the house between 1839 and 1842."
"In 2009, when the Downton Abbey producers
first asked about filming at Highclere Castle, the
castle needed £12 million of repairs. “It was just
after the banking crisis and we were worried.
Then, Downton began and Highclere became a
major tourist attraction.”","When the Downton Abbey producers first
approached Highclere in 2009, the family had
£12 million of repairs to do – £1.8 million of that
work was urgent. But, by 2012, Downton Abbey
was having a positive effect. Lord Carnarvon
said then: “It was just after the banking crisis
and we were worried. Then, Downton began and
Highclere became a major tourist attraction.”","When the Downton Abbey producers first
approached Highclere in 2009, the family faced
a near £12m repair bill, with urgent work priced
at £1.8m. But, by 2012, the Downton effect had
begun to take the pressure off. Lord Carnarvon
said then: “It was just after the banking crisis
and it was gloom in all directions. We had been
doing corporate functions but it all became pretty
sparse after that. Then, Downton came along and
it became a major tourist attraction.”"
"The number of visitors doubled, to 1,200 a day,
after Downton Abbey, written by Julian Fellowes,
was shown around the world. It was a hit in the
UK in 2010 and, then, in the US. It is now shown
on television in 250 countries.","Visitor numbers doubled, to 1,200 a day, as
Downton Abbey, written by Julian Fellowes, was
shown around the world after becoming a hit in
the UK in 2010 and, then, in the US. It is now
broadcast in 250 countries.","Visitor numbers doubled, to 1,200 a day, as
Downton Abbey, scripted by Julian Fellowes,
came to be screened around the world after
becoming a hit in the UK in 2010 and, then, in the
US. It is now broadcast in 250 countries."
"The Downton tourists are part of a growing
phenomenon. The organization, VisitBritain, says
that nearly 30% of foreign visitors, nearly nine
million people, visit castles and historic houses.
Almost half of visitors to Britain now say they
want to visit places from films or TV.","There is now a computerized advance booking
system, which helps foreign visitors to buy
tickets. Highclere’s current assets have almost
trebled to around £1 million since 2012. Gareth
Neame, the executive producer for the series,
said: “I think Downton Abbey secured
Highclere’s future.”","The formerly somewhat basic ticketing policy
has become a computerized advance booking
system, helping to guarantee foreign visitors
admission. The accounts of Highclere Enterprises
for 2014-15 show current assets have almost
trebled to around £1m since 2012. Gareth
Neame, the executive producer for the series,
said: “I think Downton Abbey secured
Highclere’s future.”"
"More than a million tourists take a tour of historic
buildings each year and they spend more than
£1 billion. Fifty-one per cent of Brazilians, 42% of
Russians and Chinese, and 35% of Indian visitors
will probably include a visit to a site of interest in
their trips.","Peter Fincham, ITV’s director of television,
remembers the moment when Highclere was
booked. “I thought, ‘So what?’, because I had
never heard of Highclere Castle. I thought, ‘Every
stately home looks the same.’ But I was wrong. The
castle has been an enormous character as well.”","Peter Fincham, ITV’s director of television, recalls
the moment when Highclere was booked. “I
thought, ‘So what?’, because I had never heard
of Highclere Castle. One stately home looks
much the same as another. How wrong I was.
The castle has been one enormous character
as well.”"
"VisitBritain’s director, Patricia Yates, said: “The
links between tourism, films and TV are strong.”
She added that period dramas, like Downton
Abbey, have also made places outside of London
more popular.","The Downton tourists are part of a growing
phenomenon. VisitBritain estimates that nearly
30% of foreign visitors, or nearly nine million
people, visit castles and historic houses. Almost
half of visitors to Britain now say they want to visit
places from films or TV.","The Downton tourists are part of a growing
phenomenon. VisitBritain estimates that nearly
30% of foreign visitors, or nearly nine million
people, include castles and historic houses on
their itineraries. Almost half of potential visitors
to Britain now say they want to indulge in “set
jetting”, visiting places featured in films or on TV."
"“Downton Abbey expresses a certain view of
Britain. It is a fantasy world, based in a particular
time in history. It’s the first TV period drama that
everyone knows and talks about.”","More than a million take a tour of historic
buildings each year, spending more than £1
billion. Fifty-one per cent of Brazilians, 42% of
Russians and Chinese, and 35% of Indian visitors
are likely to include a visit to a site of interest in
their trips.","More than a million embark on a tour of historic
buildings each year, spending in excess of £1bn.
From the biggest emerging tourist markets, 51%
of Brazilians, 42% of Russians and Chinese, and
35% of Indian visitors are likely to include a visit
to a site of interest in their trips."
