Elementary,Intermediate ,Advanced
"John Lewis’s 2015 Christmas advert shows a
lonely old man who lives on the moon.","A lonely old man living on the moon is the
unusual focus of John Lewis’s 2015
Christmas advert.","A lonely old man living in a crater on the moon
is the unlikely focus of John Lewis’s Christmas
2015 advert, as the department store puts a
charitable spin on its latest multi-million
pound campaign."
"Department store John Lewis’s Christmas
ad, which, for many people, shows that the
Christmas shopping season has begun, aims to
raise hundreds of thousands of pounds for the
charity Age UK. John Lewis will also encourage
staff and customers to care for elderly people
who might be alone over the holiday.","There is increasing hype around John Lewis’s
seasonal ad, which has come to mark the
beginning of the Christmas shopping season
for many. The department store will aim to raise
hundreds of thousands of pounds for Age UK. It
will also encourage staff and customers to join up
with their local branch of the charity to care for
elderly people who might be alone over
the holiday.","Amid increasing hype around John Lewis’s
seasonal ad, which has come to mark the
beginning of the Christmas shopping season
for many, the department store will aim to use
its profile to raise hundreds of thousands of
pounds for Age UK. It will also encourage staff
and customers to join up with their local branch
of the charity to care for elderly people who might
otherwise be alone over the holiday."
"The department store has spent £7 million on a
campaign that includes the TV ad, a smartphone
game and merchandise, including glow-in-thedark
pyjamas. It has also built areas that look like
the surface of the moon in 11 of its stores.","The department store has spent £7m on a
campaign that ranges from the TV ad to a
smartphone game and merchandise, including
glow-in-the-dark pyjamas, as well as making
areas that look like the surface of the moon in 11
of their stores.","The retailer has spent £7m on a campaign that
ranges from the slick TV ad to a smartphone
game and merchandise, including glow-in-thedark
pyjamas, as well as areas decked out like
the surface of the moon in 11 stores."
"After two years of successful ads with cute
animals – a bear and hare, then a penguin –
this time, the story is about a young girl, Lily,
who sees an old man living in a small wooden
house on the moon through her telescope. The
girl tries to send him a letter and a note via bow
and arrow. Then, she floats him a present of a
telescope tied to balloons. This helps them to
make contact.","After two years of successful ads with cuddly
animals – a bear and hare, then a penguin – this
time, the store is tugging at the heartstrings with
a story of a young girl, Lily, who spots an old
man living in a shack on the moon through her
telescope. The determined child tries sending
him a letter and firing a note via bow and arrow,
before floating him a present of a telescope tied
to balloons, which finally allows them to
make contact.","After two years of successful ads featuring cuddly
animals – a bear and hare, then a penguin – this
time, the retailer is tugging at the heartstrings
with a story of a young girl, Lily, who spots an old
man living in a shack on the moon through her
telescope. The determined child tries sending
him a letter and firing a note via bow and arrow,
before floating him a present of a telescope tied
to balloons, which finally enables them to
make contact."
"The ad’s message is: “Show someone they’re
loved this Christmas”. This is similar to Age
UK’s campaign: “No one should have no one at
Christmas”. Profits from three products – a mug,
gift tag and card – will go to the charity.","The ad’s message is: “Show someone they’re
loved this Christmas”, which echoes Age UK’s
own campaign: “No one should have no one at
Christmas”. Profits from three products – a mug,
gift tag and card – will go to the charity.","The ad’s strapline is: “Show someone they’re
loved this Christmas”, which echoes Age UK’s
own campaign: “No one should have no one at
Christmas”. Profits from three products – a mug,
gift tag and card – will go to the charity."
"Rachel Swift, head of marketing at John Lewis,
said that people talk about charities at Christmas
and the ad makes you think about someone who
lives on your street that might not see anybody.","Rachel Swift, head of marketing at John Lewis,
said that people talk about the charity at this
time of year and the ad makes you think about
someone who lives on your street that might not
see anybody.","“The charity really resonates with people at this
time of year and the ad lends itself to thinking
about someone who lives on your street that
might not see anybody,” said Rachel Swift, head
of marketing at John Lewis."
"The campaign features the Oasis track Half the
World Away sung by Norwegian singer Aurora.","The campaign features the Oasis track Half the
World Away reinterpreted by Norwegian
artist Aurora.","The campaign features the Oasis track Half
the World Away reinterpreted by little-known
Norwegian artist Aurora."
"The ad cost £1 million to make. The moon scenes
were shot at the Warner Bros Studios, where the
Harry Potter films were made, and the specially
built set was created by one of the team behind
the latest Star Wars film, The Force Awakens.","The ad cost £1m to make. The moon scenes
were shot at the Warner Bros Studios, where the
Harry Potter films were made, and the specially
built set was created by one of the team behind
the latest Star Wars film, The Force Awakens.","The ad cost £1m to make. The moon scenes were
shot at the Warner Bros Studios, where the Harry
Potter films were made, and the specially built set
was created by one of the team behind the latest
Star Wars film, The Force Awakens."
"As in the last few years, John Lewis showed
a short film on TV and social media using the
hashtag #OnTheMoon before it showed the full
advert. There will be a full moon on Christmas
Day 2015 – a complete coincidence, says Swift.","As in the last few years, John Lewis has
drummed up interest in their most recent ad with
a teaser campaign on TV and social media using
the hashtag #OnTheMoon. A full moon will fall on
Christmas Day 2015 – a complete coincidence,
according to Swift.","As in the last few years, John Lewis has
drummed up interest in their most recent ad
with a teaser campaign on TV and social media
using the hashtag #OnTheMoon. There will be a
full moon on Christmas Day 2015 – a complete
coincidence, according to Swift."
"In 2014, the department store also spent £7
million on a campaign with a penguin and a young
boy playing together. It had 22 million views on
YouTube by the first week of January – more
than the 16.6m views of Sainsbury’s ad with First
World War soldiers sharing a bar of chocolate, the
UK’s second most popular ad of 2014.","In 2014, the retailer also spent £7m on a
campaign with a realistic animated penguin and
a young boy playing together to the tune of John
Lennon’s Real Love, sung by British
singer-songwriter Tom Odell. It had drummed
up 22m views on YouTube by the first week
of January – more than the 16.6m views of
Sainsbury’s ad with First World War soldiers
sharing a bar of chocolate, the UK’s second most
popular ad of 2014.","In 2014, the retailer also spent £7m on a
campaign featuring a realistic animated penguin
and a young boy playing together to the tune of
John Lennon’s Real Love, sung by British
singer-songwriter Tom Odell. It had drummed
up 22m views on YouTube by the first week
of January, ahead of the 16.6m clocked by
Sainsbury’s ad featuring First World War soldiers
sharing a bar of chocolate, the UK’s next most
popular ad of 2014."
"Swift said that John Lewis wants to just get
“something right for the company at this time of
year and do something we hope customers
really love.”","Swift said that, despite the hype, John Lewis had
kept the same strategy for the last five years. “It’s
all about thoughtful gifting and going the extra
mile for someone you love at Christmas,” she
said. “We don’t go into it thinking, ‘This is going
to be huge,’ just getting something right for the
brand at this time of year and something we hope
customers really love.”","Swift said that, despite the hype, John Lewis had
stuck to the same strategy for the last five years.
“It’s all about thoughtful gifting and going the
extra mile for someone you love at Christmas,”
she said. “We don’t go into it thinking, ‘This is
going to be huge,’ just getting something right for
the brand at this time of year and something we
hope customers really love.”"
"Sarah Vizard, from Marketing Week, said “There
are a lot more companies doing Christmas ads
this year but I think a lot of those companies just
show what you can buy in store. John Lewis does
the emotional piece the best. I think people will
think the ad is really cute.”","Sarah Vizard, news editor of trade journal
Marketing Week, said John Lewis appeared to
have simplified efforts this time, with a lower-key
presence in stores despite a growing number
of competitors. “There are definitely a lot more
brands doing Christmas ads this year but I
think a lot of those brands who tried to compete
with John Lewis by doing something emotional
and creative have gone back to what you can
buy in store,” she said. “John Lewis still does
the emotional piece the best. This campaign is
another great way of communicating that in a way
that customers can relate to. I think people will
think it is really cute.”","Sarah Vizard, news editor of trade journal
Marketing Week, said John Lewis appeared to
have reined in its efforts this time, with a lowerkey
presence in stores despite a growing army
of competitors. “There are definitely a lot more
brands doing Christmas ads this year but I
think a lot of those brands who tried to compete
with John Lewis by doing something emotional
and creative have gone back to what you can
buy in store,” she said. “John Lewis still does
the emotional piece the best. This campaign is
another great way of putting that across in a way
that will resonate with customers. I think people
will think it is really cute.”"
,,"Among those fighting for attention in the flurry of
Christmas ads was sister chain, Waitrose, which
launched its Christmas ad online on social media
ahead of a TV debut during The X Factor. It
used the agency which has created John Lewis’s
Christmas ads for years."
,,"Burberry has launched what is only its second
festive film, featuring Romeo Beckham and Elton John, while electrical chain Currys drafted in Jeff
Goldblum for its first ever dedicated Christmas
ad. Asda, Lidl and Morrisons also launched their
campaigns at the beginning of November."
,,"Marc Bolland, chief executive of Marks &
Spencer, which also launched its Christmas ad at
the beginning of November, said that, in the first
week of September, the most searched term on
its website was Christmas."
,,"Boots, another retailer launching its festive
campaign in early November, is going back to
a more traditional approach after a critically
acclaimed ad in 2014, which featured a family
going to great lengths to get together at Christmas."
