Elementary,Intermediate ,Advanced
"American researchers say that a nasal spray containing the ‘Love hormone’ oxytocin could help children with autism behave more normally in social situations. Scans of autistic children showed that the chemical made the brain respond better to faces. This could make social interactions easier
for them.","According to American researchers, a nasal spray containing the ‘Love hormone’ oxytocin could help children with autism behave more normally in social situations. Scans of autistic children showed that a single dose of the chemical improved brain responses to facial expressions. This is something that could make social interactions feel more natural and rewarding for them.","A nasal spray laced with the ‘Love hormone’ oxytocin could help children with autism learn to handle social situations better, US researchers claim. Scans of children with autistic spectrum disorder showed that a single dose of the chemical improved brain responses to facial expressions, a shift that could make social interactions feel more natural and rewarding for them."
"The researchers said oxytocin might help other treatments that are used to help people with autism in social situations. “Over time, there would be more normal social responding. Autistic people would be more interested in interacting with other people; there would be more eye contact and more conversation,” said Kevin Pelphrey, of
Yale University.","The researchers said oxytocin might increase the success of behavioural therapies that are already used to help people with autism learn to cope with social situations. “Over time, what you would expect to see is more normal social responding, being more interested in interacting with other people, more eye contact and more conversation,” said Kevin Pelphrey, of Yale University.","The scientists behind the research said a course of oxytocin might boost the success of behavioural therapies that are already used to help people with autism learn to cope with social situations. “Over time, what you would expect to see is more appropriate social responding, being more interested in interacting with other people, more eye contact and more conversational ability,” said Kevin Pelphrey, director of the Child Neuroscience Lab at Yale University."
"Autism is a disorder that one in 100 people have. It affects people in different ways, but causes difficulties in social interaction and communication. So far, there is no effective treatment for the social problems that
autism causes.","Autism is a developmental disorder that more than one in 100 people have. The condition affects people in different ways, but leads to difficulties in social interaction and communication. So far, there is no established treatment for the social problems caused
by autism.","Autism is a developmental disorder seen in more than one in 100 people. The condition affects individuals in different ways, but is characterized by difficulties in social interaction and communication. So far, there is no established treatment for the social problems caused by autism."
"Researchers at Yale have studied the brain chemical oxytocin. They say it is a possible treatment for the social problems caused by autism because it plays an important role in bonding and trust. But not all results are positive: one recent study found no significant benefit for young people who took the chemical for several days. But Pelphrey said oxytocin might help the brain learn from social interactions; it would work best when used together with therapies that encourage people with autism to interact more socially, he said.","Researchers at Yale have studied the brain chemical oxytocin as a possible treatment for the social problems caused by autism because it plays an important role in bonding and trust. Results have been mixed, though: one recent study found no significant benefit for young people given the chemical over several days. But Pelphrey said oxytocin might help the brain learn from social interactions; it would work best when used with therapies that encourage people with autism to interact more socially,
he said.","Researchers at Yale have studied the brain chemical oxytocin as a potential treatment for the social impairments caused by autism because it plays a crucial role in bonding and trust. Results have been mixed, though: one recent study found no significant benefit for youths given the chemical over several days. But Pelphrey said oxytocin might help the brain learn from social interactions; it would work best when used with therapies that encourage people with autism to engage more socially, he said. “Our study shows that oxytocin affects the brain and opens up the possibility that, when combined with behavioural treatments, it works like a social enhancer,” he said."
"Scientists tested 17 young people aged eight to 16 with autism. They gave them either oxytocin or a placebo through a nose spray. Then, the scientists scanned their brains while they looked at images of cars or the eyes of people expressing different emotions.","The scientists scanned the brains of 17 young people aged eight to 16 with autism while they looked at images of cars or the eyes of people expressing different emotions. The scans were given 45 minutes after the young people inhaled a placebo or oxytocin through a
nasal spray.",The scientists used a technique called functional MRI to scan the brains of 17 youths aged eight to 16 with autism while they looked at images of cars or the eyes of people expressing various emotions. The scans were given 45 minutes after the participants inhaled a placebo or oxytocin through a nasal spray.
"The scans showed that some parts of the children’s brains behaved more normally after oxytocin: they were more active when the person was looking at faces and less active when the person was looking at
the cars","The scans showed that the reward circuits in the children’s brains behaved more normally after a dose of oxytocin: that is, they were more active when the person was looking at faces and less active when looking at the inanimate cars. The study appears in the latest issue of the journal Proceedings of the National Academy of Sciences in the United States.","The scans showed that reward circuitry in the children’s brains behaved more normally after a snort of oxytocin, being more active when the person was looking at faces and less active when viewing the inanimate cars. The study appears in the latest issue of the journal Proceedings of the National Academy of Sciences in the United States."
"“The study suggests that oxytocin might treat basic social motivation. This is something for which we don’t have a treatment in autism,” said Pelphrey. He said that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and said people should not buy oxytocin online. “We don’t want them to try oxytocin at home. It is impossible to say what they are buying. This is not a treatment yet. It needs more research,” he said.","“The study suggests that oxytocin might treat something for which we don’t have a treatment in autism, and that’s the core social motivation,” said Pelphrey. He warned that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and said people should not buy oxytocin online. “We don’t want them trying oxytocin at home. It’s impossible to say what they are buying. We are nowhere near thinking this is a ready treatment. It needs more follow-up,” he said. “This is an important new study in identifying changes in brain activity in key areas of the brain,” said Simon Baron-Cohen, director of the Autism Research Centre at Cambridge University.","“If this is replicated, it suggests that oxytocin might treat something for which we don’t have a treatment in autism, and that’s the core social motivation,” Pelphrey told the Guardian."
"But, the scientists were surprised to find that oxytocin did not help the children in social recognition tasks. It is also not known yet if oxytocin only has benefits for people with autism or has any bad side effects. Finally, oxytocin effects only last about 45 minutes, so it might be difficult to use it as
a treatment.","A surprising finding, however, is that oxytocin nasal spray did not change performance in social recognition tasks. And, it is also not yet clear if oxytocin only has benefits for people with autism or has any unwanted side effects. Finally, oxytocin effects only last about 45 minutes, so there may be practical considerations as to whether this could be used as a treatment.","He warned that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and cautioned against buying oxytocin from suppliers online. “We don’t want them running out on the basis of this study or any other and trying oxytocin at home. There is no telling what they are buying. We are nowhere near thinking this is a ready treatment. It needs more follow-up,” he said. “This is an important new study in identifying changes in brain activity in key regions of the brain involved in social cognition in autism following oxytocin administration,” said Simon Baron-Cohen, director of the Autism Research Centre at Cambridge University."
"“This study has a lot of evidence from animal and human work to show that oxytocin helps, but we need more research.” Said Simon Baron-Cohen.","“From a scientific perspective, this study has a lot of evidence from animal and human work to justify serious attention, but more research is needed. Doctors should be cautious about the potential of this hormone until we know much more about its benefits and risks, in much larger studies.” Said Simon Baron-Cohen.","A surprising finding, however, is that oxytocin nasal spray did not change performance on the social cognitive task. Nor is it clear yet if oxytocin only has benefits for people with autism or has any unwanted side effects. Finally, oxytocin effects only last about 45 minutes, so there may be practical considerations as to whether this could be used as a treatment."
"Uta Frith, who studies autism at University College London, said: “According to this study, oxytocin may make faces more interesting. Disappointingly, this effect is seen only in brain activity and not in behaviour.” She said that, if we want oxytocin to become an important treatment for autism, we need to show that is has an effect on behaviour.","Uta Frith, who studies autism at University College London, said: “According to this study, oxytocin may have the effect of making faces more interesting. Disappointingly, this effect is seen only in brain activity and not in behaviour. Demonstrating an effect on behaviour will be critical if nasal spray treatment is to be of
any value.”","“From a scientific perspective, this study has a lot of evidence from animal and human work to justify serious attention, but more research is needed. Doctors should be cautious about the clinical potential of this hormone until we know much more about its benefits and risks, in much larger studies.” Said Simon Baron-Cohen."
