Elementary,Intermediate,Advanced
"Benjamin Carle is 96.9% made in France, even his underpants and socks. Six Ikea forks, a Chinese guitar and some wall paint stopped him being called 100% French, but nobody is perfect.","Benjamin Carle is 96.9% made in France, including even his underpants and socks. Unfortunately, six Ikea forks, a Chinese guitar and unsourced wall paint stopped him being declared a 100% economic patriot, but nobody is perfect.","Benjamin Carle is 96.9% made in France, right down to his underpants and socks. Unfortunately, six Ikea forks, a Chinese guitar and unsourced wall paint stopped him being declared a 100% economic patriot, but nobody is perfect."
"Carle, 26, decided, in 2013, to see if it
was possible to live using only
French-made products for ten months as part of a television documentary.","Carle, 26, decided, in 2013, to see if it was possible to live using only French-made products for ten months as part of a
television documentary.","Carle, 26, set out, in 2013, to see if it was possible to live using only French-made products for ten months as part of a television documentary."
"He got the idea after the Minister for Economic Renewal, Arnaud Montebourg, asked the French people to buy French products.","He got the idea after the Minister for Economic Renewal, Arnaud Montebourg, asked the French people to buy French products to save the country’s industrial production sector.",The idea was triggered by the Minister for Economic Renewal Arnaud Montebourg’s call for the public to buy French to save the country’s industrial production sector.
"For the experiment, Carle had to give up his smartphone, television, refrigerator (all made in China); his glasses (Italian); his morning coffee (Guatemalan) and his favourite David Bowie music (British).","For the experiment, Carle had to give up his smartphone, television, refrigerator (all made in China); his glasses (Italian); his underpants (Moroccan); morning coffee (Guatemalan) and his favourite David Bowie music (British).","The experiment cost Carle his smartphone, television, refrigerator (all made in China); his spectacles (Italian); his underpants (Moroccan); morning coffee (Guatemalan) and his adored David Bowie music (British)."
"It is lucky that his girlfriend, Anaïs, and cat, Loon, are both French, so he didn’t have to give them up.","Fortunately, his girlfriend, Anaïs, and cat, Loon, are both French.","Fortunately, his long-suffering girlfriend, Anaïs, and cat, Loon, (both French) stuck with him."
"“I wanted to see if it was possible to do what the minister was asking us to do,” Carle said","“Politicians say all sorts of things. I wanted to see if it was possible to do what the minister was asking us to do”, Carle said.","“Politicians say all sorts of things and expect us to go along with it. I wanted to see if it was possible and feasible to do what the minister was asking us to do; to hold him to account for his words,” Carle told the Guardian over a non-French coffee in a Parisian café after finishing his documentary."
"He had just three rules: eat only food made in France, not have any contact with
foreign-made products and to do it all on €1,800 a month (above the minimum wage of €1,430 to cover the extra cost of living
in Paris).","He had just three rules: eat only food produced in France, remove any contact with foreign-made goods and do so on €1,800 a month (above the minimum wage of €1,430 to cover the extra expense of living in Paris).","He set just three rules: eat only foods produced in France, eliminate contact with foreign-made goods and do so on €1,800 a month (above the minimum wage of €1,430 to cover the extra expense of living in Paris)."
"The journalist was shocked to find out at the start of the experiment that only 4.5% of the things in his flat were made in France. Everything not made in France had to go, including the lightbulbs (China) and green beans (Kenya).","The journalist was shocked to find out, at the start of the experiment, that only 4.5% of the contents of his flat were made in France – and that the rest would have to go, including the lightbulbs (China) and green beans (Kenya).","The journalist was shocked to find out at the start of the experiment that only 4.5% of the contents of his flat were made nationally – and that the rest would have to go, including the lightbulbs (China) and green beans (Kenya)."
"Without a refrigerator (none are made in France), he had to chill his food on the window ledge.","Left without a refrigerator (none are made in France), he was forced to chill his food on the window ledge.",The removal men left his home almost bare.
"His foreign-made clothes, including his underwear, were replaced with more expensive alternatives: French-produced underpants (€26), socks (€9), polo shirt (€75), espadrille sandals (€26), but no jeans because none are produced in France.","His foreign-made clothes, including his underwear, were replaced with more expensive alternatives: French-produced underpants (€26), socks (€9), polo shirt (€75), espadrille sandals (€26), but no jeans because none are produced in France.","Left without a refrigerator (none are made in France) or nail clippers, he was forced to chill his food on the window ledge and saw at his toenails with a penknife."
