Elementary,Intermediate ,Advanced
"Scientists have designed a mirror that sends heat into cold space. If you use the mirror, you don’t need to use air-conditioning units that keep buildings cool on Earth.",A mirror that sends heat into cold space has been designed by scientists to replace air-conditioning units that keep buildings cool on Earth.,A mirror that sends heat into the frigid expanse of space has been designed by scientists to replace air-conditioning units that keep buildings cool on Earth.
The scientists believe that the mirror could reduce by a lot the amount of energy we use to control air temperatures in of ces and shopping centres.,Researchers believe the mirror could slash the amount of energy used to control air temperatures in business premises and shopping centres because they won’t need to use cooling systems.,Researchers believe the mirror could slash the amount of energy used to control air temperatures in business premises and shopping centres by doing away with power-hungry cooling systems.
Around 15% of the energy used by buildings in the US goes on air conditioning. The researchers say that the mirror could mean that we no longer need air conditioning.,"Around 15% of the energy used by buildings in the USgoesonairconditioningbuttheresearchers’ say that, in some cases, the mirror could completely offset the need for extra cooling.","Around 15% of the energy used by buildings in the US goes on air conditioning, but the researchers’ calculations suggest that, in some cases, the mirror could completely offset the need for extra cooling."
"Scientists in Stanford, California, found that aroof painted black was 60C hotter than the air temperature in sunlight. They found that aluminium was 40C hotter. But the mirror was 5C cooler than the air temperature.","In a rooftop comparison in Stanford, California, scientists found that a roof that had been painted black reached 60C more than the air temperature in sunlight and aluminium reached 40C more. However, the mirror was up to 5C cooler than the surrounding air temperature.","In a rooftop comparison of the device in Stanford, California, scientists found that, while a surface painted black reached 60C more than ambient temperature in sunlight and bare aluminium reached 40C more, the mirror was up to 5C cooler than the surrounding air temperature."
"“If you cover large parts of the roof with this mirror, you can save a lot of power,” said Shanhui Fan, an expert in the study of light at Stanford University. He led the development of the mirror.","“If you cover signi cant parts of the roof with this mirror, you can see how much power it can save. You can signi cantly offset the electricity used for air conditioning,” said Shanhui Fan, an expert inthe study of light at Stanford University, who led the development of the mirror. “In some situations, you will be able to completely offset the air conditioning.”","“If you cover signi cant parts of the roof with this mirror, you can see how much power it can save. You can signi cantly offset the electricity usedfor air conditioning,” said Shanhui Fan, an expert in photonics at Stanford University, who led the development of the mirror. “In some situations, the computations say you can completely offset the air conditioning.”"
"Buildings warm up in different ways. Hot-water boilers and cooking areas release heat. In hot countries, warm air comes in through doors and windows. Then, there is visible light and infrared radiation from the sun, which also heat up buildings.","Buildings warm up in a number of different ways. Hot-water boilers and cooking areas release heat into their immediate surroundings. In hot countries, warm air comes in through doors and windows. Then, there is visible light and infrared radiation from the sun, which also heat up buildings.","Buildings warm up in a number of different ways. Hot-water boilers and cooking facilities release heat into their immediate surroundings. In hot countries, warm air comes in through doors and windows. Then, there is visible light and infrared radiation from the sun, which also heat up buildings."
"The Stanford mirror re ects 97% of the visible light that falls on it. But, more importantly, it releases heat. When the mirror is warmed up, it releases heat at a speci c wavelength of infrared light that goes easily through the atmosphere and out into space.","The Stanford mirror was designed to re ect97% of the visible light that falls on it. But, more importantly, it works as a thermal radiator. When the mirror is warmed up, it releases heat at a speci c wavelength of infrared light that passes easily through the atmosphere and out into space.","The Stanford mirror was designed in such a way that it re ects 97% of the visible light that falls on it. But, more importantly, it works as a thermal radiator. When the mirror is warmed up, it releases heat ata speci c wavelength of infrared light that passes easily through the atmosphere and out into space."
The mirror is made from several layers of very thin materials. These layers help the mirror to release heat. The mirror sends the heat as infrared light out to space.,"To make anything cool, you need what engineers call a heat sink: somewhere to put unwanted heat. The heat sink has to be cooler than the object that needs cooling or it will not do its job. For example, a bucket of ice will cool a bottle of wine because it becomes a sink for heat in the liquid. The Stanford mirror relies on the best heat sink: the universe itself.","To make anything cool requires what engineers call a heat sink: somewhere to dump unwanted heat. The heat sink has to be cooler than the object that needs cooling or it will not do its job. For example, a bucket of ice will cool a bottle of wine because it becomes a sink for heat in the liquid. The Stanford mirror relies on the ultimate heat sink: the universe itself."
"“The mirror can use the cold darkness of the universe, even during the hottest hours of the day,” the scientists say.","The mirror is built from several layers of very thin materials. The  rst layer is re ective silver. On top of this are layers of silicon dioxide and hafnium oxide. These layers turn the mirror into a thermal radiator. When silicon dioxide heats up, it radiates the heat as infrared light at a wavelength of around ten micrometres and the heat passes straight out to space. The total thickness of the mirror is around two micrometres or two thousandths of a millimetre.","The mirror is built from several layers of wafer-thin materials. The  rst layer is re ective silver. Ontop of this are alternating layers of silicon dioxide and hafnium oxide. These layers improve the re ectivity but, also, turn the mirror into a thermal radiator. When silicon dioxide heats up, it radiates the heat as infrared light at a wavelength of around ten micrometres. Since there is very little in the atmosphere that absorbs at that wavelength,the heat passes straight out to space. The total thickness of the mirror is around two micrometres or two thousandths of a millimetre."
Shanhui Fan says the mirrors costs between $20 and $70 per square metre. He says that a mirror on a three-storey building could save 100MWh of electricity per year.,"“The cold darkness of the universe can be used as a renewable thermodynamic resource, even during the hottest hours of the day,” the scientists write in Nature. In tests, the mirror had a cooling power of 40 watts per square metre at outside temperatures.","“The cold darkness of the universe can be used as a renewable thermodynamic resource, even during the hottest hours of the day,” the scientists write in Nature. In tests, the mirror had a cooling power of 40 watts per square metre at ambient temperature."
