Elementary,Intermediate ,Advanced
"People today might not hear the sounds of the natural world because they screen out the noises around them, says a US researcher.","The tranquil sounds of the natural world might be lost to today’s generation as people screen out the noises that surround them, a senior US researcher warns.","The tranquil chorus of the natural world is in danger of being lost to today’s generation as people screen out the noises that surround them, a senior US researcher warns."
"More background noise can make people oblivious to the uplifting sounds of birdsong, water and trees in the wind. You can often hear these sounds even in cities, said Kurt Fristrup, a senior scientist at the US National Park Service.","Rising levels of background noise in some areas threaten to make people oblivious to the uplifting sounds of birdsong, trickling water and trees rustling in the wind. These sounds can often be heardeven in urban centres, said Kurt Fristrup, a senior scientist at the US National Park Service.","Rising levels of background noise in some areas threaten to make people oblivious to the uplifting sounds of birdsong, trickling water and trees rustling in the wind, which can often be heard even in urban centres, said Kurt Fristrup, a senior scientist at the US National Park Service."
"The problem is even worse because people listen to music through their earphones instead of listening to the birds and other sounds of nature. Natural sounds are easily drowned out by traf c, music and others noises, Fristrup said.","The problem was made worse by people listening to music through their earphones instead of tuning in to the birds and other sounds of nature that can easily be drowned out by traf c, music and others noises, he said.","The problem was exacerbated by people listening to music through their earphones instead of tuning in to the birds and other sounds of nature that can easily be drowned out by traf c, music and other noises, he said."
"“This learned deafness is a real problem,” Fristrup told the American Association forthe Advancement of Science meeting in San Jose. “We are training ourselves to ignore the information that comes into our ears.","“This learned deafness is a real problem,” Fristrup told the American Association for the Advancement of Science meeting in San Jose. “We are training ourselves to ignore the information coming intoour ears.”","“This learned deafness is a real issue,” Fristrup told the American Association for the Advancement of Science meeting in San Jose. “We are conditioning ourselves to ignore the information coming into our ears.”"
"“This gift that we are born with – the ability to hear things hundreds of metres away, all these incredible sounds – might be lost,” he said.","“This gift that we are born with – to hear things hundreds of metres away, all these incredible sounds – might be lost,” he said.","“This gift that we are born with – to reach out and hear things hundreds of metres away, all these incredible sounds – is in danger of being lost through a generational amnesia,” he said."
This is the problem: we hear so many noises that we stop listening.,"The danger is that we are exposed to noise for so long that we stop listening. We are also losing the ability to engage with the environment in the way we were built to, he added.","“There is a real danger, both of loss of auditory acuity, where we are exposed to noise for so long that we stop listening, but also a loss of listening habits, where we lose the ability to engage with the environment the way we were built to,” he added."
"For the past ten years, the US National Park Service has recorded sound levels at more than 600 parks in the US, including Yosemite in California, Yellowstone and Denali in Alaska. There was noise from human activity in allthe parks, for example aircraft, motorbikes, motorboats and tour buses.","For the past ten years, the US National Park Service has recorded sound levels at more than 600 places across the US, including Yosemite in California, Yellowstone and Denali in Alaska. All the places were affected by some form of noise from human activity – aircraft, motorbikes, motorboats or tour buses.","For the past ten years, the US National Park Service has recorded sound levels at more than 600 sites across the US, including Yosemite in California, Yellowstone and Denali in Alaska. Not one was unaffected by some form of noise from human activity, be it over- ying aircraft, motorbikes, motorboats or tour buses."
"Fristrup’s team say that noise pollution more than doubles every 30 years. “It’s not surprising people put on earphones,” he said.",Fristrup’s team combined the sound levels recorded from national parks with similar data from urban settings to create a model of noise levels across the US. They say that noise pollution more than doubles every 30 years.,Fristrup’s team combined the sound levels recorded from national parks with similar data from urban settings to create a model of noise levels across the US. They predict that noise pollution is growing faster than the US population and more than doubles every 30 years.
"“More background noise has the same effect on your hearing as fog has on your vision – you are aware of only a small area around you,” he said. Even in our cities, there are birds and things to appreciate in the environment but we are losing the ability to hear them.","“It’s not surprising people are putting on earphones or even noise cancelling headphones to try and create a quieter environment,” he said.","“It’s not surprising people are putting on earphones or even noise cancelling headphones to try and create a quieter or more congenial environment,” he said."
"People quickly become used to changes in their environments, including more noise. Fristrup worries that we will forget how much quieterthe world could be. “If  nding peace and quiet becomes too dif cult, many children will grow up without the experience and I think it’s a very big problem,” he said.","“As you raise background sound levels, it has the same effect on your hearing as fog would have on your vision. Instead of having this expansive experience of all the sounds around you, you are aware of only a small area around you,” he said. Even in our cities, there are birds and things to appreciate in the environment but the ability to hear them is being lost.","“As you raise background sound levels, it has the same effect on your hearing that fog would have on your vision. Instead of having this expansive experience of all the sounds around you, you are aware of only a small area around you,” he said. “Even in most of our cities, there are birds and things to appreciate in the environment, and there can be very rich natural choruses to pay attention to. And that is being lost.”"
