Elementary,Intermediate ,Advanced
"Governments in Europe dream of  nding a magic solution to rising unemployment. But, in the poorest parts of the EU, unemployment continues to rise.","Governments across Europe dream of  nding a magic solution to rising unemployment. But, in the hardest-hit parts of the EU, unemployment continues to rise and the talk does little to reduce the number of people without work.","Governments across Europe dream of  nding a magic solution to rising unemployment. But, in the hardest-hit parts of the EU, joblessness rates continue to creep up and the rhetoric does little to shorten the dole queue."
"Now, in Sardinia, Italy, a mayor thinks he has found an answer to his town’s unemployment problem. Valter Piscedda, the mayor of Elmas,a small town near Sardinia’s capital, Cagliari, wants to pay residents to leave. The town will pay for ten unemployed local people to take English lessons, get on a cheap  ight and look for jobs in other parts of Europe.","Now, in a corner of Italy, one mayor thinks hehas found an answer to his town’s serious lackof work. Valter Piscedda, the mayor of Elmas, a small town near Sardinia’s capital, Cagliari, wants to pay residents to leave. The council will pay for ten unemployed locals to take intensive English lessons, get on a cheap  ight and look for jobs elsewhere in Europe.","Now, in a struggling corner of Italy, one mayor thinks he has found an answer to his town’s chronic lack of work – although, rather than a solution, it appears to some to be more of an admission of defeat. Valter Piscedda, the centre- left mayor of Elmas, a small town near Sardinia’s capital, Cagliari, wants to pay residents to leave. The council will pay for ten unemployed localsto take intensive English lessons, board a cheap  ight and look for jobs elsewhere in Europe."
"“This idea comes from common sense and experience,” he told the Guardian. “In the past year and a half – especially in the past few months – I have seen young people, almost every day, who have lost hope that they will  nd work. Some ask for help in  nding work here. Others have tried everything and, now, they want to go and gain work experience abroad; life experience, too.”","“This idea is a result of common sense and experience,” the mayor told the Guardian. “Over the past year and a half – especially in the past few months – I have been seeing young people, almost every day, who are despairing about their search for work. Some ask for help in  nding it here. Others have tried everything and are so discouraged that they no longer want to stay and wait. And they want to go and gain work experience abroad; life experience, too.","“This is, above all, an idea born of common sense and experience,” he told the Guardian. “Over the past year and a half – especially in the past few months – I have been receiving young people, almost every day, who are despairing about their search for work. Some are looking here and ask for a hand in  nding it here. Others have tried everything and are so discouraged that they no longer want to stay and wait. And they want to go and gain work experience abroad; life experience, too."
So he decided to help people who want to gain experience abroad.,"“So, my idea was this: put everything in place so that those who want to gain experience abroad are able to,” he said.","“So, my reasoning was this: put everything in place that the council administration can put in place so that those who want to gain experience abroad are able to,” he said."
"Sardinia, and also much of southern and central Italy, is struggling with high unemployment. Unemployment was at 17.7% in the second quarter of 2014, according to Italy’s National Institute of Statistics. More than 54% of people under 25 are out of work.","As the national economy continues to falter, Sardinia, along with much of southern and central Italy, is struggling with high unemployment. Unemployment was at 17.7% in the second quarter of 2014, according to Italy’s National Institute of Statistics, Istat. More than 54% of people under 25 are out of work.","As the national economy continues to falter, Sardinia, along with much of southern and central Italy, is grappling with high unemployment, with the overall joblessness rate at 17.7% in the second quarter of 2014, according to Italy’s National Institute of Statistics, Istat. More than 54% of people under 25 are out of work."
"For the Adesso Parto (Now I’m leaving) programme, Elmas will give €12,000 to the  rst ten applicants aged between 18 and 50. The applicants must be out of work and have lived in the town for three years. They do not have to be university educated and they must not earn more than €15,000.","For the Adesso Parto (Now I’m leaving) programme, Elmas’s council will give €12,000 on a  rst-come,  rst-served basis to applicants aged between 18 and 50. They just have to be out of work and have lived in the town for three years. They do not have to be university educated and their annual income must be no more than €15,000.","For the Adesso Parto (Now I’m leaving) programme, Elmas’s council has allocated €12,000 on a  rst-come,  rst-served basis to applicants aged between 18 and 50. As long as they are out of work and have lived in the town for three years, they are eligible. They do not have to be university educated and their annual income must be no more than €15,000."
"The idea of helping people to leave is sensitive at a time when many Italians – many of them clever young graduates – are leaving their country every year. But Piscedda believes that the people heis sending away might return “and give me back 100 times what we gave them”. More importantly, he wants the scheme to help the people most in need.","The idea of encouraging people to leave is sensitive at a time when huge numbers of Italians – many of them bright young graduates – are leaving their country every year. But Piscedda, who belongs to the Democratic Party of the Prime Minister, Matteo Renzi, believes that the people he is sending away might return “and give me back 100 times what they were given”. More importantly, he wants the scheme to help those most in need.","The idea of encouraging people to up sticks is sensitive at a time when  oods of Italians – many of them bright young graduates – are leaving their country every year. But Piscedda, who belongs to the Democratic Party of the Prime Minister, Matteo Renzi, denies he is facilitatinga brain drain and believes that the people heis sending away may well return “and give me back 100 times what they were given”. More importantly, he wants the scheme to give a leg-up to those most in need."
"In Elmas, the scheme has got mixed reactions. “There is little work here,” said Alessandro Macis. “The opportunity to go abroad to learn about the workplace and experience other cultures can be very worthwhile. The son of a friend of mine who didn’t study much is in London and he’s doing very well. He started as a waiter. Now, he’s a cook and he’s learning English.”","“It’s a programme for those with no other resource; it’s the last-chance saloon. It will allow them the dignity of not having to ask a friend for money or put burdens on families,” he said.","“It’s a programme for those with no other resource; it’s the last-chance saloon. It’s about allowing them the dignity of not having to ask a friend for money or place burdens on families that cannot do it,” he said."
"Others were not sure. I heard about it but I thought it was strange. If you have that money to pay for people to go away, why dont you use that money to keep them here? said Consuelo Melis, who works in a local cafe.","Earlier in 2014, he added, the council launched a scheme for businesses – they were given  nancial incentives to hire young workers from Elmas. “We advertised 20 of these positions,” he said. “We got 120 applications.”","Earlier in 2014, he added, the council launched a scheme whereby businesses were given  nancial incentives to hire young workers from Elmas. “We advertised 20 of these positions,” he said. “We got 120 applications.”"
"But Piscedda says, “The work I can create, as mayor, is temporary. I can ask someone to clean a piazza. I can ask them to clean it again. I can ask someone to clean the streets. But these are all temporary things that give nothing more than a little bit of money for a few months.”","In Elmas, the scheme has got mixed reactions. “The reality is that there is little work here,” said Alessandro Macis. “The opportunity to go abroad to learn about the workplace and experience other cultures can be very worthwhile. The son of a friend of mine who didn’t study much is in London and he’s really  nding his way. He started as a waiter. Now, he’s a cook and he’s learning English.”"," In Elmas, the scheme has provoked mixed reactions. “The reality is that there is little work here,” said Alessandro Macis. “The opportunityto go abroad to learn about the workplace and experience other cultures can be very worthwhile. The son of a friend of mine who didn’t study much has ended up in London and he’s really  nding his way. He started as a waiter. Now, he’s a cook and he’s learning English.”"
