Elementary,Intermediate ,Advanced
"Robert Mys_ajek stops. Between two paw prints on a mountain path, the scientist  nds what he is looking for. “Droppings!’’ he says happily. It is so rare to see a wolf that seeing droppings makes it a good day.","Robert Mys_ajek stops. Between two paw prints on a muddy mountain track, the scientist  nds what he is looking for. “Droppings!’’ he says happily. It is so rare to see a wolf that seeing faeces makes it a good day.","Robert Mys_ajek stops dead. Between two paw prints on a muddy mountain track, the scientist  nds what he is looking for. “Droppings!’’ he enthuses. Wolf sightings are so rare that the sighting of their faeces marks a good day, even for a seasoned tracker."
"But it is getting easier to see a wolf. There are now about 1,500 wolves in Poland. The number has doubled in 15 years. The wolf, the brown bear, the lynx and the wolverine are Europe’s last large predator carnivores. Scientists from Britain, Germany and the Netherlands are coming here to  nd out how the country has saved wolves who have a bad reputation even in fairy tales.","But it is getting easier. There are now about 1,500 wolves in Poland. The number has doubled in 15 years. Wolves are – along with the brown bear,the lynx and the wolverine – Europe’s last large predator carnivores. Conservationists from Britain, Germany and the Netherlands are coming here to  nd out how the country has saved wolves who are criticized even in fairy tales.","But it is getting easier. There are now an estimated 1,500 wolves in Poland. The number has doubled in 15 years. Wolves are – along with the brown bear, the lynx and the wolverine – Europe’s last large predator carnivores. Conservationists from Britain, Germany and the Netherlands are beating a path here to  nd out how the country has saved this protected species, slandered even in fairy tales."
"Bits of bone and hair stick out from the droppings. “It ate a red deer,’’ says Myslajek. “I can tell you all about this wolf – what it eats, if it’s a male or female, its sexual habits, age, health and family connections.’’","Bits of bone and hair stick out from the black faeces. “It ate a red deer,’’ says Mys_ajek, the University of Warsaw biologist. “In my lab, I can tell you all about this wolf – not only its diet but its gender, sexual habits, age, state of health and family connections.’’","Bits of bone and hair protrude from the precious black faeces. “It ate a red deer,’’ says the University of Warsaw biologist. “In my lab, I can tell you all about this wolf – not only its diet but its gender, sexual habits, age, state of health and family connections.’’"
"DNA tests have shown that Polish wolves are travellers. “One wolf walked to the Netherlands, where it was hit by a car. They travel very far. They need space. The average territory of a Polish pack is 250 square kilometres,’’ said Mys_ajek.","DNA tests have shown that Polish wolves are travellers. “One wolf reached the Netherlands, where unfortunately it was hit by a car. They have a very big range. They need space. The average territory required by a Polish pack is 250 square kilometres,’’ says Mys_ajek.","DNA tests have established that Polish wolvesare travellers. “One wolf reached the Netherlands, where unfortunately it was hit by a car. They have a tremendous range. They need space. The average territory required by a Polish pack is 250 sq km,’’ said Mys_ajek."
"The scientist says wolves can move up to 30 kilometres during a single hunt. “The pack that he is tracking is a strong group of eight or nine animals. “This year, we have recorded  ve cubs, two young wolves and two adults.","“Can we ever reintroduce wolves to Scotland?’’ asks student Alex Entwisle, 23, on a study trip to southern Poland from the UK. He and other animal science students have spent the day looking for droppings and paw prints in the Beskidy mountains of the Polish Carpathians.","“Is there any prospect of our ever being able to reintroduce wolves to Scotland?’’ asks student Alex Entwisle, 23, on a  eld trip to southern Poland from his college in the UK. The animal science students have spent the day observing droppings and paw prints in the spruce-clad Beskidy mountains of the Polish Carpathians."
"“We follow them using special cameras in the forest and by following their prints in the mud and snow. In each family group, only one pair of adults has cubs each year. All the wolves in the pack look after the young.’’",Their hot discussion topic is whether to reintroduce wolves to the British Isles for the  rst time since the 18th century.,Their hot discussion topic is whether to reintroduce wolves to the British Isles for the  rst time since the 18th century.
"Mys_ajek, the son of a shepherd, doesn’t understand wolves’ bad reputation. “Why did we have to have the fairy tale Little Red Riding Hood, with its big bad wolf?’’","Mys_ajek toured the Scottish Highlands in 2015for the Wolves and Humans Foundation and answered questions from villagers about the Polish experience. “The big difference between Scotland and Poland is that we eat pork. We do not have many sheep here.","As the guest of a British charity, the Wolves and Humans Foundation, Mys_ajek toured the Scottish Highlands in 2015 and took questions from villagers about the Polish experience. “The big difference between Scotland and Poland is that we eat pork. We do not have many sheep here."
"He is fascinated by these animals, who remained in the wild 33,000 years ago when other types of dog decided on a much more comfortable life as pets.","“The similarity is that we have a lot of animals– 300,000 red deer and more than 800,000 roe deer. In Poland, we also have too many wildboar – about 200,000 – and these are eating and destroying farmers’ cereal crops. Here, wolves are part of the solution,’’ he says.","“The similarity is that we have a lot of animals – 300,000 red deer and more than 800,000 roe deer. In Poland, we also have a massive overpopulation of wild boar – about 200,000 – and these are ravaging farmers’ cereal crops. Here, wolves are part of the solution,’’ he says."
"Mys_ajek says only the need to save forestsand control the wild animal population can save Europe’s wild carnivores, especially the unpopular wolf. “Natural predators balance the ecosystem. They reduce the number of herbivores, which allows trees to grow tall for birds to nest in.’’","The scientist says wolves can move up to 30 kilometres during a single hunt. “The Beskidy pack is a strong unit, eight or nine animals. This year, we have recorded  ve cubs, two young wolves and two adults.","The scientist, who is a familiar face on Polish television, says wolves are exceptional animals that are capable of moving up to 30km during a single hunt. “The Beskidy pack is a strong unit, eight or nine individuals. This year, we have recorded  ve cubs, two yearlings and two adults."
The ban on wolf hunting in the western Carpathian mountains became law in 1995 and in the whole of Poland in 1998. There are now wolf packs in nearly all the country’s major forests where the wolves exist together with humans.,"“We track them using motion cameras in the forest and by following their prints in the mud and snow. In each family group, only one pair of adults has cubs each year. All pack members care for the young.’’","“We track them using motion-activated camerasin the forest and by following their prints in themud and snow. In each family group, only one pair reproduces, once a year. All pack members care for the young with solidarity and devotion.’’"
