Elementary,Intermediate ,Advanced
"From all across Rwanda, and even from Burundi, people are coming to the southern town of Butare to a little shop called Inzozi Nziza (Sweet Dreams). They come for a taste of something new, something most of them have never tasted before – sweet, cold ice cream.","From all across Rwanda, and even parts of neighbouring Burundi, people are coming to the southern town of Butare to a little shop called Inzozi Nziza (Sweet Dreams). They come fora taste of the unknown, something most have never tasted before – sweet, cold ice cream.","From all across Rwanda, and even parts of neighbouring Burundi, people  ock to the southern town of Butare to a little shop called Inzozi Nziza (Sweet Dreams). They come fora taste of the unknown, something most have never tasted – the sweet, cold, velvety embrace of ice cream."
"Here, at the central African country’s  rst ice-cream shop, customers can buy ice cream in sweet cream, passion fruit, strawberry and pineapple  avours. Toppings include fresh fruit, honey, chocolate chips and granola. They can also buy black tea and coffee.","Here, at the central African country’s  rst ice- cream parlour, customers can buy scoops in sweet cream, passion fruit, strawberry and pineapple  avours. Toppings include fresh fruit, honey, chocolate chips and granola. Black tea and coffee are also on sale.","Here, at the central African country’s  rst ice- cream parlour, customers can buy scoops in sweet cream, passion fruit, strawberry and pineapple  avours. Toppings include fresh fruit, honey, chocolate chips and granola. Black tea and coffee are also on sale."
"The shop, which has “ice cream, coffee, dreams” written on its signs, is taking advantage of local people’s curiosity about ice cream – and the shop is also “changing lives”, says Inzozi Nziza’s manager, Louise Ingabire.","The shop, which has “ice cream, coffee, dreams” written on its signs, is taking advantage of local curiosity about the dessert – and “changing lives” in the process, says Inzozi Nziza’s manager, Louise Ingabire.","The shop, which has “ice cream, coffee, dreams” across its signage, is milking local curiosity about the dessert – and “changing lives” in the process, says Inzozi Nziza’s manager, Louise Ingabire."
"“Ice cream is important,” she says between mouthfuls of honey- avoured ice cream. “Some Rwandans like ice cream, but it’s a new thing. We still have some work to do, to tell others that they’ll enjoy it.”","“Ice cream is important,” she says between mouthfuls of a honey- avoured offering. “Some Rwandans like ice cream, but it’s a new thing. We still have some work to do, to tell others that they’ll enjoy it.”","“Ice cream is important,” she says between mouthfuls of a honey- avoured offering. “Some Rwandans like ice cream, but it’s a new thing. We still have some work to do, to tell others that they’ll enjoy it.”"
"The shop can certainly make dreams come true. “I didn’t have a job before: I just stayed at home. Now, I have a vision for the future. I am making money and I can give some of it to my family,” says the 27-year-old.","The shop can certainly make dreams come true. “I didn’t have a job before: I just stayed at home. Now, I have a vision for the future. I am making money and I can give some of it to my family,” says the 27-year-old.","True to Inzozi Nziza’s motto, the shop can certainly make dreams come true. “I didn’t have a job before: I just stayed at home. Now, I have a vision for the future. I am making money and I can give some of it to my family,” says the 27-year-old."
"Butare has 89,600 residents and is 135km south of the capital, Kigali. It is the home of the National University of Rwanda. Inzozi Nziza has become a meeting place for students who want to treat themselves to something cool and different.","Butare, which has 89,600 residents and is located 135km south of the capital, Kigali, is the home of the National University of Rwanda. Inzozi Nziza has become a meeting place for tired students looking to treat themselves to something cool and different.","Butare, which has 89,600 residents and is located 135km south of the capital, Kigali, isthe home of the National University of Rwanda. Inzozi Nziza has become a hub for tired students looking to treat themselves to something cool and different."
"“The shop is uniting people here,” Kalisa Migendo, a 24-year-old student, says. “If you need to go out and talk to a friend, a girl or a boy, you come to Inzozi Nziza for an ice cream.”","“It’s something uniting people here,” Kalisa Migendo, a 24-year-old agriculture student, says. “If you need to go out and talk to a friend, a girl or a boy, you come to Inzozi Nziza for anice cream.”","“It’s something uniting people here,” Kalisa Migendo, a 24-year-old agriculture student, says. “If you need to go out and talk to a friend, a girl or a boy, you come to Inzozi Nziza for anice cream.”"
"Inzozi Nziza was opened by Odile Gakire Katese. She met Alexis Miesen and Jennie Dundas, co- founders of Blue Marble Ice Cream in Brooklyn, New York. The three women formed a partnership to open the shop in 2010.",Most of the ingredients are from local sources and the milk comes from nearby Nyanza. The vanilla beans and cocoa are imported.,Most of the ingredients are sourced locally and the milk comes from a depot in nearby Nyanza. The vanilla beans and cocoa are imported.
"At the start, Miesen and Dundas owned theshop in partnership with its employees and had shares in the business, which is a cooperative. After 18 months, they gave their shares to the women employees, who by then could control the business by themselves.","Inzozi Nziza was opened by the theatre director Odile Gakire Katese. She met Alexis Miesen and Jennie Dundas, co-founders of Blue Marble Ice Cream in Brooklyn, New York, and formed a partnership to open the shop in 2010.","Inzozi Nziza was opened by the theatre director Odile Gakire Katese. She met Alexis Miesen and Jennie Dundas, co-founders of Blue Marble Ice Cream in Brooklyn, New York, and formed a partnership to open the shop in 2010."
 Ice cream is new to Rwanda. Selling and eating ice cream is not part of the Rwandan culture.,"“An ice-cream shop, Katese said, might help to put the human pieces back together by rebuilding spirits, hopes and family traditions,” Miesen says.","“An ice-cream shop, Katese proposed, might help to put the human pieces back together by rebuilding spirits, hopes and family traditions,” Miesen says."
"The Butare shop employs nine women. They spend their free time practising with Ingoma Nshya, Rwanda’s  rst and only female drumming group.","At the start, Miesen and Dundas owned the shop in partnership with its staff and had shares in the business, which is a cooperative and non-pro t. After 18 months, they transferred their shares to the women, who had by then proved they could run the business.","At the start, Miesen and Dundas owned the shop in partnership with its staff and had shares in the business, which is a cooperative and non-pro t. They did not set  nancial targets, but waited for 18 months before they transferred their shares to the women, who had by then proved their business credentials."
"The musicians are Hutu and Tutsi women. Some are survivors of the 1994 genocide, when almost a million Tutsis and Hutus were killed. Some members of Ingoma Nshya are widows, some orphans.",Ice cream is new to Rwanda. Making the business successful requires a lot of skills and changing people’s way of thinking because selling and eating ice cream is not part of Rwandan culture.,"The shop’s success is no exception, says Fatuma Ndangiza, deputy chief executive of the Rwanda Governance Board. “Small businesses are mostly managed by women but when it comes to big business where you have to compete for big tenders, very few women are there. Women are newcomers to big business,” she points out. “We have more women entrepreneurs. It’s an area where women are taking an interest, both in and outside Kigali.”"
"Ingabire’s father, two siblings and many cousins were killed in the genocide. “When I’m drumming, it gives me power because we’re still alive and survivors,” she says.","The Butare shop employs nine women, who spend their spare time practising with Ingoma Nshya, Rwanda’s  rst and only female drumming group, which was established by Katese ten years ago.","Though ice cream is somewhat new to Rwanda, Ndangiza is enthused by the idea of the shop.“I think it’s great. It requires a lot of skills and changing people’s mindsets because selling and eating ice cream is not part of our culture. I think being able to innovate and introduce this on the market, and the process of making it, isquite interesting.”"
"The ice-cream shop is in a documentary by  lm-makers Rob and Lisa Fruchtman. Sweet Dreams, which tells the story of how the women have made a positive future after the genocide, also includes the female drummers.","The musicians are Hutu and Tutsi women. Some are survivors of the 1994 genocide, during which almost a million Tutsis and Hutus were killed. Some members of Ingoma Nshya are widows, some orphans.","The Butare shop employs nine women, who spend their spare time practising with Ingoma Nshya, Rwanda’s  rst and only female drumming troupe, which was established by Katese ten years ago."
"The  lm has been shown in many countries, including the US, UK and several African states. “We feel the  lm is about hope, bravery and the ability to change your life,” says Lisa Fruchtman.","Historically, says Ingabire, Rwandan women were forbidden to drum and many people considered the drums too heavy for women to carry. “But it’s something which brings unity.”","The musicians are Hutu and Tutsi women, some survivors of the 1994 genocide, during which almost a million Tutsis and moderate Hutus were killed."
,"Ingabire’s father, two siblings and many cousins were killed in the genocide. “When I’m drumming, it gives me power because we’re still alive and survivors,” she says.","Some members of Ingoma Nshya are widows, some orphans. Others have been affected by the massacre in different ways."
,"The ice-cream parlour is in a documentary by  lm-makers Rob and Lisa Fruchtman. Sweet Dreams, which tells the story of how the women have made a promising post-genocide future, also includes the female drummers.","Historically, says Ingabire, Rwandan women were forbidden to drum and many people considered the drums too heavy for women to carry. “But it’s something which brings unity.”"
,"The  lm has been shown in more than a dozen countries, including the US, UK and several African states. “We feel the  lm is about resilience, hope, bravery, resourcefulness and the ability to change the course of your own life,” says Lisa Fruchtman.","Ingabire’s father, two siblings and many cousins were killed in the genocide. “Some of us are survivors; some know someone who was killed,” she says. “When I’m drumming with them, it gives me power because we’re still alive and survivors.”"
,,"The popular eatery features in a documentary by Rob and Lisa Fruchtman, sibling  lm-makers. Sweet Dreams, which tells the story of how the women have forged a promising post-genocide future, also includes the female drummers."
,,"The  lm, which has been screened in more than a dozen countries, including the US, UK and several African states, premieres in Rwandain 2014. “We feel the  lm is about resilience, hope, bravery, resourcefulness and the ability to change the course of your own life,” says Lisa Fruchtman, who won an Academy Award for  lm- editing in 1984."
