Elementary,Intermediate ,Advanced
SeaWorld’s pro ts fell by 84% and customers are staying away from the water theme park company because a  lm claimed that it mistreated orca whales.,SeaWorld has suffered an 84% collapse in pro ts – customers have deserted the controversial aquatic theme park company because of claims that it mistreated orca whales.,SeaWorld has suffered an 84% collapse in pro ts as customers have deserted the controversial aquatic theme park company following claims it mistreated orca whales.
"The company teaches dolphins and killer whales to do tricks in front of large crowds of people.It says fewer people are going to its parks and pro ts have reduced.","The company trains dolphins and killer whales to perform tricks in front of stadiums full of people. They have suffered declines in attendance, sales and pro ts because people think they don’t treat their animals well.","The company, which trains dolphins and killer whales to perform tricks in front of stadiums full of spectators, has reported declines in attendance, sales and pro ts because of “continuedbrand challenges”."
"SeaWorld has been in the news since the 2013 documentary  lm Black sh, which said that SeaWorld mistreated orca whales – this made the whales act violently and caused the deaths of three people.","SeaWorld has been in the news since the 2013 documentary Black sh said that its treatmentof orca whales made the whales act violentlyand that this caused the deaths of three people. After the documentary was shown, attendance collapsed and the company lost more than half of its market value on Wall Street. Its former CEO also had to leave the company.","SeaWorld has been in the headlines since the 2013 documentary Black sh detailed claims that its treatment of orca whales provoked violent behaviour, contributing to the deaths of three people. Following the release of the documentary, attendance collapsed, the company lost more than half of its market value on Wall Street and its former CEO was forced out."
Animal rights organizations say that orcas kept in tanks die at a younger age than wild whales. SeaWorld started a national marketing campaign to show this isn’t true.,Animal rights activists say that orcas kept in tanks die at a younger age than wild whales. SeaWorld started a marketing campaign to show that this isn’t true.,"The company has since launched a nationwide marketing campaign to combat animal rights activists claims that, among other things, captive orcas die at a younger age than their wild counterparts."
SeaWorld has reduced ticket prices and spent $10m on a marketing campaign. But SeaWorld CEO Joel Manby said that the company still  nds it dif cult to convince people that it treats its whales well.,It cut ticket prices and spent $10m on marketing but SeaWorld CEO Joel Manby had to admit that the company is still struggling to convince the public that it treats its whales well.,"Despite cutting ticket prices and spending$10m on the marketing blitz, which features its veterinarians caring for whales, SeaWorld CEO Joel Manby was forced to admit that the company is still struggling to convince the public that it treats its whales well."
"“We realize we have much work to do,” Manby said. Talking about the company’s reputation, he said, “Early feedback on our marketing campaign has been positive.”","“We realize we have much work ahead of us,” Manby said. Talking about the company’s reputation, he said, “Early feedback on our campaign has been positive. However, we recognize that solving our image problems in California will be challenging.”","“We realize we have much work ahead of us to recover more of our attendance base, increase revenue and improve our performance, as returning to historical performance levels will take time and investment,” Manby said. “On the reputation side, early feedback on our campaign has been positive. However, we recognize that fully resolving our brand challenges in California will require sustained focus and commitment to correct misinformation.”"
"“We will continue to  ght with the facts because the facts are on our side,” he said.","“We will continue to  ght with the facts because the facts are on our side,” he said.","“We will continue to  ght with the facts because the facts are on our side,” he said recently on a conference call with journalists and analysts."
"Manby joined the company as CEO in 2015to help the company recover. He will give a presentation about his ideas for the future of the company on 6 November.","Manby, who joined the company as CEO in 2015 to help the company recover, said he would give a presentation on his vision for the future of the company at a special event on 6 November.","Manby, who joined the company as CEO in 2015 to help the company rehabilitate itself, said he would set out his vision for the future of the company at a special event on 6 November."
There are already plans for a new shark exhibition in Orlando and an attraction in San Antonio that will allow customers to swim with dolphins.,There are already plans for a new shark exhibition in Orlando and an attraction in San Antonio that will allow customers to swim with dolphins in a “naturalistic” setting.,Already in the pipeline are plans for a new shark exhibition in Orlando and an attraction in San Antonio that will allow customers to swim with dolphins in a “naturalistic” setting.
"The company’s  nancial report from 6 August showed that their pro t in the second quarter dropped from $37.4 million in 2014 to $5.8 million in 2015. This is an 84% decrease. At the same time, the number of visitors dropped by more than 100,000 from 6.58 million to6.48 million.","The company’s  nancial report, released on 6 August, showed pro ts in the second quarter dropped from $37.4m in 2014 to $5.8m in 2015. This is an 84% decrease. Revenue fell from $405m to $392m. Attendance dropped by more than 100,000 from 6.58 million to 6.48 million.","The company’s  nancial report, released on 6 August, showed net income in the second quarter dropped from $37.4m in 2014 to $5.8m in 2015, an 84% decrease. Revenue fell from $405mto $392m. Attendance dropped by more than 100,000 from 6.58 million to 6.48 million."
