Elementary,Intermediate ,Advanced
"Clay Cockrell is sitting in his of ce opposite the Trump International Hotel and Tower. In front of the tower is Central Park, where Cockrell holds his popular walk and talk therapy sessions.","Clay Cockrell is sitting in his of ce across the street from 1 Central Park West, the address of the Trump International Hotel and Tower. In front of the tower is Central Park, where Cockrell holds his popular walk and talk therapy sessions.","Clay Cockrell is sitting in his of ce at Columbus Circle, across the street from 1 Central Park West, which houses Trump International Hotel and Tower. In front of the tower is Central Park, where Cockrell holds his popular walk and talk therapy sessions."
"Cockrell is a former Wall Street worker who is now a therapist. He spends large parts of his days walking in Central Park or the Battery Park in downtown Manhattan near Wall Street, talking to some of New York’s wealthiest people.","Cockrell, a former Wall Street worker who is now a therapist, spends large parts of his days walking through Central Park or the Battery Park in downtown Manhattan near Wall Street, as a con dant and counsellor to some of New York’s wealthiest people","Cockrell, a former Wall Street worker turned therapist, spends large parts of his days walking through Central Park or the Battery Park in downtown Manhattan near Wall Street, as a con dant and counsellor to some of New York’s wealthiest people."
"“Many of the very wealthy – the 1% of the 1% – feel that their problems are really not problems. But they are,” he says.","“Many of the extremely wealthy – the 1% of the 1% – feel that their problems are really not problems. But they are,” he says.","“I shifted towards it naturally,” he said of his becoming an expert in wealth therapy. “Many of the extremely wealthy – the 1% of the 1% – feel that their problems are really not problems. But they are. A lot of therapists do not give enough weight to their issues.”"
"So, what problems do America’s 1% have? “There is guilt that they are rich,” he said. “There is the feeling that they have to hide that they are rich. And, then, there is the isolation – being in the 1% can be lonely.”","So, what issues do America’s 1% have? “There is guilt because they are rich,” he said. “There is the feeling that they have to hide the fact that they are rich. And, then, there is the isolation – being in the 1% can be lonely.”","So, what issues are America’s 1% struggling with? “There is guilt over being rich in the  rst place,” he said. “There is the feeling that they have to hide the fact that they are rich. And, then, there is the isolation – being in the 1%, it turns out, can be lonely.” It seems F Scott Fitzgerald was right: the very rich “are different from you and me”."
Counsellors say that things have become worse since the  nancial crisis in 2008. People now talk about the gap between rich and poor more because of groups like Occupy Wall Street.,Counsellors argue that things have become worse since the  nancial crisis and the discussion about income inequality brought on by movements like Occupy Wall Street.,Counsellors argue things have become worse since the  nancial crisis and the debate over income inequality that has been spurred on by movements like Occupy Wall Street and the Fight for $15 fair wage campaign.
"“Occupy Wall Street had some important things to say about the gap between rich and poor but it was negative about the 1%,” said Jamie Traeger-Muney, a wealth psychologist. The media, she said, makes the rich “feel like they need to hide or feel ashamed”.","“The Occupy Wall Street movement was a good one and had some important things to say about income inequality but it singled out the 1% as something negative,” said Jamie Traeger-Muney, a wealth psychologist and founder of the Wealth Legacy Group. The media, she said, is partly to blame for making the rich “feel like they need to hide or feel ashamed”.","“The Occupy Wall Street movement was a good one and had some important things to say about income inequality but it singled out the 1% and painted them globally as something negative,” said Jamie Traeger-Muney, a wealth psychologist and founder of the Wealth Legacy Group. The media, she said, is partly to blame for making the rich “feel like they need to hide or feel ashamed”."
"“Sometimes, I am shocked by things that people say. You would never talk about another group of people in the way that it seems perfectly normal to talk about wealthy people.”","Traeger-Muney runs a global business and specializes in working with inheritors, who often get a bad reputation in the press. “Sometimes, I am shocked by things that people say. You would never refer to another group of people in the way that it seems perfectly normal to refer to wealthy people.”","Traeger-Muney runs a global  rm and specializesin working with inheritors, who often get a bad reputation in the press. “You can come up with lots of words and sayings about inheritors – not one of them is positive: spoilt brat, born with a silver spoon in their mouth, trust-fund babies, all these things,” she said, adding that it’s “easy to scapegoat the rich”."
"“It’s really isolating to have a lot of money. People’s reaction to you can be scary,” said Barbara Nusbaum, an expert in money psychology. “We are all taught not to talk about money. It’s not polite to talk about money. But it’s harder to talk about being rich than it is to talk about being poor. People don’t mind if you say ‘I am broke. Things are hard.’ You can’t say ‘I have a ton of money.’ You have to keep a lot of your life private.”","“It’s really isolating to have a lot of money. People’s reactions to you can be scary,” said Barbara Nusbaum, an expert in money psychology. “We are all taught not to talk about money. It’s not polite to talk about money. But it’s harder to talk about having money than it is to talk about not having money. It’s much more socially acceptable to say ‘I am broke. Things are hard.’ You can’t say ‘I have a ton of money.’ You have to keep a lot of your life private.”","“Sometimes, I am shocked by things that people say. You would never refer to another group of people in the way that it seems perfectly normal to refer to wealth holders.”"
"As a result, Cockrell says, the rich hang out with other rich Americans who understand them and their problems.","As a result, Cockrell says, the rich usually hang out with other rich Americans who understand them and their problems.","“It’s really isolating to have a lot of money. People’s reactions to you can be scary,” said Barbara Nusbaum, an expert in money psychology. “We are all taught not to talk about money. It’s not polite to talk about money. Ironically, it’s harder to talk about having money than it is to talk about not having money. It’s much more socially acceptable to say ‘I am broke. Things are hard.’ You can’t say ‘I have a ton of money.’ You have to keep a lot of yourlife private.”"
"In the US, over the last 30 years, the number of very wealthy people has grown. In 2014, the number of US households with $1m or more – excluding the value of their main home – was 10.1 million. There were 1.3 million households worth $5 million and 142,000 worth $25 million or more.","In the US, over the last three decades, the number of extremely wealthy people has been increasing. According to research from Spectrem Group, in 2014, the number of US households with $1m or more – excluding the value of their main home – increased by 500,000 to 10.1m. Households worth $5m or more reached 1.3m and 142,000 households are now worth $25m or more.","As a result, Cockrell points out, the rich tend to hang out with other rich Americans, not out of snobbery but in order to be around those who understand them and their problems."
"Since the 2008  nancial crisis, the gap between the rich and the poor has grown and the situation “has gotten worse for the wealthy”, Cockrell said. The main reason? Not knowing if your friends are friends with you or with your money.","Since the 2008  nancial crisis, the income gap has grown and the situation “has gotten worse for the wealthy”, Cockrell said. The main reason? Not knowing if your friends are friends with you or with your money.","The growing gap between the rich and poor is a global phenomenon. According to Oxfam, the richest 1% have seen their share of global wealth increase from 44% in 2009 to 48% in 2014 and are on track to own more than the other 99% by 2016."
"“Someone else who is also a billionaire – they don’t want anything from you. Never being able to trust your friendships with other people, I think that is dif cult,” said Cockrell.","“Someone else who is also a billionaire – they don’t want anything from you. Never being able to trust your friendships with other people, I think that is dif cult,” said Cockrell. “As the gap has widened, the rich have become more and more isolated.”","In the US, over the last three decades, the wealth owned by the top 0.1% households increased from 7% to 22% even as the wealth of the bottom 90% of households declined."
"“Wealth can stop you from connecting with other people,” said the wife of a man who made about $80 million. Some Americans keep their wealth secret.","These are real fears of the richest of the rich. In 2007, the Gates Foundation and Boston College’s Center on Wealth and Philanthropy started to document what it felt like to be in America’s 1%. For the next four years, researchers surveyed 165 of America’s richest households – 120 of those households have at least $25m. The report, The Joys and Dilemmas of Wealth, was 500 pages long and seemed to prove the old saying that money can’t buy happiness.","The number of extremely wealthy people has also been climbing. According to research from Spectrem Group, in 2014, the number of US households with $1m or more in assets – excluding the value of their primary home – increased by 500,000 to 10.1m. In 2007, that number was 9.2m. Households worth $5m or more reached 1.3m and 142,000 households are now worth $25m or more."
"“There are a lot of people hiding their wealth because they are worried about negative judgment,” said Traeger-Muney. If wealthy Americans talk about their problems, people don’t have a lot of sympathy,” she said.","“Wealth can stop you from connecting with other people,” said the wife of a tech entrepreneur who made about $80m. Some Americans keep their wealth secret. “We talk about it as stealth wealth. There are a lot of people that hide their wealth because they are worried about negative judgment,” said Traeger-Muney. If wealthy Americans talk about the problems that come with their wealth, people often say ‘Oh, poor you.’ There is not a lot of sympathy there,” she said.","Since the 2008  nancial crisis, the income gap has expanded and the situation “has gotten worse for the wealthy”, Cockrell said. The main reason? Not knowing if your friends are friends with you or your money."
Cockrell said that there is a common mistake that many of his wealthy clients make – they let their money be the most important thing in their lives.,"Speaking in his soft, soothing voice that makes you want to tell him all your worries, Cockrell said that a common mistake that many of his wealthy clients make is letting their money define them.","“Someone else who is also a billionaire – they don’t want anything from you. Never being able to trust your friendships with people of different means, I think that is dif cult,” said Cockrell. “As the gap has widened, the rich have become more and more isolated."""
"“If you are part of the 1%, you still have problems. There are other parts of your life. Money is not the only thing,” he said. “Your problems are real.”","“If you are part of the 1%, you still have problems and they are real to you. Even when you say, ‘I don’t have to struggle for money’, there are other partsof your life. Money is not the only thing that de nes you,” he said. “Your problems are real.”","These are real fears faced by the richest of the rich. In 2007, the Gates Foundation teamed up with Boston College’s Center on Wealth and Philanthropy to document what it felt like to be in America’s 1%. For the next four years, researchers surveyed 165 of America’s richest households – 120 of those households have at least $25m in assets. The average net worth of those surveyed was $78m. The resulting study, The Joys and Dilemmas of Wealth, was 500 pages long and seemed to prove the old adage that money can’t buy happiness."
,,"“Wealth can be a barrier to connecting with other people,” confessed a spouse of a tech entrepreneur who made about $80m. Some Americans have taken to keeping their wealth secret. “We talk about it as stealth wealth. There are a lot of people that are hiding their wealth because they are concerned about negative judgment,” said Traeger-Muney. If wealthy Americans talk about the unique challenges that come with their wealth, people often dismiss their experience."
,,"“People say ‘Oh, poor you.’ There is not a lot of sympathy there,” she said. “Wealth is still one of our last taboos.”"
,,"Speaking in his soft, soothing voice that makes you want to spill all your worries, Cockrell said that a common mistake that many of his wealthy clients make is letting their money de ne them."
,,"“I don’t think it’s healthy to discount your problems. If you are part of the 1%, you still have problems and they are legitimate to you. Even when you say, ‘I don’t have to struggle for money’, there are other parts of your life. Money is not the only thing that de nes you,” he said. “Your problems are legitimate.”"
