Elementary,Intermediate ,Advanced
"Like a typical bad boyfriend, Dan Sullivan arrived
late to breakfast with the Guardian because the
police stopped him on his motorcycle","In typical bad-boyfriend style, Dan Sullivan was
late to breakfast with the Guardian because he
got pulled over on his motorcycle.","In typical bad-boyfriend style, Dan Sullivan was
late to breakfast with the Guardian because he
got pulled over on his motorcycle."
"Sullivan works too much, he says. He misses
dinner dates. He forgets to give presents.","Sullivan works too much, he says. He misses
dinner dates. He forgets to give presents.","Sullivan works too much, he says. He misses
dinner dates. He forgets to give presents."
"And so, like many others in Silicon Valley,
the 27-year-old has started a business:
BetterBoyfriend.me, a service that sends
girlfriends and wives a present every month for
about $70.","And so, like many others in Silicon Valley, the
27-year-old venture capitalist has come up with a
start-up: BetterBoyfriend.me, a service that sends
girlfriends and wives a present every month for
about $70.","And so, like seemingly everyone in Silicon Valley,
the 27-year-old venture capitalist has come up
with a start-up to fix it: BetterBoyfriend.me, a
service that sends girlfriends and wives a present
every month for about $70."
"Sullivan is testing the service and has about
350 boyfriends as his clients. Most clients, he
says, are his friends from university and other
friends who are founders of start-ups or work for
companies like Apple, Google and Facebook.
The girlfriends of these men get presents
from Sullivan.","Sullivan, who works in finance, has been testing
the service and has signed up about 350
boyfriends. Most members, he says, are his
friends from Harvard and other friends who are
either venture capitalists, founders of start-ups or
employees of companies like Apple, Google and
Facebook. The girlfriends of these friends have
been getting presents from Sullivan for the
last year.","Sullivan, who works in finance, has been quietly
testing the program and has signed up about 350
boyfriends generating about $17,000 revenue
every month. Most members, he says, are from
his collection of Harvard and investor friends:
venture capitalists, founders and employees of
companies like Apple, Google and Facebook,
whose girlfriends have been getting presents
from Sullivan for the last year."
"Each month, Sullivan’s clients choose from a list
of seven possible gifts (chocolate, tea sets, etc).
Then, Sullivan sends the gift to the boyfriend.","Each month, Sullivan’s members choose from a
list of seven possible gifts (chocolate, tea sets,
manicures). The package is sent to the boyfriend
unbranded and unlabelled.","Each month, Sullivan’s members choose from a
list of seven possible gifts (chocolate, tea sets,
manicures). The package is sent to the boyfriend
unbranded and unlabelled."
"For Sullivan, the surprise was the real
relationships that he has formed with his clients.
Sullivan says he has begun to see himself as a
sort of relationship consultant for the boyfriends.","He tests his ideas by buying Facebook ads to see
what kind of interest they get. BetterBoyfriend.me
took off. “People seemed to like BetterBoyfriend,”
Sullivan said.","He tests his ideas by buying Facebook ads
just to see what kind of traction they get.
BetterBoyfriend.me took off. “BetterBoyfriend
hit something,” Sullivan said. “It’s a pain point
everyone has.”"
"Sullivan says he’s made mistakes. In the
beginning, the gifts he sent included receipts
with his name on, Dan Sullivan. “One of the
boyfriends wrote to me and said, ‘She’s not mad
but Cynthia found out’.”","Another start-up, called InvisibleBoyfriend,
allows users “to design and build a believable
partner who is everything you want and is always
available to talk, whenever you want”. The end
result is a “boyfriend” who can text with you
all day.","BetterBoyfriend.me was not Sullivan’s first idea.
For a couple of days, he thought about a
dog-sharing pitch: “I see all these rich guys
looking just miserable walking dogs and I
realized: a dog is only valuable 5% of the time,”
he said. “So, what if we got a guy who would
babysit the dogs and other people could rent
them out?”"
"Of all the women BetterBoyfriend.me deliver
packages to, about 50% know that Sullivan
chooses the presents they receive: “It’s
connected with age. I think, after you’ve been
married for a longer time, you don’t keep
many secrets.”","Founder Kyle Tabor launched it to give users
a fake boyfriend to deter unwanted advances
but has found people have grown attached to
their imaginary partners: “Many more users are
looking for companionship through conversation
rather than external ‘proof’ of a relationship.”","Another start-up, called InvisibleBoyfriend, allows
users “to design and build a believable social
partner who is everything you want and is always
available to talk, whenever you want”. The end
result is a “boyfriend” who can text with you
all day."
"And over the year, the young founder says he’s
got to know the boyfriends really well. They’ve
even sent a package to a hospital delivery
room. The key, he said, is to remember that his
relationship is with the boyfriend.","For Sullivan and Tabor, the surprise was the real
relationships that they have formed with their
customers. Sullivan says he has begun to see
himself as a sort of relationship consultant for
the boyfriends.","Founder Kyle Tabor launched it to give users
a faux boyfriend to deter unwanted advances
but has found people have grown attached to
their algorithmic partners: “Many more users are
seeking companionship through conversation
rather than external ‘proof’ of a relationship to get
people off their back.”"
"When he first started his company, he attached
tags that said BetterBoyfriend.me to flower
bouquets and went to the Mission District in San
Francisco.","Sullivan admits he’s made mistakes. Early on,
the packages he sent included receipts that had
his name on them, Dan Sullivan. “One of the
boyfriends wrote to me and said, ‘Listen, she’s
not mad but Cynthia found out’.”","For Sullivan and Tabor, the surprise was the
real relationships that have formed with their
customers. Sullivan says he has begun to see
himself as a sort of relationship consultant for
the boyfriends."
"“I looked for couples and gave the flowers to the
girl but the boyfriends didn’t like that. Not at all,”
he said. “So I changed my idea and gave the
flowers to the boyfriends.”","Of all the women BetterBoyfriend.me deliver
packages to, about 50% know about Dan
Sullivan’s involvement in their relationships: “It’s
connected with age. I think, after you’ve been
married for a while, you don’t keep
many secrets.”","Sullivan admits he’s made mistakes. Early on, the
packages included receipts that had his name on
them, Dan Sullivan. “One of the boyfriends wrote
to me and said, ‘Listen, dude, she’s not mad but
Cynthia found out’."""
,"And over the year, the young founder says he’s
got to know the boyfriends really well. They’ve
even sent a package to a hospital delivery
room. The key, he said, is to remember that his
relationship is with the boyfriend.","About 50% of the women BetterBoyfriend.me
deliver packages to know about his involvement
in their relationships: “It’s correlated with age. I
think, after you’ve been married a while, you don’t
keep many secrets.”"
,"When he first started his company, he attached
tags that said BetterBoyfriend.me to flower
bouquets and set off for Dolores Park in Mission
District, San Francisco.","And over the year, the young founder says he’s
got to know the boyfriends really well. They’ve
even done a delivery to a hospital delivery
room. The key, he said, is to remember that his
relationship is with the boyfriend."
,"“I looked for couples and gave the bouquet to
the girl but the boyfriends didn’t like that. Not at
all. I understood why. It was cool,” he said. “So
I changed my idea and started handing out the
bouquets to the boyfriends.”","When he first launched his company, he attached
tags that said BetterBoyfriend.me to flower
bouquets and set off for Dolores Park, a popular
lounging spot in the tech- and youth-heavy
Mission District."
,,"“I looked for couples and gave the bouquet to
the girl but that didn’t go down well with the
boyfriend. Like, not at all. It made sense, though.
It was cool,” he said. “So, I reconsidered and
started handing them out to the boyfriends.”"
