Elementary,Intermediate ,Advanced
"More than one million British workers might be employed on zero-hours contracts. This number comes from a poll of more than 1,000 employers by the Chartered Institute of Personnel and Development (CIPD).","More than one million British workers might be employed on zero-hours contracts, a new poll shows. This suggests that British businesses are using the controversial employment contracts far more than previously thought.","More than one million British workers might be employed on zero-hours contracts, new  gures reveal, suggesting that British business is using the controversial employment terms far more widely than previously thought."
"Recently, some UK organizations – from shops to Buckingham Palace – have been criticized for employing staff without a guarantee of work and pay each week. Employees on zero-hours contracts often get no holiday or sick pay and have to ask permission before looking for extra work with another company.","After the results – which come from a poll of more than 1,000 employers by the Chartered Institute of Personnel and Development (CIPD) – people began asking the government to launch a full inquiry into the use of the contracts. Recently, many organizations – from retail chains to Buckingham Palace – have been criticized for hiring staff but offering no guarantee of workand pay each week. Employees on zero-hours contracts often get no holiday or sick pay and have to ask permission before looking for additional work elsewhere.","The  gure – derived from a poll of more than 1,000 employers conducted by the Chartered Institute of Personnel and Development (CIPD) – prompted renewed calls for the government to launch a full inquiry into the use of the contracts, after a week in which a string of organizations– from retail chains to Buckingham Palace – have faced criticism for hiring staff but offering no guarantee of work and pay each week. Employees on zero-hours contracts often get no holiday or sick pay and have to ask permission before seeking additional work elsewhere."
The CIPD found that 38% of zero-hours contract workers describe themselves as employed full-time. They say they typically work 30 hours or more a week. One-third of voluntary sector employers use the contracts and one in four public sector organizations.,"The CIPD found that 38% of zero-hours contract workers describe themselves as employed full-time, typically working 30 hours or more a week. One-third of voluntary sector employers use the contracts and one in four publicsector organizations.","The CIPD found that 38% of zero-hours contract workers describe themselves as employed full-time, typically working 30 hours or more a week. One-third of voluntary sector employers use the contracts and one in four public sector organizations."
"The retail company Sports Direct employs around 20,000 of its 23,000 staff on zero-hours contracts. Other companies using the contracts include cinema chain Cineworld and Buckingham Palace, which uses the contracts for its 350 summer workers. Pub group J D Wetherspoon has 24,000 of its staff – 80% of its workforce – on zero-hours contracts.","Peter Cheese, from the CIPD, said: “There does need to be a closer look at what is meant by a zero-hours contract. And this needs to consider both the advantages and disadvantages for businesses and employees.”","The latest numbers also call into question the accuracy of of cial data on the topic. The Of ce for National Statistics has increased its estimate of the number of UK zero-hours workers by 25%, to around 250,000."
"Vidhya Alakeson, from the Resolution Foundation, said: “If it’s true that there are around one million people on zero-hours contracts, then that would be a big part of the workforce.”","Retailer Sports Direct recently became the focus of controversy on zero-hours when it was reported that the company employs around 20,000 of its 23,000 staff on the contracts. The retailer’s use of the contracts was followedby details of many other companies using the contracts, including cinema chain Cineworld and Buckingham Palace, which uses them for its 350 summer workers. Pub group J D Wetherspoon has 24,000 of its staff – 80% of its workforce – on zero-hours contracts.","Peter Cheese, the chief executive of the CIPD, said: “There does need to be a closer lookat what is meant by a zero-hours contract,the different forms that they take and clearer guidance on what good and bad practice in their use looks like. And this needs to consider both the advantages and disadvantages in practice for businesses and employees.”"
"Unions say that employers put pressure on staff to sign the contracts. In this way, the employers can avoid their responsibilities to employees and reduce staff bene ts.","Vidhya Alakeson, from the Resolution Foundation, added: “If it’s true that there are around one million people on zero-hours contracts, then that would be a substantial portion of the workforce – this could no longer be dismissed as an issue affecting only atiny minority.”","Retailer Sports Direct recently became the focus of controversy on zero-hours when it emerged that the company employs around 20,000 of its 23,000 staff on the contracts. The retailer’s use of the contracts was followed by details of a string of other companies using the deals, including cinema chain Cineworld and Buckingham Palace, which uses them for its 350 summer workers. Pub group J D Wetherspoon has 24,000 of its staff – 80% of its workforce – on the terms."
"Dave Prentis, of the trade union Unison, said: “The majority of workers are only on these contracts because they haveno choice.”",Unions and poverty campaign groups have accused employers of pressuring staff into signing the contracts so that they can avoid their responsibilities and reduce staff bene ts.,"Vidhya Alakeson, from the Resolution Foundation, an independent think tank, added: “If it’s true that there are around one million people on zero-hours contracts, then that would be a substantial portion of the workforce – this could no longer be dismissed as an issue affecting only a tiny minority."
"Workers on zero-hours contracts are often only told how many hours they will work when weekly or monthly rotas are created. But they have to be available for extra work at short notice. They may get holiday pay, but they do not get sick pay.","Dave Prentis, of the trade union Unison, said: “The vast majority of workers are only on these contracts because they have no choice. They may give  exibility to a few, but the contracts favour the employers and make it hard for workers to complain.”","“The new estimate underlines the urgent need for a deep and thorough review of zero-hours by the government, which takes into account not only the scale of the problem but the effect these contracts have on workers’ employment rights, earning capacity and personal well-being.”"
"The charity National Trust, which employs many of its seasonal workers on zero-hours contracts, said it gives the same pay and bene ts to workers on zero-hours contracts as to full-time staff.","Workers on zero-hours contracts are often only told how many hours they will work when weekly or monthly rotas are created, but are expected to be on call for extra work at short notice. They should get holiday pay, but they do not getsick pay.",Unions and poverty campaign groups have accused employers of pressuring staff into signing the contracts as a way to evade their responsibilities and cut staff bene ts.
"“We believe zero-hours contracts are essential in our organization, because we are very weather-dependent,” the National Trust said. “It’s important to be able to reorganize staff rotas quickly to respond to the weather and zero-hours contracts allow us to do this.”","The charity National Trust, which employs many of its seasonal workers on zero-hours contracts, said it offered the same pay and bene ts to those workers, pro rata, as full-time staff, but needed some workers to be on more  exible contracts.","Dave Prentis, of the trade union Unison, said: “The vast majority of workers are only on these contracts because they have no choice. They may give  exibility to a few, but the balance of power favours the employers and makes it hard for workers to complain.”"
"Politician Chuka Umunna said, “Whilesome employees welcome the  exibility of zero-hours contracts, for many, zero-hours contracts leave them insecure and unsure of when work will come,” he said.","“We believe zero-hours contracts are essential in our organization, as we are very weather-dependent,” a spokeswoman said. “It’s important to be able to reorganize staff rotas quickly to respond to the weather and zero-hours contracts allow us to do this.”","Workers on zero-hours contracts are oftenonly told how many hours they will work when weekly or monthly rotas are worked out, but are expected to be on call for extra work at short notice. They should be entitled to holiday pay in line with the number of hours they work, but do not qualify for sick pay."
